country_id,country,last_update
4,Angola,2006-02-15T03:44:00
7,Armenia,2006-02-15T03:44:00
15,Brazil,2006-02-15T03:44:00
17,Bulgaria,2006-02-15T03:44:00
18,Cambodia,2006-02-15T03:44:00
37,Gambia,2006-02-15T03:44:00
41,Holy See (Vatican City State),2006-02-15T03:44:00
42,Hong Kong,2006-02-15T03:44:00
49,Italy,2006-02-15T03:44:00
52,Kenya,2006-02-15T03:44:00
55,Liechtenstein,2006-02-15T03:44:00
58,Malawi,2006-02-15T03:44:00
65,Nauru,2006-02-15T03:44:00
66,Nepal,2006-02-15T03:44:00
67,Netherlands,2006-02-15T03:44:00
74,Peru,2006-02-15T03:44:00
90,Sweden,2006-02-15T03:44:00
94,Thailand,2006-02-15T03:44:00
103,United States,2006-02-15T03:44:00
106,"Virgin Islands, U.S.",2006-02-15T03:44:00
