inventory_id,film_id,store_id,last_update
139,28,1,2006-02-15T04:09:17
140,28,1,2006-02-15T04:09:17
141,28,1,2006-02-15T04:09:17
548,119,2,2006-02-15T04:09:17
581,127,1,2006-02-15T04:09:17
585,127,2,2006-02-15T04:09:17
727,159,1,2006-02-15T04:09:17
729,159,2,2006-02-15T04:09:17
730,159,2,2006-02-15T04:09:17
818,178,1,2006-02-15T04:09:17
833,182,1,2006-02-15T04:09:17
909,202,1,2006-02-15T04:09:17
910,202,1,2006-02-15T04:09:17
1084,242,1,2006-02-15T04:09:17
1085,242,1,2006-02-15T04:09:17
1086,242,2,2006-02-15T04:09:17
1113,247,1,2006-02-15T04:09:17
1116,247,2,2006-02-15T04:09:17
1118,247,2,2006-02-15T04:09:17
1188,265,1,2006-02-15T04:09:17
1191,265,1,2006-02-15T04:09:17
1409,308,2,2006-02-15T04:09:17
1446,317,1,2006-02-15T04:09:17
1777,385,2,2006-02-15T04:09:17
1785,388,1,2006-02-15T04:09:17
1786,388,1,2006-02-15T04:09:17
1789,388,2,2006-02-15T04:09:17
1884,410,2,2006-02-15T04:09:17
1885,410,2,2006-02-15T04:09:17
