city_id,city,country_id,last_update
7,Aden,107,2006-02-15T03:45:25
8,Adoni,44,2006-02-15T03:45:25
36,Ashqelon,48,2006-02-15T03:45:25
44,Bag,15,2006-02-15T03:45:25
62,Bayugan,75,2006-02-15T03:45:25
65,Bellevue,103,2006-02-15T03:45:25
81,Birgunj,66,2006-02-15T03:45:25
93,Brindisi,49,2006-02-15T03:45:25
96,Buenaventura,24,2006-02-15T03:45:25
98,Cabuyao,75,2006-02-15T03:45:25
115,Chisinau,61,2006-02-15T03:45:25
121,Citt del Vaticano,41,2006-02-15T03:45:25
132,Cuman,104,2006-02-15T03:45:25
149,Dundee,102,2006-02-15T03:45:25
151,Ede,67,2006-02-15T03:45:25
156,Elista,80,2006-02-15T03:45:25
168,Fengshan,92,2006-02-15T03:45:25
170,Florencia,24,2006-02-15T03:45:25
175,Fuzhou,23,2006-02-15T03:45:25
176,Gandhinagar,44,2006-02-15T03:45:25
177,Garden Grove,103,2006-02-15T03:45:25
178,Garland,103,2006-02-15T03:45:25
179,Gatineau,20,2006-02-15T03:45:25
185,Grand Prairie,103,2006-02-15T03:45:25
188,Guadalajara,60,2006-02-15T03:45:25
190,guas Lindas de Gois,15,2006-02-15T03:45:25
205,Hiroshima,50,2006-02-15T03:45:25
206,Hodeida,107,2006-02-15T03:45:25
226,Iwaki,50,2006-02-15T03:45:25
233,Jalib al-Shuyukh,53,2006-02-15T03:45:25
235,Jaroslavl,80,2006-02-15T03:45:25
242,Jinzhou,23,2006-02-15T03:45:25
245,Joliet,103,2006-02-15T03:45:25
251,Kabul,1,2006-02-15T03:45:25
260,Kanazawa,50,2006-02-15T03:45:25
268,Kimchon,86,2006-02-15T03:45:25
269,Kingstown,81,2006-02-15T03:45:25
271,Kisumu,52,2006-02-15T03:45:25
279,Kowloon and New Kowloon,42,2006-02-15T03:45:25
285,Kurgan,80,2006-02-15T03:45:25
293,Laohekou,23,2006-02-15T03:45:25
304,Lilongwe,58,2006-02-15T03:45:25
308,Lipetsk,80,2006-02-15T03:45:25
334,Merlo,6,2006-02-15T03:45:25
346,Munger (Monghyr),44,2006-02-15T03:45:25
352,Nabereznyje Telny,80,2006-02-15T03:45:25
368,Novi Sad,108,2006-02-15T03:45:25
370,Nukualofa,95,2006-02-15T03:45:25
372,Nyeri,52,2006-02-15T03:45:25
374,Ogbomosho,69,2006-02-15T03:45:25
375,Okara,72,2006-02-15T03:45:25
376,Okayama,50,2006-02-15T03:45:25
381,Ondo,69,2006-02-15T03:45:25
387,Oulu,33,2006-02-15T03:45:25
390,Oyo,69,2006-02-15T03:45:25
446,Salinas,103,2006-02-15T03:45:25
454,San Miguel de Tucumn,6,2006-02-15T03:45:25
469,Shaoguan,23,2006-02-15T03:45:25
492,Sousse,96,2006-02-15T03:45:25
523,Tanauan,75,2006-02-15T03:45:25
531,Teboksary,80,2006-02-15T03:45:25
537,Tieli,23,2006-02-15T03:45:25
547,Tsuyama,50,2006-02-15T03:45:25
551,Udine,49,2006-02-15T03:45:25
552,Ueda,50,2006-02-15T03:45:25
555,Urawa,50,2006-02-15T03:45:25
571,Vinh,105,2006-02-15T03:45:25
594,Zaoyang,23,2006-02-15T03:45:25
