playerid,yearid,stint,teamid,lgid,pos,g,gs,innouts,po,a,e,dp,pb,wp,sb,cs,zr
marrle01,1891,2,CN3,AA,ОФ,14,,,23.0,1.0,2.0,0.0,,,,,
grebecr01,1997,1,ANA,AL,3В,15,1.0,85.0,1.0,2.0,0.0,0.0,,,,,
sturdgu01,1927,1,SLA,AL,Объяснение: 1Б,5,,,35.0,2.0,1.0,2.0,,,,,
wolfela01,1979,1,BOS,AL,3В,9,6.0,159.0,10.0,18.0,2.0,3.0,,,,,
siebldw01,1964,1,MIN,AL,П,9,0.0,33.0,0.0,1.0,0.0,0.0,,,,,
gasparo01,1974,1,SDN,NL,Ф,1,0.0,9.0,1.0,0.0,0.0,0.0,,,,,
whitsed01,1982,1,CLE,AL,П,40,9.0,323.0,4.0,8.0,0.0,0.0,,,,,
hickmji02,1968,1,CHN,NL,CF,21,19.0,481.0,44.0,1.0,0.0,0.0,,,,,
alomasa01,1977,1,TEX,AL,LF,4,0.0,14.0,1.0,0.0,0.0,0.0,,,,,
milleri01,1980,1,CAL,AL,ОФ,118,102.0,2771.0,299.0,11.0,5.0,3.0,,,,,
otoolji01,1961,1,CIN,NL,П,39,35.0,758.0,16.0,42.0,2.0,2.0,,,,,
monacbl01,1937,1,CLE,AL,Двадцать два,3,,,4.0,5.0,0.0,0.0,,,,,
martyjo01,1940,1,PHI,NL,ОФ,118,,,296.0,7.0,8.0,0.0,,,,,
harmobo01,1916,1,PIT,NL,П,31,,,4.0,64.0,2.0,2.0,,,,,
watkipa01,1999,1,COL,NL,LF,4,0.0,15.0,0.0,0.0,0.0,0.0,,,,,
kellefr01,1943,1,CIN,NL,ОФ,1,,,2.0,0.0,0.0,0.0,,,,,
adamsba01,1910,1,PIT,NL,П,34,,,7.0,44.0,5.0,1.0,,,,,
sotoge01,2006,1,CHN,NL,Тебе,7,7.0,165.0,66.0,4.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0
valdese01,1990,2,CLE,AL,П,24,13.0,307.0,8.0,11.0,2.0,1.0,,,,,
tolanbo01,1979,1,SDN,NL,Ф,1,0.0,9.0,0.0,0.0,0.0,0.0,,,,,
aaronha01,1962,1,ML1,NL,Объяснение: 1Б,1,0.0,3.0,1.0,0.0,0.0,0.0,,,,,
