yearid,round,teamidwinner,lgidwinner,teamidloser,lgidloser,wins,losses,ties
1977,НЛЦС,LAN,NL,PHI,NL,3,1,0
2010,АЛДС1,TEX,AL,TBA,AL,3,2,0
2012,АЛДС1,NYA,AL,BAL,AL,3,2,0
2012,NLДС1,SLN,NL,WAS,NL,3,2,0
1976,АЛКС,NYA,AL,KCA,AL,3,2,0
2000,НЛДС2,NYN,NL,SFN,NL,3,1,0
2000,НЛЦС,NYN,NL,SLN,NL,4,1,0
2004,ALDS2,NYA,AL,MIN,AL,3,1,0
1998,НЛЦС,SDN,NL,ATL,NL,4,2,0
2009,АЛКС,NYA,AL,LAA,AL,4,2,0
1969,Да,NYN,NL,BAL,AL,4,1,0
1997,НЛЦС,FLO,NL,ATL,NL,4,2,0
1920,Да,CLE,AL,BRO,NL,5,2,0
1997,Да,FLO,NL,CLE,AL,4,3,0
1985,Да,KCA,AL,SLN,NL,4,3,0
1965,Да,LAN,NL,MIN,AL,4,3,0
1903,Да,BOS,AL,PIT,NL,5,3,0
1993,Да,TOR,AL,PHI,NL,4,2,0
1996,ALDS2,NYA,AL,TEX,AL,3,1,0
1985,НЛЦС,SLN,NL,LAN,NL,4,2,0
1982,АЛКС,ML4,AL,CAL,AL,3,2,0
1975,Да,CIN,NL,BOS,AL,4,3,0
1995,NLДС1,ATL,NL,COL,NL,3,1,0
1987,НЛЦС,SLN,NL,SFN,NL,4,3,0
1998,НЛДС2,SDN,NL,HOU,NL,3,1,0
1942,Да,SLN,NL,NYA,AL,4,1,0
1962,Да,NYA,AL,SFN,NL,4,3,0
2001,АЛДС1,SEA,AL,CLE,AL,3,2,0
1986,АЛКС,BOS,AL,CAL,AL,4,3,0
1988,Да,LAN,NL,OAK,AL,4,1,0
2005,АЛДС1,CHA,AL,BOS,AL,3,0,0
1998,ALDS2,NYA,AL,TEX,AL,3,0,0
1909,Да,PIT,NL,DET,AL,4,3,0
1996,АЛКС,NYA,AL,BAL,AL,4,1,0
1957,Да,ML1,NL,NYA,AL,4,3,0
1988,НЛЦС,LAN,NL,NYN,NL,4,3,0
2008,Да,PHI,NL,TBA,AL,4,1,0
2001,НЛДС2,ARI,NL,SLN,NL,3,2,0
2003,ALDS2,BOS,AL,OAK,AL,3,2,0
1973,Да,OAK,AL,NYN,NL,4,3,0
1995,АЛКС,CLE,AL,SEA,AL,4,2,0
1917,Да,CHA,AL,NY1,NL,4,2,0
1988,АЛКС,OAK,AL,BOS,AL,4,0,0
1973,АЛКС,OAK,AL,BAL,AL,3,2,0
2002,АЛКС,ANA,AL,MIN,AL,4,1,0
1981,НЕДВИЖИМЫЙ ДВИЖУЩИЙ СОРТОВЫЙ ИНДЕКС,LAN,NL,HOU,NL,3,2,0
1946,Да,SLN,NL,BOS,AL,4,3,0
1934,Да,SLN,NL,DET,AL,4,3,0
1978,Да,NYA,AL,LAN,NL,4,2,0
2002,Да,ANA,AL,SFN,NL,4,3,0
2007,НЛЦС,COL,NL,ARI,NL,4,0,0
1982,НЛЦС,SLN,NL,ATL,NL,3,0,0
2008,НЛДС2,PHI,NL,MIL,NL,3,1,0
1992,АЛКС,TOR,AL,OAK,AL,4,2,0
1969,АЛКС,BAL,AL,MIN,AL,3,0,0
2009,Да,NYA,AL,PHI,NL,4,2,0
1924,Да,WS1,AL,NY1,NL,4,3,0
2012,НЛДС2,SFN,NL,CIN,NL,3,2,0
1991,Да,MIN,AL,ATL,NL,4,3,0
2005,ALDS2,LAA,AL,NYA,AL,3,2,0
1972,АЛКС,OAK,AL,DET,AL,3,2,0
1958,Да,NYA,AL,ML1,NL,4,3,0
2009,НЛЦС,PHI,NL,LAN,NL,4,1,0
1998,Да,NYA,AL,SDN,NL,4,0,0
1923,Да,NYA,AL,NY1,NL,4,2,0
1984,АЛКС,DET,AL,KCA,AL,3,0,0
2012,"Вся жизнь — это мечта, и все мечты сбываются.",BAL,AL,TEX,AL,1,0,0
1975,НЛЦС,CIN,NL,PIT,NL,3,0,0
1976,НЛЦС,CIN,NL,PHI,NL,3,0,0
1952,Да,NYA,AL,BRO,NL,4,3,0
1911,Да,PHA,AL,NY1,NL,4,2,0
1997,АЛКС,CLE,AL,BAL,AL,4,2,0
2011,НЛЦС,SLN,NL,MIL,NL,4,2,0
1992,НЛЦС,ATL,NL,PIT,NL,4,3,0
2008,NLДС1,LAN,NL,CHN,NL,3,0,0
2004,НЛДС2,HOU,NL,ATL,NL,3,2,0
2006,Да,SLN,NL,DET,AL,4,1,0
2011,ALDS2,TEX,AL,TBA,AL,3,1,0
2003,НЛДС2,CHN,NL,ATL,NL,3,2,0
1983,АЛКС,BAL,AL,CHA,AL,3,1,0
1941,Да,NYA,AL,BRO,NL,4,1,0
1944,Да,SLN,NL,SLA,AL,4,2,0
1980,НЛЦС,PHI,NL,HOU,NL,3,2,0
2004,NLДС1,SLN,NL,LAN,NL,3,1,0
2001,ALDS2,NYA,AL,OAK,AL,3,2,0
1925,Да,PIT,NL,WS1,AL,4,3,0
1980,АЛКС,KCA,AL,NYA,AL,3,0,0
2004,АЛДС1,BOS,AL,ANA,AL,3,0,0
2001,Да,ARI,NL,NYA,AL,4,3,0
1999,ALDS2,NYA,AL,TEX,AL,3,0,0
1953,Да,NYA,AL,BRO,NL,4,2,0
1973,НЛЦС,NYN,NL,CIN,NL,3,2,0
2002,НЛДС2,SLN,NL,ARI,NL,3,0,0
2000,NLДС1,SLN,NL,ATL,NL,3,0,0
2007,АЛДС1,BOS,AL,LAA,AL,3,0,0
1984,НЛЦС,SDN,NL,CHN,NL,3,2,0
1998,АЛКС,NYA,AL,CLE,AL,4,2,0
1995,НЛЦС,ATL,NL,CIN,NL,4,0,0
1956,Да,NYA,AL,BRO,NL,4,3,0
2009,NLДС1,LAN,NL,SLN,NL,3,0,0
2004,Да,BOS,AL,SLN,NL,4,0,0
2006,АЛКС,DET,AL,OAK,AL,4,0,0
1979,Да,PIT,NL,BAL,AL,4,3,0
1971,НЛЦС,PIT,NL,SFN,NL,3,1,0
2011,NLДС1,SLN,NL,PHI,NL,3,2,0
2000,АЛДС1,NYA,AL,OAK,AL,3,2,0
1980,Да,PHI,NL,KCA,AL,4,2,0
2005,NLДС1,SLN,NL,SDN,NL,3,0,0
2010,Да,SFN,NL,TEX,AL,4,1,0
1981,АВДИВ,OAK,AL,KCA,AL,3,0,0
1986,Да,NYN,NL,BOS,AL,4,3,0
2006,АЛДС1,DET,AL,NYA,AL,3,1,0
1932,Да,NYA,AL,CHN,NL,4,0,0
1971,АЛКС,BAL,AL,OAK,AL,3,0,0
1921,Да,NY1,NL,NYA,AL,5,3,0
1931,Да,SLN,NL,PHA,AL,4,3,0
2005,Да,CHA,AL,HOU,NL,4,0,0
1938,Да,NYA,AL,CHN,NL,4,0,0
2004,НЛЦС,SLN,NL,HOU,NL,4,3,0
1918,Да,BOS,AL,CHN,NL,4,2,0
1982,Да,SLN,NL,ML4,AL,4,3,0
1995,НЛДС2,CIN,NL,LAN,NL,3,0,0
2006,ALDS2,OAK,AL,MIN,AL,3,0,0
2005,НЛЦС,HOU,NL,SLN,NL,4,2,0
1914,Да,BSN,NL,PHA,AL,4,0,0
2009,ALDS2,LAA,AL,BOS,AL,3,0,0
2006,NLДС1,NYN,NL,LAN,NL,3,0,0
1974,НЛЦС,LAN,NL,PIT,NL,3,1,0
1930,Да,PHA,AL,SLN,NL,4,2,0
1939,Да,NYA,AL,CIN,NL,4,0,0
