franchid,franchname,active,naassoc
TOL,Толедские синейки,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
SDP,Сан-Диего Падрес,Да,
SYR,Сиракьюс Старз,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
NYY,Нью-Йорк Янкиз,Да,
WSN,Вашингтон Нэшнлз,Да,
ANA,Лос-Анджелес Энджелс из Анахайма,Да,
WNL,Вашингтон Нэшнлз,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
BLU,Балтиморские монументальные скульптуры,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
PIT,Питтсбург Пайретс,Да,
CLI,Кливленд Инфантс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
KCC,Канзас-Сити Ковбои,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
SLM,Сент-Луис Маранс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
FLA,Майами Марлинс,Да,
CHP,Чикаго Пайрэтс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
BRD,Бостон Редс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
CHC,Чикаго Кабс,Да,КАН
CKK,Убийцы из Синциннати Келли,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
STP,Святой Павел Апостол,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
MLA,Милвоки Брюэрс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
PHA,Филадельфия Атлетикс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
PWS,Филадельфийские белые чулки,Н/Д,
BNA,Бостон Ред Стокингс,Н/Д,アトラ
BWW,Удивения Бруклин Уорда,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
SFG,Сан-Франциско Джайантс,Да,
MAN,Миддлтон-Мансфилдс,Н/Д,
NYP,Нью-Йорк Метционс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
WST,Вашингтон Стейтменс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
MAR,"Балтимор, Мэриленд",Н/Д,
DET,Детройт Тайгерс,Да,
BFB,Баффало Бильс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
WNA,Вашингтон Нэшнлз,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
DTN,Детройт Вулверинс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
LOU,Луизвилл Колонелы,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
CBK,Коламбус Баксайенс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
BLO,Балтимор Ориолс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
BRS,Бостон Редс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
WOR,Уорикстер Руби Лэгс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
CLS,Колумб Солоны,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
WNT,Вашингтон Нэшнлз,Н/Д,
BLT,Балтимор Трейл-Террарс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
MLG,Милуоки Грейс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
LAD,Лос-Анджелес Доджерс,Да,
ECK,Бруклин Экфорды,Н/Д,
CNA,"Чикаго ""Белые стокинги""",Н/Д,ХКЧ
IND,Индианаполис Хоусьерс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
KCN,Канзас-Сити Ковбои,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
RES,Элизабет решает,Н/Д,
ATL,Атланта Брейвс,Да,БНА
ATH,Филадельфия Атлетикс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",НПВ
BRA,Бруклин Атлетикс,Н/Д,
SBS,Сент-Луис Браун Стокингс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",СНА
TOR,Торонто Блю Джейс,Да,
IHO,Индианаполис Хоусьерс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
TRO,Трой Хеймейкерс,Н/Д,
BAL,Балтимор Ориолс,Да,
COR,Цинциннати Оутла Рэдс,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
KCR,Канзас Сити Роялс,Да,
CIN,"""Синциннати Редс""",Да,
HNA,Гартафорд Дарк Блюз,Н/Д,ХАР
HOU,Хьюстон Астрос,Да,
PBS,Питтсбургские повстанцы,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",
NYM,Нью-Йорк Метс,Да,
NYU,Нью-Йорк Муталы,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",ННА
MIN,Миннесота Твинс,Да,
