managerid,yearid,teamid,lgid,inseason,g,w,l,rank,plyrmgr
hatfijo01m,1873,NY2,NA,1,28,11,17,4,Да
zimmedo01m,1980,BOS,AL,1,155,82,73,4,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
corrire01m,1950,CHA,AL,2,125,52,72,6,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
eliale01m,1988,PHI,NL,1,153,60,92,6,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
mutriji99m,1886,NY1,NL,1,124,75,44,3,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
lopezal01m,1959,CHA,AL,1,156,94,60,1,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
varshga01m,2004,PHI,NL,2,2,1,1,2,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
hargrmi01m,1999,CLE,AL,1,162,97,65,1,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
girarjo01m,2011,NYA,AL,1,162,97,65,1,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
murtada01m,1964,PIT,NL,1,162,80,82,6,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
williji99m,1884,SL4,AA,1,85,51,33,4,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
lasorto01m,1990,LAN,NL,1,162,86,76,2,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
bristda99m,1969,CIN,NL,1,163,89,73,3,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
farreja02m,1881,PRO,NL,1,51,24,27,2,Да
mccarjo99m,1931,NYA,AL,1,155,94,59,2,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
tannech01m,1975,CHA,AL,1,161,75,86,5,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
durocle01m,1953,NY1,NL,1,155,70,84,5,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
hodgegi01m,1970,NYN,NL,1,162,83,79,3,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
gleaski01m,1919,CHA,AL,1,140,88,52,1,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
mckeoja99m,1998,CIN,NL,1,162,77,85,4,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
ensje01m,1929,PIT,NL,2,35,21,14,2,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
johnsda02m,2000,LAN,NL,1,162,86,76,2,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
oneilst01m,1952,PHI,NL,2,91,59,32,4,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
mcgrajo01m,1919,NY1,NL,1,140,87,53,2,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
mcgrajo01m,1902,NY1,NL,3,65,25,38,8,Да
duffyhu01m,1901,MLA,AL,1,139,48,89,8,Да
greenda02m,1996,NYN,NL,1,131,59,72,4,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
cronijo01m,1935,BOS,AL,1,154,78,75,4,Да
alstowa01m,1965,LAN,NL,1,162,97,65,1,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
hackst01m,1956,CHN,NL,1,157,60,94,8,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
mckecbi01m,1925,PIT,NL,1,153,95,58,1,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
ryanco01m,1977,TEX,AL,3,6,2,4,2,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
clarkfr01m,1901,PIT,NL,1,140,90,49,1,Да
corrapa01m,1986,CLE,AL,1,163,84,78,5,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
meyerbi01m,1949,PIT,NL,1,154,71,83,6,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
andersp01m,1972,CIN,NL,1,154,95,59,1,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
leadlbo99m,1888,DTN,NL,2,40,19,19,5,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода."
