awardid,yearid,lgid,playerid,pointswon,pointsmax,votesfirst
MVP,1929,NL,maranra01,8,80,0.0
MVP,1990,NL,bonilbo01,212,336,1.0
MVP,1980,NL,hendrge01,50,336,0.0
MVP,1994,NL,francjo01,3,392,0.0
MVP,1973,NL,billija01,6,336,0.0
Rookie of the Year,1969,NL,sizemte01,14,24,14.0
MVP,1967,AL,horlejo01,91,280,0.0
MVP,1975,NL,garvest01,50,336,0.0
MVP,1945,NL,lowrepe01,5,336,0.0
Rookie of the Year,1947,ML,baumhfr01,42,165,
MVP,1954,NL,roberro01,70,336,0.0
MVP,2001,AL,tejadmi01,3,392,0.0
Rookie of the Year,1998,AL,ponsosi01,1,140,0.0
MVP,1968,AL,mcauldi01,71,280,0.0
MVP,1979,NL,hernake01,216,336,10.0
MVP,1975,NL,perezto01,18,336,0.0
Rookie of the Year,1959,NL,mccovwi01,24,24,24.0
MVP,1925,AL,jacobba01,10,64,
MVP,1984,AL,ripkeca01,1,392,0.0
MVP,1973,AL,hunteca01,47,336,0.0
MVP,1986,NL,dykstle01,4,336,0.0
MVP,1914,AL,prattde01,10,64,
Rookie of the Year,1953,NL,brutobi01,2,24,2.0
MVP,1976,NL,ziskri01,3,336,0.0
MVP,1970,AL,howarfr01,91,336,1.0
MVP,2004,NL,berkmla01,100,448,0.0
Rookie of the Year,1966,NL,jonescl01,1,20,1.0
MVP,1975,AL,munsoth01,69,336,0.0
MVP,1946,NL,sainjo01,95,336,0.0
Cy Young,2004,AL,rodrifr03,1,140,0.0
MVP,1928,NL,maranra01,14,80,
MVP,1939,AL,bridgto01,7,336,0.0
Rookie of the Year,1956,AL,aparilu01,22,24,22.0
MVP,1989,NL,willimi02,41,336,0.0
MVP,1914,NL,fletcar01,5,64,0.0
MVP,1999,NL,biggicr01,32,448,0.0
MVP,1945,NL,barrere01,151,336,1.0
Cy Young,1962,ML,piercbi02,1,20,1.0
MVP,1976,NL,ceyro01,6,336,0.0
MVP,2000,AL,jeterde01,44,392,0.0
MVP,1955,AL,whitesa02,1,336,0.0
MVP,1927,NL,grimebu01,4,80,0.0
MVP,1974,AL,blairpa01,27,336,0.0
Rookie of the Year,1954,NL,aaronha01,1,24,1.0
MVP,1983,NL,hernake01,1,336,0.0
Cy Young,1982,AL,palmeji01,59,140,4.0
Rookie of the Year,1994,NL,vanlawi01,9,140,0.0
MVP,1986,AL,barrema02,5,392,0.0
MVP,1981,AL,oliveal01,8,392,0.0
MVP,1941,AL,dimagjo01,291,336,15.0
Cy Young,1981,AL,martide01,3,140,0.0
MVP,1974,AL,murphto02,3,336,0.0
MVP,1932,AL,mcmanma01,2,80,0.0
MVP,1939,AL,casege01,3,336,0.0
Rookie of the Year,1991,AL,cuylemi01,22,140,1.0
MVP,1956,NL,roberro01,7,336,0.0
MVP,1968,NL,gibsobo01,242,280,14.0
MVP,1983,AL,dotsori01,3,392,0.0
Cy Young,1991,AL,ericksc01,56,140,3.0
MVP,1979,AL,murraed02,25,392,0.0
MVP,1925,NL,cuyleki01,61,80,
Cy Young,2010,NL,myersbr01,2,224,0.0
Rookie of the Year,1984,AL,puckeki01,23,140,0.0
MVP,1995,AL,oneilpa01,14,392,0.0
MVP,1997,NL,loftoke01,1,392,0.0
MVP,1936,AL,averiea01,48,80,
MVP,1980,AL,ceronri01,77,392,1.0
MVP,1988,NL,daviser01,14,336,0.0
Cy Young,2006,NL,smoltjo01,3,160,0.0
Rookie of the Year,2002,AL,hinsker01,122,140,19.0
MVP,1950,NL,snidedu01,53,336,0.0
MVP,1975,NL,madlobi01,45,336,0.0
MVP,1956,NL,kluszte01,18,336,0.0
Cy Young,1978,NL,perryga01,116,120,22.0
MVP,1934,NL,hartnga01,9,80,0.0
MVP,1979,NL,fostege01,34,336,0.0
Cy Young,1993,AL,appieke01,30,140,1.0
MVP,1945,AL,johnsbo01,6,336,0.0
MVP,1935,AL,cramedo01,18,80,0.0
MVP,1914,AL,bushdo01,17,64,
MVP,1961,AL,mantlmi01,198,280,6.0
MVP,1941,NL,warnelo01,7,336,0.0
MVP,1974,NL,mcbriba01,2,336,0.0
MVP,1953,AL,lemonbo01,22,336,0.0
MVP,2005,NL,gilesma01,4,448,0.0
MVP,2009,NL,gonzaad01,30,448,0.0
Cy Young,1971,NL,jenkife01,97,120,17.0
Cy Young,1956,ML,maglisa01,4,16,4.0
MVP,1985,NL,doranbi02,2,336,0.0
MVP,1939,NL,derripa01,174,336,2.0
MVP,2009,AL,hillaa01,23,392,0.0
MVP,1911,NL,mathech01,25,64,
MVP,1923,AL,ehmkeho01,7,64,0.0
Rookie of the Year,2000,NL,melusmi01,7,160,0.0
MVP,1943,NL,freylo01,1,336,0.0
MVP,1959,NL,hoakdo01,6,336,0.0
MVP,1952,NL,roepr01,7,336,0.0
MVP,1964,NL,torrejo01,85,280,1.0
MVP,1966,NL,daviswi02,1,280,0.0
MVP,1980,NL,bucknbi01,11,336,0.0
MVP,2009,NL,fieldpr01,203,448,0.0
MVP,1952,AL,mantlmi01,143,336,3.0
Cy Young,1976,AL,tiantlu01,10,120,0.0
Rookie of the Year,1984,NL,martica01,2,120,0.0
MVP,1968,NL,koosmje01,14,280,0.0
MVP,1913,AL,speaktr01,26,64,
MVP,2004,AL,konerpa01,7,392,0.0
MVP,1958,NL,frienbo01,98,336,0.0
Cy Young,2003,AL,pettian01,4,140,0.0
MVP,1975,NL,sanguma01,16,336,0.0
Cy Young,2012,NL,cainma01,22,224,0.0
Rookie of the Year,1953,NL,baczefr01,1,24,1.0
Rookie of the Year,1984,AL,nippeal01,1,140,0.0
MVP,1941,NL,whiteer01,77,336,
MVP,1978,NL,clarkja01,107,336,0.0
MVP,1959,AL,colavro01,117,336,0.0
MVP,1955,AL,phillda01,6,336,0.0
MVP,1977,NL,schmimi01,48,336,0.0
MVP,1956,NL,reesepe01,71,336,3.0
MVP,1984,NL,gossari01,34,336,0.0
MVP,1957,AL,powervi01,3,336,0.0
MVP,1950,NL,bickfve01,4,336,0.0
MVP,1977,NL,mccovwi01,5,336,0.0
MVP,1981,AL,trammal01,4,392,0.0
MVP,1995,AL,martied01,244,392,4.0
MVP,1978,NL,lopesda01,12,336,0.0
MVP,2010,NL,johnsjo09,2,448,0.0
MVP,1949,NL,thomsbo01,25,336,0.0
Cy Young,2007,NL,smoltjo01,2,160,0.0
MVP,1997,AL,thomafr04,172,392,0.0
MVP,1925,NL,friscfr01,13,80,
Cy Young,1991,AL,gullibi01,5,140,0.0
MVP,1965,AL,versazo01,275,280,19.0
Cy Young,1994,NL,jacksda02,3,140,0.0
MVP,1977,NL,templga01,20,336,0.0
MVP,1974,NL,cashda01,6,336,0.0
MVP,1964,NL,pinsova01,6,280,0.0
MVP,1966,AL,etchean01,7,280,0.0
MVP,1959,NL,mayswi01,85,336,0.0
