yearid,lgid,teamid,franchid,divid,rank,g,ghome,w,l,divwin,wcwin,lgwin,wswin,r,ab,h,2b,3b,hr,bb,so,sb,cs,hbp,sf,ra,er,era,cg,sho,sv,ipouts,ha,hra,bba,soa,e,dp,fp,name,park,attendance,bpf,ppf,teamidbr,teamidlahman45,teamidretro
1942,AL,PHA,OAK,,8,154,76.0,55,99,,,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.","Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",549,5285,1315,213,46,33,440,490.0,44.0,45.0,,,801,679,4,67,5,9,4122,1404,89,639,546,188,124.0,0,Филадельфия Атлетикс,Шибе Парк,423487.0,100,104,PHA,PHA,PHA
1942,AL,CLE,CLE,,4,156,80.0,75,79,,,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.","Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",590,5317,1344,223,58,50,500,544.0,69.0,74.0,,,659,559,3,61,12,11,4206,1353,61,560,448,163,175.0,0,Кливленд Индианз,Лига-парк II/Кливленд-стадион,459447.0,94,94,CLE,CLE,CLE
1884,NL,CL2,CBL,,7,113,,35,77,,,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.","Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",458,3934,934,147,49,16,170,576.0,,,,,716,379,3,107,7,0,2982,1046,35,269,482,512,,0,Кливленд Блюз,Парк на улице Кеннард,,103,106,CLV,CL2,CL2
1991,AL,BOS,BOS,E,2,162,81.0,84,78,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.","Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",731,5530,1486,305,25,126,593,820.0,59.0,39.0,,,712,641,4,15,13,45,4317,1405,147,530,999,116,165.0,0,Бостон Ред Сокс,Фенвей-парк II,2562435.0,105,105,BOS,BOS,BOS
1940,NL,NY1,SFG,,6,152,76.0,72,80,,,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.","Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",663,5324,1423,201,46,91,453,478.0,45.0,,,,659,573,3,57,11,18,4080,1383,110,473,606,139,132.0,0,Нью-Йорк Джайантс,Поле IV,747852.0,101,101,NYG,NY1,NY1
1997,AL,ANA,ANA,W,2,162,82.0,84,78,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.","Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.","Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.","Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",829,5628,1531,279,25,161,617,953.0,126.0,72.0,,,794,730,4,9,5,39,4362,1506,202,605,1050,126,140.0,0,Анахайм Энджелс,Эдисон Интернэшнл Файлд,1767330.0,102,102,ANA,ANA,ANA
1975,NL,PIT,PIT,E,1,161,80.0,92,69,Да,,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.","Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",712,5489,1444,255,47,138,468,832.0,49.0,28.0,,,565,481,3,43,14,31,4311,1302,79,551,768,151,147.0,0,Питтсбург Пайретс,Стадион «Три реки»,1270018.0,99,97,PIT,PIT,PIT
1923,NL,CIN,CIN,,2,154,78.0,91,63,,,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.","Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",708,5278,1506,237,95,45,439,367.0,96.0,105.0,,,629,496,3,88,11,9,4173,1465,28,359,450,202,144.0,0,"""Синциннати Редс""",Кросслей Филд,575063.0,98,97,CIN,CIN,CIN
1967,NL,PIT,PIT,,6,163,81.0,81,81,,,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.","Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",679,5724,1585,193,62,91,387,914.0,79.0,37.0,,,693,606,3,35,5,35,4374,1439,108,561,820,141,186.0,0,Питтсбург Пайретс,Форбс Филд,907012.0,100,99,PIT,PIT,PIT
1970,NL,SDN,SDP,W,6,162,81.0,63,99,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.","Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",681,5494,1353,208,36,172,500,1164.0,60.0,45.0,,,788,698,4,24,9,32,4320,1483,149,611,886,157,159.0,0,Сан-Диего Падрес,Стадион «Джек Мёрфи»,643679.0,96,98,SDP,SDN,SDN
1921,NL,NY1,SFG,,1,153,79.0,94,59,,,Да,Да,840,5278,1575,237,93,75,469,390.0,137.0,114.0,,,637,541,3,71,9,18,4116,1497,79,295,357,187,155.0,0,Нью-Йорк Джайантс,Поле IV,973477.0,102,98,NYG,NY1,NY1
1882,NL,TRN,TRT,,7,85,,35,48,,,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",,430,3057,747,116,59,12,109,298.0,,,,,522,259,3,81,6,0,2271,837,13,168,189,432,70.0,0,Трои,Стадион «Трои Балл Клуб»,,95,98,TRO,TRN,TRN
1960,AL,BOS,BOS,,7,154,77.0,65,89,,,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.","Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",658,5215,1359,234,32,124,570,798.0,34.0,28.0,,,775,699,4,34,6,23,4083,1440,127,580,767,140,156.0,0,Бостон Ред Сокс,Фенвей-парк II,1129866.0,103,103,BOS,BOS,BOS
1931,AL,DET,DET,,7,154,77.0,61,93,,,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.","Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",651,5430,1456,292,69,43,480,468.0,117.0,75.0,,,836,706,4,86,5,6,4152,1549,79,597,511,221,139.0,0,Детройт Тайгерс,Навин Фирд,434056.0,103,104,DET,DET,DET
1965,NL,HOU,HOU,,9,162,81.0,65,97,,,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.","Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",569,5483,1299,188,42,97,502,877.0,90.0,37.0,,,711,623,3,29,7,26,4383,1459,123,388,931,166,130.0,0,Хьюстон Астрос,Астродом,2151470.0,92,94,HOU,HOU,HOU
1937,NL,SLN,STL,,4,157,80.0,81,73,,,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.","Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",789,5476,1543,264,67,94,385,569.0,78.0,,,,733,616,3,81,10,4,4176,1546,95,448,571,164,127.0,0,Сент-Луис Кардиналс,Спортивный парк IV,430811.0,102,101,STL,SLN,SLN
2001,AL,MIN,MIN,C,2,162,81.0,85,77,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.","Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.","Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.","Нет, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию для перевода.",771,5560,1514,328,38,164,495,1083.0,146.0,67.0,64.0,38.0,766,722,4,12,8,45,4324,1494,192,445,965,108,121.0,0,Миннесота Твинс,Хаберт Х. Хэмфри Метродом,1782929.0,102,102,MIN,MIN,MIN
