yearid,teamid,lgid,playerid,g_all,g_batting,g_defense,g_p,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr
1971,WS2,AL,brownja01,14,,14,14,14,0,0,0,0,0,0,0,0,0,,
2000,BOS,AL,wasdijo01,25,0.0,1,25,25,0,0,0,0,0,0,0,0,0,0.0,0.0
1919,CHN,NL,killebi01,103,,103,103,0,100,0,0,0,0,0,0,0,0,,
1981,MON,NL,reardje01,25,0.0,25,25,25,0,0,0,0,0,0,0,0,0,0.0,0.0
1889,BSN,NL,radboch01,35,,35,35,33,0,0,0,1,0,0,1,1,2,,
1997,SEA,AL,wilkiri01,5,4.0,5,3,0,3,0,0,0,0,0,0,0,0,2.0,1.0
1983,PIT,NL,morriji01,66,34.0,66,55,0,0,0,27,26,7,0,0,0,0,0.0,18.0
1958,DET,AL,heganji01,45,,45,45,0,45,0,0,0,0,0,0,0,0,,
1978,CHN,NL,kellemi02,68,24.0,68,62,0,0,0,17,37,10,0,0,0,0,0.0,3.0
2007,TEX,AL,woodmi01,21,0.0,0,21,21,0,0,0,0,0,0,0,0,0,0.0,0.0
1886,PHI,NL,farrasi01,118,,118,118,0,0,118,0,0,0,0,0,0,0,,
1922,CIN,NL,cavenik01,118,,118,118,0,0,0,0,0,118,0,0,0,0,,
1933,CIN,NL,kolpra01,30,,30,30,30,0,0,0,0,0,0,0,0,0,,
1997,SLN,NL,fossato01,71,0.0,68,71,71,0,0,0,0,0,0,0,0,0,0.0,0.0
2004,BAL,AL,cabreda01,28,2.0,3,28,28,0,0,0,0,0,0,0,0,0,0.0,0.0
1992,ATL,NL,reynoar02,3,1.0,3,3,3,0,0,0,0,0,0,0,0,0,0.0,0.0
2007,MIL,NL,balfogr01,3,0.0,3,3,3,0,0,0,0,0,0,0,0,0,0.0,0.0
1996,CIN,NL,olivejo01,106,83.0,106,101,0,97,3,0,0,0,2,0,1,3,0.0,14.0
1949,DET,AL,liponjo01,127,,127,127,0,0,0,0,0,120,0,0,0,0,,
1981,CHA,AL,squirmi01,92,73.0,92,89,0,0,88,0,0,0,1,0,0,1,0.0,7.0
1974,CIN,NL,crowlte01,84,24.0,84,29,0,0,7,0,0,0,1,0,21,22,0.0,58.0
1992,NYN,NL,kentje01,37,31.0,37,36,0,0,0,34,1,1,0,0,0,0,0.0,1.0
1979,SDN,NL,reynodo01,30,8.0,30,14,0,0,0,0,0,0,7,5,2,14,0.0,14.0
1948,BRO,NL,erskica01,17,,17,17,17,0,0,0,0,0,0,0,0,0,,
1968,MIN,AL,kostrfr01,63,,63,63,0,0,5,0,0,0,14,0,10,24,,
1954,DET,AL,streuwa01,1,,1,1,0,1,0,0,0,0,0,0,0,0,,
1900,NY1,NL,mathech01,6,,6,6,6,0,0,0,0,0,0,0,0,0,,
1931,DET,AL,haywora01,88,,88,88,0,88,0,0,0,0,0,0,0,0,,
1990,TOR,AL,lueckri01,1,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0
1972,MON,NL,mortoca01,35,,35,35,27,0,0,0,0,0,0,0,0,0,,
1960,BAL,AL,powerjo01,10,,10,10,0,0,0,0,0,0,0,0,4,4,,
1979,PHI,NL,morelke01,14,12.0,14,13,0,13,0,0,0,0,0,0,0,0,0.0,1.0
1953,CHN,NL,hermage01,18,,18,18,0,0,0,0,0,0,3,0,10,13,,
1888,CHN,NL,krockgu01,39,,39,39,39,0,0,0,0,0,0,0,0,0,,
1978,SLN,NL,tysonmi01,125,115.0,125,124,0,0,0,124,0,0,0,0,0,0,0.0,4.0
1998,SDN,NL,sandesc02,23,0.0,23,23,23,0,0,0,0,0,0,0,0,0,0.0,0.0
2012,NYN,NL,rauchjo01,73,0.0,68,73,73,0,0,0,0,0,0,0,0,0,0.0,0.0
1901,PHA,AL,lochhha01,9,,9,9,0,0,0,0,0,9,0,0,0,0,,
1972,CHN,NL,deckejo01,5,,5,5,5,0,0,0,0,0,0,0,0,0,,
2003,BOS,AL,millake01,148,140.0,148,127,0,0,101,0,0,0,19,0,12,31,18.0,7.0
1992,SFN,NL,rogerke02,6,6.0,6,6,6,0,0,0,0,0,0,0,0,0,0.0,0.0
1953,CHN,NL,bankser01,10,,10,10,0,0,0,0,0,10,0,0,0,0,,
1897,PIT,NL,paddedi01,134,,134,134,0,0,0,134,0,0,0,0,0,0,,
1938,CHN,NL,mesnest01,2,,2,2,0,0,0,0,0,1,0,0,0,0,,
1954,WS1,AL,killeha01,9,,9,9,0,0,0,3,0,0,0,0,0,0,,
1954,CLE,AL,mossido01,40,,40,40,40,0,0,0,0,0,0,0,0,0,,
1964,LAN,NL,fairlro01,150,,150,150,0,0,141,0,0,0,0,0,0,0,,
