schoolid,schoolname,schoolcity,schoolstate,schoolnick
bakerks,Университет Бакера,Город Бальдвин,КС,Дикие коты
sfcc,Южно-Флоридский общинный колледж,Авон-Парк,ФЛ,Пантеры
charleswv,Университет Шарлтона,Чарльстон,Западная Вирджиния,Золотые орлы
rhodestn,Роудз Колледж,Мемфис,ТН,Линкс
brdgwatrva,Колледж Бриджвотер,Бриджвотер,ВА,Орлы
eutah,Колледж Восточного Юта,Цена,УТ,Золотые орлы
fresnost,Калифорнийский университет в Фресно,Фресно,Калифорния,Бульдоги
semost,Государственный университет юго-восточного Миссури,Кейп-Джирардо,МО,Красные ястобычи
nmhighland,Университет высоких plains Нью-Мексико,Las-Вегас,НМ,Кочевники
betheltn,Бетелловский колледж,Маккензи,ТН,Роялы
laverneca,Университет Ла-Верн,Ла-Верн,Калифорния,Лепрды
andersonsc,Колледж Андерсон,Андерсон,СЦ,Тройны
chicagost,Чикагский государственный университет,Чикаго,Я,Песцы
ferrisst,Ферриссийский государственный университет,Большой Рапидс,МИ,Бульдоги
clevst,Государственный университет Кливленда,Кливленд,О,Викинги
bridgeport,Университет моста Бригама,Бриджпорт,КТ,Фиолетовые рыцари
indiana,Индианский университет,Блумингтон,В,Хоусеры
ccri,Общий колледж Род-Айленда,Уорик,РИ,Рыцари
wminsterpa,Западно-Эмпирский колледж,Новый Уилинг,ПА,Титаник
maine,Университет Мэна,Ороно,Я,Чёрные медведи
philsmith,Колледж Филандер Смит,Малр록,АГ,Пантеры
delawarest,デラウェア州立大学,Довер,Да здравствует Россия! Это будет отличный перевод.,Жуки-вредители
savcolad,Университет искусств Саванны,Саванна,ГА,Пчёлы
utep,Университет Техаса в Эль-Пасо,Эл-Пасо,ТХ,Минеры
biolaca,Университет Биола,Ла Мирада,Калифорния,Орлы
willamette,Университет Вилламетта,Салем,О'р,Медвежьи коты
ursinus,Урсинусский колледж,Колледжвилл,ПА,Медведи
sacstate,"Калифорнийский государственный университет, Сакраменто",Сакраменто,Калифорния,Жуки-вредители
utarl,Университет Техаса в Арлингтоне,Арлингтон,ТХ,Маверики
sflorida,Университет Южной Флориды,Тампа,ФЛ,Улья
shorterga,Укороченный колледж,Рим,ГА,Сыры
hofstra,Университет Хофстра,Хемпстед,Нью-Йорк,Гордость
oregonst,Oregonский государственный университет,Корваллис,О'р,Рыси
pbsc,Университет штата Плам-Бич,Озеро Уорथ,ФЛ,Пантеры
vcu,Университет Вирджинии и Содружества,Ричмонд,ВА,Рэмсы
lockhaven,Университет Лок-Хавен в Пенсильвании,Лок-Хейвен,ПА,Белые орлы
whitmanwa,Уитманский колледж,Вала-Вала,WA,Миссионеры
cornell,Корнеллский университет,Итака,Нью-Йорк,Больший Красный
pace,Универсиитет Пейс,Нью-Йорк,Нью-Йорк,Установщики
georgemas,Джорджийский университет Мейсона,Фэрфакс,ВА,Патриоты
williamsma,Уильямс-колледж,Уильямстон,МА,Эпс
tamukvill,Техасский университет А&М в Кингсвилле,Кингсвилл,ТХ,Явелинасы
quincy,Университет Кинси,Квинси,Я,Сыры
salabama,Университет Южной Америки,Мобильный,АЛ,Ягуары
riponwi,Рипон Колледж,Рипон,ВИ,Красные ястобычи
nalabama,Университет Северной Алабамы,Флоренция,АЛ,Львы
ilcollege,Колледж Иллинойса,Джексонвилл,Я,Блюбойз
lewisil,Университет Льюиса,Рома-вилл,Я,Флаеры
alcornst,Государственный университет Алкорна,Лормэн,Мएस,Храбры
hawaiihilo,Университет Гавайи на Хило,Хило,Привет!,Вулканы
iupufw,Индианский университет-Пурдью Форт-Уэйн,Форт-Уэйн,В,Мастодоны
newyorku,Нью-Йоркский университет,Нью-Йорк,Нью-Йорк,Фиалки
stjosephs,Университет Святого Иосифа,Филадельфия,ПА,Сыры
emoryga,Эмори-университет,Атланта,ГА,Орлы
shepherdwv,Колледж Шеперд,Шеппардстаун,Западная Вирджиния,Рэмсы
memphis,Университет Мемфиса,Мемфис,ТН,Тигры
washburn,Вашбанкский университет в Токоле,Токва,КС,Ихабодс
portlandst,Портлендский государственный университет,Портленд,О'р,Викинги
coloradost,Колорадский государственный университет,Форт-Коллинз,Копия,Рэмсы
franklinin,Франклинский колледж,Франклин,В,Гризли
haskellks,Университет коренных народов Хаски,Лоуренс,КС,Индийцы
columbia,Колумбийский университет,Нью-Йорк,Нью-Йорк,Львы
oregon,Университет Орегона,Евгений,О'р,Качки
manhattan,Манхэттенский колледж,Ривердейл,Нью-Йорк,Ясперы
mtolive,Колледж Маунт-Олив,Маунт-Олив,Н/Д,Тройны
grcanyon,Университет Гранд-Каньон,Финикс,АЗ,Антилопы
stxavieril,Университет СвятогоXavier,Чикаго,Я,Песцы
indianapa,Индиана Университет Пенсильвании,Индиана,ПА,Индийцы
murrayst,Университет Мюррея штата Кентукки,Мэри,К,Породистые
highpoint,Высший университет Хай-Пойнт,Высокий Пойнт,Н/Д,Пантеры
silledward,Южный Университет Иллинойса в Эвансвилле,Эдвардсвилл,Я,Песцы
richmond,Университет Ричмонда,Ричмонд,ВА,пауки
albany,"Университет Альбани, государственный университет Нью-Йорка",Альбани,Нью-Йорк,Грейт Dane
chapmanca,Университет Чепмена,Оранжевый,Калифорния,Пантеры
baconeok,Колледж Бэйкона,Мускоги,"Добро пожаловать в чат-бота-переводчика! Я готов помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь предоставить точный и естественный перевод.",Воины
elizbthtwn,Колледж Элизабеттауна,Элизабеттаун,ПА,Блю Джейс
lehigh,Льюисвский университет,Бетлехем,ПА,Горные соколи
lemoynowen,Колледж ЛеМойн-Оуэн,Мемфис,ТН,Маги
bloomsburg,Блумамибургский университет Пенсильвании,Блумсбург,ПА,Хаски
bucknell,Университет Бакнелл,Льюисбург,ПА,Бизон
wmichigan,Западный Мичиганский университет,Каламазу,МИ,Бонс
ohdominican,Университет Огайо Доминго,Колумбус,О,Пантеры
millikin,Университет Милликена,Декейр,Я,Большой синий
lanecol,Лейн Колледж,Джексон,ТН,Драконы
lsu,Луизианский государственный университет,Батон-Руж,Лос-Анджелес,Тигры
tennst,Теннессийский государственный университет,Нэшвилл,ТН,Тигры
drake,Университет Дрейка,Дес-Монс,Я,Бульдоги
harding,Университет Хардинга,Сарси,АГ,Бизон
ecentralok,Восточно-Центральный университет,Эда,"Добро пожаловать в чат-бота-переводчика! Я готов помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь предоставить точный и естественный перевод.",Тигры
wconnst,Западный Коннектикутский государственный университет,Данбери,КТ,Колонисты
pugetsound,Университет Пьюгет Саунд,Такома,WA,Логгеры
chicago,Университет Чикаго,Чикаго,Я,Маруни
ulala,Лафайетский университет Луизианы,Лафайетт,Лос-Анджелес,Рагин' Каджунс
stmartinwa,Колледж Святого Мартина,Лэйси,WA,Святые
samford,Университет Самфорда,Бирмингем,АЛ,Бульдоги
linfieldor,Колледж Линфилд,Макминвилл,О'р,Дикие коты
newberry,Новыйбургский колледж,Ньюбери,СЦ,Индийцы
txtech,Техасский технологический университет,Луббок,ТХ,Красные рейдеры
carthagewi,Картажский колледж,Кеноша,ВИ,Редмен
valdostast,Валдоста государственный университет,Валдоста,ГА,Блузки
cconnst,Центральный университет штата Коннектикут,Новая Британия,КТ,Синие дьяволы
marist,Колледж Марист,Пкипсей,Нью-Йорк,Красные лисы
muskingum,Мускингемский колледж,Новый Конкорд,О,Борьба с мышами
ilwesleyan,Иллинойсский университет в Уэлсвилле,Блумингтон,Я,Титаник
sterlingks,Стерлингский университет,Стерлинг,КС,Воины
ucsb,"Университет Калифорнии, Санта-Барбара",Санта-Барбара,Калифорния,Гавчо
stlouis,Университет Святого Луиса,Сент-Луис,МО,Билликены
wvstate,Вашингтонский государственный университет,Институт,Западная Вирджиния,Желтые жакеты
sarkansas,Южный университет Арканзаса,Магнолия,АГ,Мульдрыдер
pittsbst,Питтсбургский государственный университет,Питтсбург,КС,Гориллы
sanjosest,Университет штата Сан-Хосе,Сан-Хосе,Калифорния,Спартаны
creighton,Университет Крешента,Омаху,НЕ,Сурки
uniontn,Университетский союз,Джексон,ТН,Бульдоги
sela,Юго-восточный университет Луизианы,Хаммонд,Лос-Анджелес,Львы
wheaton,Колледж Уейтона,Уэйтон,Я,Грозовой
carkansas,Университет Центрального Арканса,Консвай,АГ,Медведи
emporiast,Университет Эмори,Эмпория,КС,Жуки-вредители
ouachitab,Уачитский баптистский университет,Аркаделия,АГ,Тигры
longbeach,Калифорнийский университет в Лон-Бич,Долгий пляж,Калифорния,"""49ers"" на русском языке будет ""Четырнадцать""."
lamar,Ламарский университет,Бомонт,ТХ,Кардиналы
california,Калифорнийский университет,Беркли,Калифорния,Золотые медведи
samhouston,Университет Сама Хьюстона штата Техас,Хантсвилл,ТХ,Баркац
wlmjewell,Колледж Уильяма Джуэля,Свобода,МО,Кардиналы
bartonnc,Колледж Бартона,Уилсон,Н/Д,Бульдоги
austincol,Колледж Остина,Шерман,ТХ,Кангуры
utchat,Университет Теннесси в Чаттануге,Чаттануга,ТН,Мокрые
schreiner,Университет Шрайнера,Кэрровилл,ТХ,Горные альпинисты
grovecity,Колледж Гров-Сити,Город-сад Гров,ПА,Волверины
wiwhitewtr,Университет Висконсина — Уайтвотер,Белый водный ток,ВИ,Стрижевыи
furman,Университет Фурмана,Гринвилл,СЦ,Паладины
northwood,Университет Нортвуд,Средний,МИ,Timофеев
morganst,Университет Моргана,Балтимор,МД,Медведи
arkansas,Университет Арканзаса,Файетвилл,АГ,Рэйзеры
stjohns,Университет Святого Джона,Ямайка,Нью-Йорк,Огнёная буря
rosehulman,Институт Роска-Хулмана,Терр-Хайт,В,Инженеры
swarthmore,Свартмёрский колледж,Свартоу,ПА,Яблоко
alabamast,Альабамский государственный университет,Монтье́р,АЛ,Жуки-вредители
iowa,Университет Айовы,Иова-Сити,Я,Хьюз
humboldtst,Государственный университет Хамболта,Арката,Калифорния,Лесорубы
wshngtonmo,Вашингтонский университет в Сент-Луисе,Сент-Луис,МО,Медведи
newhaven,Университет Нью-Хейвена,Нью-Хейвен,КТ,"""Захватчики"""
upenn,Университет Пенсильвании,Филадельфия,ПА,Кверкисты
edinboro,Университет Эдинброу Пенсильвании,Единборо,ПА,Борющиеся шотландцы
arizonast,Аризонский государственный университет,Темпе,АЗ,Солнечные Девы
georgtwnky,Колледж Джорджтаун,Джорджтаун,К,Тигры
mercer,Университет Мерцера,Макон,ГА,Медведи
hawaiipac,Хавайский университет Тихого океана,Гонолулу,Привет!,Морские воины
nebraska,Университет Небраски,Линкольн,НЕ,Хаскеры
bryant,Колледж Брайант,Смитфилд,РИ,Бульдоги
arkansaslr,Университет Арканзаса в Литл-Роке,Малр록,АГ,Тройны
etxbaptist,Восточно-Техасский баптистский университет,Маршал,ТХ,Тигры
missst,Миссисипский государственный университет,Старквилл,Мएस,Бульдоги
calstnorth,Калифорнийский государственный университет в Нортридже,Нортордрейдж,Калифорния,Бо́льщики
setonhall,Университет Сетона Холла,Южный Орандж,Ндж,Пираты
seattle,Сиэтльский университет,Сиэтл,WA,Соколы
bostoncoll,Бостонский колледж,Черешневый холм,МА,Орлы
grandview,Большой вид колледжа,Дес-Монс,Я,Викинги
lincolnmem,Университет им. Линкольна,Харрогейт,ТН,Рэйлсплиттерс
ecarolina,Восточный Университет Северной Каролины,Гринвилл,Н/Д,Пираты
okcity,Оклахома-Сити Университет,Оклахома-Сити,"Добро пожаловать в чат-бота-переводчика! Я готов помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь предоставить точный и естественный перевод.",Звёзды
sindiana,Университет Южного Индианы,Эвансвилл,В,Скреющие орлы
saginawval,Сагино-Вэлли Стейт Университет,Центр университета,МИ,Кардиналы
iawesleyan,Иовский методический колледж,Монт-Плезант,Я,Тигры
frankmarsh,Фрэнклин и Маршалл Колледж,Ланкастер,ПА,Дипломаты
virginiast,Вирджинский государственный университет,Санкт-Петербург,ВА,Тройны
csdomhills,Калифорнийский государственный университет в Домингес-Хиллз,Карсон,Калифорния,Торасы
fltech,Флоридский технологический институт,Мельбурн,ФЛ,Пантеры
baruchcuny,"Барух Колледж, Университет города Нью-Йорка",Нью-Йорк,Нью-Йорк,Медвежьи коты
mnmorris,"Университет Миннесоты, Моррис",Моррис,МН,Песцы
genevapa,Женевский колледж,Бэйвер-Фоллс,ПА,Золотой грязь
gaswestern,Джорджийский юго-западный государственный университет,Америкус,ГА,Ураганы
olivetnaz,Университет Оливет Назарен,Бурбонская,Я,Тигры
savstate,Гавский государственный университет,Саванна,ГА,Тигры
cshayward,Калифорнийский государственный университет в Хейварде,Хейворд,Калифорния,Пионеры
sunybing,Государственный университет Нью-Йорка в Бингемтоне,Бингемтон,Нью-Йорк,Медвежьи коты
deltast,Государственный университет Дельты,Кливленд,Мएस,Πολιци
cornellia,Корнеллский колледж,Маунтин-Вернон,Я,Рэмсы
ferrumva,Колледж Феррум,Феррум,ВА,Пантеры
trinitytx,Тримнити-университет,Сан-Антонио,ТХ,Тигры
iupui,Индианский университет - Университет Пердью в Индианаполисе,Индианаполис,В,Ягуары
dominican,Доминиканский колледж,Оранбург,Нью-Йорк,"""Захватчики"""
fairldick,Университет Фэрли-Дикинсон,Тэанек,Ндж,Рыцари
american,Американский университет,Вашингтон,ДК,Орлы
kansasst,Университет штата Канзас,Мэни-Хан,КС,Дикие коты
estroud,Университет East Stroudsburg в Пенсильвании,Восточный Страфсбург,ПА,Воины
ucsd,"Университет Калифорнии, Сан-Диего",Ла-Хойя,Калифорния,Тритоны
gonzaga,Университет Гонзага,Спокан,WA,Бульдоги
mastersca,Колледж Мастера,Санта-Кларита,Калифорния,Мустанги
millersvil,Университет Милерса в Пенсильвании,Миллерсвилл,ПА,Бандиты
sunybuff,Государственный университет Нью-Йорка в Буффало,Баффало,Нью-Йорк,Улья
byu,Университет Brigham Young,Прово,УТ,Песцы
delaware,Университет Делавера,Ньюарк,Да здравствует Россия! Это будет отличный перевод.,Синие хены
uscaiken,Университет Южной Каролины Эйкен,Айкен,СЦ,Пэйсерс
youngst,государственный университет Янсберга,Молодёжный,О,Пингвины
colbyme,Колби-колледж,Ватервилл,Я,Мули
crdstritch,Университет кардинала Стричча,Милвоки,ВИ,Волки
mansfield,Манчестерский университет Пенсильвании,Мансфилд,ПА,Горные альпинисты
nyoneonta,Государственный университет Oneonta,Онеонта,Нью-Йорк,Красный дракон
tuftsma,Тафтс-университет,Медфорд,МА,Джамбос
dayton,Университет Дейтона,Деньтон,О,Флаеры
muhlenberg,Колледж Мульхенберга,Аллантаун,ПА,Мули
albanyst,Албаниский государственный университет,Альбани,ГА,Золотые рыси
macollege,Массачусетский колледж либеральных искусств,Северный Адамс,МА,Пионеры
citadel,Цитадель,Чарльстон,СЦ,Бульдоги
radford,Университет Радфорда,Радфорд,ВА,Хайлендеры
ohwesleyan,Университет Уэзлиана в Огайо,Делавэр,О,Битва епископов
knoxil,Колледж Knox (и колледж Lombard),Галесберг,Я,Пламенная поляна
michigan,Университет Мичигана,Анна-Арбор,МИ,Волверины
stmichaels,Сент-Майклский колледж,Колчестер,ВТ,Фиолетовые рыцари
mcdaniel,МакДэниел Колледж,Вестминстер,МД,Зелёный ужас
harvard,Гарвардский университет,Кембридж,МА,Кремовый
utsa,Университет Техаса в Сан-Антонио,Сан-Антонио,ТХ,Птицы-дорогоборы
utahst,Утиский государственный университет,Логан,УТ,Агги
bluefield,Колледж Блюфилд,Блюфилд,ВА,Рэмсы
airforce,Академия ВВС США,Колорадо-Спрингс,Копия,Соколы
lipscomb,Университет Липпкокса,Нэшвилл,ТН,Бизоны
sacheart,Университет Святого Сердца,Фейрфилд,КТ,Пионеры
rowannj,Роуский университет,Глазборо,Ндж,Профессора
ekentucky,Восточный университет Кентукки,Ричмонд,К,Колонели
nycortland,"Государственный университет Нью-Йорка, колледж в Кортленде",Кортленд,Нью-Йорк,Красный дракон
stonybrook,Университет Стоны Брук,Стоуни-Брук,Нью-Йорк,Морские волки
gardwebb,Университет Гарнер-Вебба,Боулинг-Спрингс,Н/Д,Бульдоги
stmarysca,Калифорнийский колледж Святого Марии,Морага,Калифорния,Гэлы
wyoming,Университет Вайоминга,Ларамие,В,Кочевники
umes,Университет Мэриленда (Восточный берег),Принцесса Анна,МД,Борцы с хяками
bethanywv,Бетани Колледж,Бетани,Западная Вирджиния,Бизон
ulamo,Университет Луизианы в Монро,Монро,Лос-Анджелес,Индийцы
wesleyanct,Универсытет Веслиан,Миддлтон,КТ,Кардиналы
cflorida,Универзитет Центра Флориды,Орландо,ФЛ,Золотые Рыцари
forthays,Форт-Хейс-Стэйт-Университи,Хайс,КС,Тигры
wlmpennia,Университет Уильяма Пена,Оскалоса,Я,Πολιци
mankatost,"Государственный университет Миннесоты, Манкато",Манкато,МН,Маверики
batesme,Бейтс Колледж,Лейтон,Я,Бобкоты
providence,Провиденсский колледж,Провиденс,РИ,Чинники
wminstermo,Западно-Эмпирский колледж,Фултон,МО,Блю Джейс
amherstma,Амхерстский колледж,Амхерст,МА,Лорд Джеффс
smaine,Университет Южной Кореи,Горхам,Я,Хаски
lutheria,Лютер Колледж,Декора,Я,Норвегия
benedctnks,Бенедиктинский колледж,Ачсон,КС,Короли
tarletonst,Университет штата Тарлетон,Стефенвилл,ТХ,Техасцы
portland,Университет Портленда,Портленд,О'р,Пилоты
clarion,Клярунский университет Пенсильвании,Клярьон,ПА,Золотые орлы
sanfran,Университет Сан-Франциско,Сан-Франциско,Калифорния,Донс
flbarry,Университет Барри,Майами-Шорс,ФЛ,Бучанеры
bowlgreen,Государственный университет Боулинг-Грин,Боуринг-Грин,О,Соколы
sdcity,Сан-Диего Колледж города,Сан-Диего,Калифорния,Рыцари
glenvilst,Гленвиллский государственный колледж,Гленвилл,Западная Вирджиния,Пионеры
thielpa,Колледж Тьел,Гринвилл,ПА,Томкаты
liberty,Университет Либерти,Линчберг,ВА,Огни
beloitwi,Белоитский колледж,Белоит,ВИ,Бучанеры
troyst,Тройский государственный университет,Трой,АЛ,Тройны
wittnbrgoh,Витовтенский университет,Спрингфилд,О,Тигры
wilacrosse,Университет Висконсина в Ла-Кроссе,Ла-Кросс,ВИ,Орлы
southernu,Южный университет и колледж А&М,Батон-Руж,Лос-Анджелес,Ягуары
bridgwtrst,Бриджвотерский государственный колледж,Бриджвотер,МА,Медведи
nmexico,Университет Нью-Мексико,Альбукерке,НМ,волки
wgeorgia,Западно-Джорджийский государственный университет,Карролтон,ГА,Храбры
tntech,Теннессийский технологический университет,Куколовиль,ТН,Золотые орлы
