playerid,yearid,teamid,lgid,round,pos,g,gs,innouts,po,a,e,dp,tp,pb,sb,cs
lavalmi01,1993,CHA,AL,АЛКС,Тебе,2,1,30.0,8,0,0,0,0,0.0,1.0,0.0
sandera01,1943,SLN,NL,Да,Объяснение: 1Б,5,5,129.0,41,5,0,4,0,,,
anderbr01,1997,BAL,AL,АЛКС,CF,6,6,174.0,13,0,1,0,0,,,
labincl01,1959,LAN,NL,Да,П,1,0,3.0,0,0,0,0,0,,0.0,0.0
guthrma01,1991,MIN,AL,АЛКС,П,2,0,8.0,0,1,0,0,0,,0.0,0.0
pierrju01,2003,FLO,NL,НЛЦС,CF,7,7,198.0,13,0,0,0,0,,,
groteje01,1978,LAN,NL,НЛЦС,Тебе,1,0,6.0,2,0,0,0,0,0.0,0.0,0.0
howarel01,1958,NYA,AL,Да,LF,5,5,115.0,14,2,0,2,0,,,
mooremi01,1989,OAK,AL,Да,П,2,2,39.0,0,3,0,0,0,,2.0,1.0
kellyge01,1922,NY1,NL,Да,Объяснение: 1Б,5,5,138.0,61,1,0,2,0,,,
backebr01,2005,HOU,NL,Да,П,1,1,21.0,1,2,0,0,0,,0.0,0.0
eyresc01,2002,SFN,NL,Да,П,3,0,9.0,0,1,0,0,0,,0.0,0.0
donlimi01,1905,NY1,NL,Да,CF,5,5,135.0,16,0,0,0,0,,,
pagejo01,1949,NYA,AL,Да,П,3,0,27.0,0,2,0,1,0,,0.0,0.0
weisswa01,2000,ATL,NL,NLДС1,SS,1,1,18.0,2,1,0,0,0,,,
rhyneha01,1927,PIT,NL,Да,Двадцать два,1,1,24.0,0,6,0,0,0,,,
hamptmi01,2004,ATL,NL,НЛДС2,П,2,1,22.0,0,1,0,0,0,,0.0,1.0
elartsc01,1999,HOU,NL,NLДС1,П,2,0,7.0,0,1,0,0,0,,0.0,0.0
rhodedu01,1954,NY1,NL,Да,LF,2,0,33.0,4,0,0,0,0,,,
frencla01,1941,BRO,NL,Да,П,2,0,3.0,0,0,0,0,0,,0.0,0.0
mitchke02,1991,ATL,NL,НЛЦС,LF,5,0,36.0,2,0,0,0,0,,,
willido03,2003,FLO,NL,Да,П,3,0,11.0,0,1,0,0,0,,1.0,0.0
kotsama01,2006,OAK,AL,АЛКС,CF,4,4,104.0,10,0,0,0,0,,,
crosefr01,1942,NYA,AL,Да,3В,1,0,24.0,1,1,0,0,0,,,
hermage01,1949,BRO,NL,Да,LF,1,1,24.0,0,0,0,0,0,,,
bauerha01,1951,NYA,AL,Да,Ф,5,3,104.0,7,0,0,0,0,,,
keyji01,1992,TOR,AL,Да,П,2,1,27.0,2,4,0,0,0,,1.0,0.0
kucksjo01,1956,NYA,AL,Да,П,3,1,33.0,1,2,0,1,0,,1.0,0.0
larocad01,2004,ATL,NL,НЛДС2,Объяснение: 1Б,5,5,122.0,42,3,0,6,0,,,
rincori01,2002,OAK,AL,ALDS2,П,2,0,9.0,0,0,0,0,0,,0.0,0.0
bluevi01,1974,OAK,AL,АЛКС,П,1,1,27.0,0,1,0,0,0,,0.0,1.0
martipe01,1934,SLN,NL,Да,3В,7,7,196.0,6,9,4,0,0,,,
lemkema01,1996,ATL,NL,NLДС1,Двадцать два,3,3,84.0,4,8,0,1,0,,,
olerujo01,1999,NYN,NL,НЛДС2,Объяснение: 1Б,4,4,108.0,31,4,0,3,0,,,
molinbe01,2005,LAA,AL,АЛКС,Тебе,4,4,108.0,26,7,0,1,0,0.0,4.0,4.0
ortizru01,2002,SFN,NL,НЛЦС,П,1,1,14.0,0,0,0,0,0,,0.0,0.0
francma01,2000,NYN,NL,Да,Объяснение: 1Б,1,0,3.0,1,0,0,0,0,,,
oroscje01,1997,BAL,AL,АЛКС,П,2,0,4.0,0,1,0,0,0,,0.0,0.0
sabatcc01,2007,CLE,AL,АЛКС,П,2,2,31.0,1,1,0,1,0,,0.0,0.0
mientdo01,2004,BOS,AL,АЛКС,Объяснение: 1Б,4,0,42.0,9,1,0,0,0,,,
wohlema01,1991,ATL,NL,Да,П,3,0,5.0,0,0,0,0,0,,0.0,1.0
armasto01,1981,OAK,AL,АВДИВ,Ф,3,3,75.0,6,0,1,0,0,,,
lummi01,1969,ATL,NL,НЛЦС,LF,1,0,6.0,0,0,0,0,0,,,
bellhi01,1926,SLN,NL,Да,П,1,0,6.0,0,0,0,0,0,,0.0,0.0
hootobu01,1977,LAN,NL,Да,П,2,2,36.0,0,0,0,0,0,,0.0,0.0
fitzsfr01,1936,NY1,NL,Да,П,2,2,35.0,1,2,0,0,0,,0.0,0.0
garresc01,1989,SFN,NL,НЛЦС,П,2,2,35.0,0,1,0,0,0,,2.0,0.0
rijojo01,1990,CIN,NL,НЛЦС,П,2,2,37.0,0,0,0,0,0,,2.0,1.0
padilvi01,2009,LAN,NL,NLДС1,П,1,1,21.0,1,3,0,0,0,,0.0,0.0
thomeji01,1995,CLE,AL,АЛДС1,3В,3,3,87.0,6,6,0,1,0,,,
gossari01,1981,NYA,AL,АДЕВ,П,3,0,20.0,0,0,0,0,0,,0.0,0.0
milnejo01,1979,PIT,NL,Да,LF,3,3,63.0,5,0,0,0,0,,,
johnsea01,1946,BOS,AL,Да,П,3,0,10.0,0,2,0,0,0,,0.0,0.0
beckebe01,1912,NY1,NL,Да,CF,1,1,33.0,0,1,0,0,0,,,
wagnebi02,1998,HOU,NL,НЛДС2,П,1,0,3.0,0,0,0,0,0,,0.0,0.0
taverfr01,1974,PIT,NL,НЛЦС,SS,2,2,27.0,2,1,0,0,0,,,
bulgeja01,2009,LAA,AL,ALDS2,П,1,0,3.0,0,0,0,0,0,,0.0,0.0
martije01,1978,PHI,NL,НЛЦС,Ф,3,2,68.0,7,0,0,0,0,,,
wilsopr01,2006,SLN,NL,НЛДС2,LF,2,2,54.0,2,0,0,0,0,,,
duncama01,1996,NYA,AL,ALDS2,Двадцать два,4,4,108.0,9,13,0,2,0,,,
