playerid,awardid,yearid,lgid,tie,notes
bakerfr01,Baseball Magazine All-Star,1911,AL,,3В
bendech01,Baseball Magazine All-Star,1911,AL,,P4
bushdo01,Baseball Magazine All-Star,1911,AL,,SS
carribi02,Baseball Magazine All-Star,1911,AL,,С2
chaseha01,Baseball Magazine All-Star,1911,AL,,Объяснение: 1Б
cobbty01,Baseball Magazine All-Star,1911,AL,,CF
collied01,Baseball Magazine All-Star,1911,AL,,Двадцать два
coombja01,Baseball Magazine All-Star,1911,AL,,Пять
crawfsa01,Baseball Magazine All-Star,1911,AL,,LF
greggve01,Baseball Magazine All-Star,1911,AL,,П3
jacksjo01,Baseball Magazine All-Star,1911,AL,,Ф
johnswa01,Baseball Magazine All-Star,1911,AL,,П1
stanaos01,Baseball Magazine All-Star,1911,AL,,С3
thomair01,Baseball Magazine All-Star,1911,AL,,С1
walshed01,Baseball Magazine All-Star,1911,AL,,P2
alexape01,Baseball Magazine All-Star,1911,ML,,П3
bakerfr01,Baseball Magazine All-Star,1911,ML,,3В
bresnro01,Baseball Magazine All-Star,1911,ML,,С1
chaseha01,Baseball Magazine All-Star,1911,ML,,Объяснение: 1Б
clarkfr01,Baseball Magazine All-Star,1911,ML,,LF
cobbty01,Baseball Magazine All-Star,1911,ML,,CF
collied01,Baseball Magazine All-Star,1911,ML,,Двадцать два
dooinre01,Baseball Magazine All-Star,1911,ML,,С2
greggve01,Baseball Magazine All-Star,1911,ML,,P4
jacksjo01,Baseball Magazine All-Star,1911,ML,,Ф
johnswa01,Baseball Magazine All-Star,1911,ML,,P2
mathech01,Baseball Magazine All-Star,1911,ML,,P2
meyerch01,Baseball Magazine All-Star,1911,ML,,С3
ruckena01,Baseball Magazine All-Star,1911,ML,,Пять
grissma02,ALCS MVP,1997,AL,,
alomasa02,All-Star Game MVP,1997,ML,,
aloumo01,Babe Ruth Award,1997,NL,,ОФ
biggicr01,Branch Rickey Award,1997,ML,,
clemero02,Cy Young Award,1997,AL,,
martipe02,Cy Young Award,1997,NL,,
edmonji01,Gold Glove,1997,AL,,ОФ
griffke02,Gold Glove,1997,AL,,ОФ
knoblch01,Gold Glove,1997,AL,,Двадцать два
mussimi01,Gold Glove,1997,AL,,П
palmera01,Gold Glove,1997,AL,,Объяснение: 1Б
rodriiv01,Gold Glove,1997,AL,,Тебе
vizquom01,Gold Glove,1997,AL,,SS
willibe02,Gold Glove,1997,AL,,ОФ
willima04,Gold Glove,1997,AL,,3В
biggicr01,Gold Glove,1997,NL,,Двадцать два
bondsba01,Gold Glove,1997,NL,,ОФ
caminke01,Gold Glove,1997,NL,,3В
johnsch04,Gold Glove,1997,NL,,Тебе
maddugr01,Gold Glove,1997,NL,,П
mondera01,Gold Glove,1997,NL,,ОФ
ordonre01,Gold Glove,1997,NL,,SS
snowjt01,Gold Glove,1997,NL,,Объяснение: 1Б
walkela01,Gold Glove,1997,NL,,ОФ
daviser01,Hutch Award,1997,ML,,
molitpa01,Lou Gehrig Memorial Award,1997,ML,,
griffke02,Most Valuable Player,1997,AL,,
walkela01,Most Valuable Player,1997,NL,,
hernali01,NLCS MVP,1997,NL,,
clemero02,Pitching Triple Crown,1997,AL,,
daviser01,Roberto Clemente Award,1997,ML,,
myersra01,Rolaids Relief Man Award,1997,AL,,
shawje01,Rolaids Relief Man Award,1997,NL,,
garcino01,Rookie of the Year,1997,AL,,
rolensc01,Rookie of the Year,1997,NL,,
garcino01,Silver Slugger,1997,AL,,SS
gonzaju03,Silver Slugger,1997,AL,,ОФ
griffke02,Silver Slugger,1997,AL,,ОФ
justida01,Silver Slugger,1997,AL,,ОФ
knoblch01,Silver Slugger,1997,AL,,Двадцать два
martied01,Silver Slugger,1997,AL,,ДХ
martiti02,Silver Slugger,1997,AL,,Объяснение: 1Б
rodriiv01,Silver Slugger,1997,AL,,Тебе
willima04,Silver Slugger,1997,AL,,3В
bagweje01,Silver Slugger,1997,NL,,Объяснение: 1Б
biggicr01,Silver Slugger,1997,NL,,Двадцать два
blausje01,Silver Slugger,1997,NL,,SS
bondsba01,Silver Slugger,1997,NL,,ОФ
castivi02,Silver Slugger,1997,NL,,3В
gwynnto01,Silver Slugger,1997,NL,,ОФ
piazzmi01,Silver Slugger,1997,NL,,Тебе
smoltjo01,Silver Slugger,1997,NL,,П
walkela01,Silver Slugger,1997,NL,,ОФ
clemero02,TSN All-Star,1997,AL,,Правостороннее движение
garcino01,TSN All-Star,1997,AL,,SS
griffke02,TSN All-Star,1997,AL,,ОФ
johnsra05,TSN All-Star,1997,AL,,ЛПХ
kaatji01,Gold Glove,1977,NL,,П
ramirar01,Hank Aaron Award,2008,NL,,
dibblro01,NLCS MVP,1990,NL,,
suttebr01,Babe Ruth Award,1982,NL,,РП
benchjo01,Most Valuable Player,1970,NL,,
dimagjo01,TSN All-Star,1942,ML,,ОФ
polanpl01,Gold Glove,2007,AL,,Двадцать два
dimagjo01,Baseball Magazine All-Star,1950,ML,,CF
fellebo01,TSN Major League Player of the Year,1940,ML,,
boddimi01,ALCS MVP,1983,AL,,
ripkeca01,Rookie of the Year,1982,AL,,
perryga01,Cy Young Award,1978,NL,,
fingero01,Rolaids Relief Man Award,1981,AL,,
lemonbo01,TSN Pitcher of the Year,1954,AL,,
aparilu01,Rookie of the Year,1956,AL,,
bonhati01,TSN All-Star,1942,ML,,П
musiast01,Most Valuable Player,1943,NL,,
nettlgr01,Gold Glove,1978,AL,,3В
roushed01,Baseball Magazine All-Star,1926,NL,,ОФ
chaseha01,Baseball Magazine All-Star,1909,AL,,Объяснение: 1Б
hubbeca01,TSN All-Star,1935,ML,,П
ryanno01,TSN Pitcher of the Year,1977,AL,,
sainjo01,Baseball Magazine All-Star,1948,ML,,P2
murphdw01,Gold Glove,1981,AL,,ОФ
friscfr01,Baseball Magazine All-Star,1933,NL,,Двадцать два
kentje01,TSN All-Star,2002,NL,,Двадцать два
suttebr01,Rolaids Relief Man Award,1982,NL,,
martipe02,Cy Young Award,2000,AL,,
pujolal01,Hank Aaron Award,2009,NL,,
murphda05,Gold Glove,1986,NL,,ОФ
musiast01,Baseball Magazine All-Star,1949,ML,,CF
kellge01,TSN All-Star,1951,ML,,3В
rosenal01,TSN All-Star,1953,ML,,3В
carltst01,Cy Young Award,1982,NL,,
tenacge01,World Series MVP,1972,ML,,
stargwi01,TSN All-Star,1965,NL,,ОФ
gardnla01,Baseball Magazine All-Star,1920,AL,,3В
oliveal01,Silver Slugger,1980,AL,,ОФ
hornsro01,Baseball Magazine All-Star,1919,NL,,SS
mcgwima01,Gold Glove,1990,AL,,Объяснение: 1Б
wyattwh01,Baseball Magazine All-Star,1942,ML,,П3
howarel01,Babe Ruth Award,1958,AL,,Тебе
derripa01,Baseball Magazine All-Star,1938,ML,,P2
wettejo01,Rolaids Relief Man Award,1996,AL,,
drewjd01,All-Star Game MVP,2008,ML,,
blairpa01,Gold Glove,1970,AL,,ОФ
lezcasi01,Gold Glove,1979,AL,,ОФ
kalinal01,TSN Player of the Year,1963,AL,,
ramirma02,Silver Slugger,2006,AL,,ОФ
maddugr01,Cy Young Award,1992,NL,,
whitebi03,Gold Glove,1962,NL,,Объяснение: 1Б
cartega01,All-Star Game MVP,1981,ML,,
chaseha01,Baseball Magazine All-Star,1910,AL,,Объяснение: 1Б
hayesfr01,Baseball Magazine All-Star,1940,AL,,Тебе
cuyleki01,Baseball Magazine All-Star,1931,NL,,CF
sierrru01,Silver Slugger,1989,AL,,ОФ
boggswa01,TSN All-Star,1985,AL,,3В
larkiba01,TSN All-Star,1999,NL,,SS
cabremi01,Hank Aaron Award,2012,AL,,
rodrial01,Gold Glove,2002,AL,,SS
newcodo01,Rookie of the Year,1949,NL,,
crawfsa01,Baseball Magazine All-Star,1908,AL,,CF
benchjo01,TSN All-Star,1972,NL,,Тебе
batteea01,Gold Glove,1962,AL,,Тебе
cartega01,Gold Glove,1982,NL,,Тебе
sandbry01,TSN All-Star,1990,NL,,Двадцать два
dickebi01,Baseball Magazine All-Star,1942,AL,,Тебе
helmsto01,Rookie of the Year,1966,NL,,
tenacge01,Babe Ruth Award,1972,AL,,Тебе
carrocl02,TSN Fireman of the Year,1972,NL,,
schulfr01,Baseball Magazine All-Star,1908,NL,,Ф
haineje01,Baseball Magazine All-Star,1927,NL,,P2
jackstr01,Baseball Magazine All-Star,1928,NL,,SS
whitede03,Gold Glove,1993,AL,,ОФ
ruthba01,Baseball Magazine All-Star,1930,AL,,Ф
thompro01,Silver Slugger,1993,NL,,Двадцать два
burleri01,Silver Slugger,1981,AL,,SS
terrybi01,Baseball Magazine All-Star,1930,NL,,Объяснение: 1Б
rolliji01,Gold Glove,2009,NL,,SS
batteea01,TSN All-Star,1965,AL,,Тебе
nehfar01,Baseball Magazine All-Star,1921,NL,,P2
rosebjo01,Gold Glove,1966,NL,,Тебе
lemonbo01,TSN All-Star,1950,ML,,П
bankser01,TSN Player of the Year,1958,NL,,
benchjo01,Lou Gehrig Memorial Award,1975,ML,,
jacksre01,Most Valuable Player,1973,AL,,
templga01,TSN All-Star,1979,NL,,SS
edmonji01,Gold Glove,2001,NL,,ОФ
pagejo01,Babe Ruth Award,1949,AL,,П
berrayo01,Baseball Magazine All-Star,1949,AL,,Тебе
dimagdo01,Baseball Magazine All-Star,1949,AL,,CF
henrito01,Baseball Magazine All-Star,1949,AL,,Объяснение: 1Б
kellge01,Baseball Magazine All-Star,1949,AL,,3В
michaca01,Baseball Magazine All-Star,1949,AL,,Двадцать два
pagejo01,Baseball Magazine All-Star,1949,AL,,P2
parneme01,Baseball Magazine All-Star,1949,AL,,П3
raschvi01,Baseball Magazine All-Star,1949,AL,,П1
stephve01,Baseball Magazine All-Star,1949,AL,,SS
wertzvi01,Baseball Magazine All-Star,1949,AL,,Ф
willite01,Baseball Magazine All-Star,1949,AL,,LF
berrayo01,Baseball Magazine All-Star,1949,ML,,Тебе
henrito01,Baseball Magazine All-Star,1949,ML,,Объяснение: 1Б
kellge01,Baseball Magazine All-Star,1949,ML,,3В
parneme01,Baseball Magazine All-Star,1949,ML,,P4
polleho01,Baseball Magazine All-Star,1949,ML,,P2
raschvi01,Baseball Magazine All-Star,1949,ML,,П1
robinja02,Baseball Magazine All-Star,1949,ML,,Двадцать два
spahnwa01,Baseball Magazine All-Star,1949,ML,,П3
stephve01,Baseball Magazine All-Star,1949,ML,,SS
wertzvi01,Baseball Magazine All-Star,1949,ML,,Ф
willite01,Baseball Magazine All-Star,1949,ML,,LF
camparo01,Baseball Magazine All-Star,1949,NL,,Тебе
gordosi01,Baseball Magazine All-Star,1949,NL,,3В
hodgegi01,Baseball Magazine All-Star,1949,NL,,Объяснение: 1Б
kinerra01,Baseball Magazine All-Star,1949,NL,,LF
musiast01,Baseball Magazine All-Star,1949,NL,,CF
newcodo01,Baseball Magazine All-Star,1949,NL,,П3
polleho01,Baseball Magazine All-Star,1949,NL,,П1
reesepe01,Baseball Magazine All-Star,1949,NL,,SS
robinja02,Baseball Magazine All-Star,1949,NL,,Двадцать два
slaugen01,Baseball Magazine All-Star,1949,NL,,Ф
spahnwa01,Baseball Magazine All-Star,1949,NL,,P2
willite01,Most Valuable Player,1949,AL,,
robinja02,Most Valuable Player,1949,NL,,
sievero01,Rookie of the Year,1949,AL,,
camparo01,TSN All-Star,1949,ML,,Тебе
henrito01,TSN All-Star,1949,ML,,Объяснение: 1Б
kellge01,TSN All-Star,1949,ML,,3В
santoro01,Gold Glove,1965,NL,,3В
morneju01,Silver Slugger,2006,AL,,Объяснение: 1Б
killeha01,TSN Player of the Year,1969,AL,,
palmede01,Silver Slugger,1998,AL,,3В
tananfr01,TSN All-Star,1977,AL,,ЛПХ
guilloz01,Rookie of the Year,1985,AL,,
cramedo01,TSN All-Star,1935,ML,,ОФ
vaughar01,Baseball Magazine All-Star,1942,NL,,3В
yountro01,TSN All-Star,1989,AL,,ОФ
collied01,Baseball Magazine All-Star,1922,AL,,Двадцать два
kluszte01,TSN All-Star,1955,ML,,Объяснение: 1Б
planked01,Baseball Magazine All-Star,1914,AL,,П3
sandbry01,TSN All-Star,1988,NL,,Двадцать два
musiast01,TSN All-Star,1948,ML,,ОФ
mattido01,TSN Player of the Year,1985,AL,,
