yearid,round,playerid,teamid,lgid,g,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
1981,НЕДВИЖИМЫЙ ДВИЖУЩИЙ СОРТОВЫЙ ИНДЕКС,garvest01,LAN,NL,5,19,4,7,0,1,2,4,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0
1946,Да,brazlal01,SLN,NL,1,2,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1915,Да,shoreer01,BOS,AL,2,5,0,1,0,0,0,0,0,0.0,0,3,0.0,0.0,1.0,0.0,0.0
1946,Да,dimagdo01,BOS,AL,7,27,2,7,3,0,0,3,0,0.0,2,2,0.0,0.0,1.0,0.0,3.0
1971,НЛЦС,sanguma01,PIT,NL,4,15,1,4,0,0,0,1,1,0.0,1,1,0.0,0.0,0.0,0.0,0.0
1888,Да,oneilti01,SL4,AA,10,37,8,9,1,0,2,11,0,,6,3,0.0,,,,
1987,Да,violafr01,MIN,AL,1,1,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1993,АЛКС,lavalmi01,CHA,AL,2,3,0,1,0,0,0,0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
2000,НЛЦС,benesan01,SLN,NL,1,3,1,1,0,0,0,0,0,0.0,0,2,0.0,0.0,1.0,0.0,0.0
2010,NLДС1,nixla01,CIN,NL,1,3,1,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1998,НЛДС2,hidalri01,HOU,NL,1,4,0,1,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1924,Да,jonnacl01,NY1,NL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2008,НЛДС2,fieldpr01,MIL,NL,4,14,1,1,0,0,1,2,0,0.0,2,5,2.0,0.0,0.0,1.0,0.0
2006,АЛДС1,monrocr01,DET,AL,4,16,3,3,1,0,2,3,0,0.0,0,3,0.0,0.0,0.0,0.0,0.0
1929,Да,simmoal01,PHA,AL,5,20,6,6,1,0,2,5,0,0.0,1,4,0.0,0.0,0.0,1.0,0.0
1939,Да,gordojo01,NYA,AL,4,14,1,2,0,0,0,1,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0
1998,НЛДС2,henrydo01,HOU,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2002,АЛДС1,coomero01,NYA,AL,1,2,0,1,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1998,Да,sweenma01,SDN,NL,3,3,0,2,0,0,0,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1972,НЛЦС,blassst01,PIT,NL,2,6,0,0,0,0,0,0,0,0.0,0,3,0.0,0.0,0.0,0.0,1.0
1911,Да,mathech01,NY1,NL,3,7,0,2,0,0,0,0,0,0.0,1,3,0.0,0.0,0.0,0.0,0.0
1964,Да,howarel01,NYA,AL,7,24,5,7,1,0,0,2,0,0.0,4,6,2.0,1.0,0.0,0.0,1.0
1973,АЛКС,grichbo01,BAL,AL,5,20,1,2,0,0,1,1,0,0.0,2,5,0.0,0.0,0.0,0.0,0.0
1987,НЛЦС,milneed01,SFN,NL,6,7,0,1,0,0,0,0,0,0.0,0,3,0.0,0.0,1.0,0.0,0.0
1996,НЛДС2,smithoz01,SLN,NL,2,3,1,1,0,0,0,0,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0
2001,Да,hitchst01,NYA,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1939,Да,hildeor01,NYA,AL,1,1,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1996,НЛЦС,osbordo01,SLN,NL,2,3,0,0,0,0,0,0,0,0.0,0,3,0.0,0.0,0.0,0.0,0.0
1952,Да,holmeto01,BRO,NL,3,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2004,НЛЦС,lambmi01,HOU,NL,2,5,2,2,0,0,2,2,0,0.0,1,1,0.0,0.0,0.0,0.0,1.0
1944,Да,falloge01,SLN,NL,2,2,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1978,НЛЦС,bakerdu01,LAN,NL,4,15,1,7,2,0,0,1,0,0.0,3,0,0.0,0.0,0.0,0.0,1.0
2008,НЛДС2,torresa01,MIL,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1999,НЛЦС,jonesan01,ATL,NL,6,23,5,5,0,0,0,1,0,1.0,4,3,0.0,0.0,1.0,0.0,1.0
2010,NLДС1,utleych01,PHI,NL,3,11,3,3,0,0,1,4,1,0.0,0,2,0.0,1.0,0.0,1.0,0.0
2008,NLДС1,dempsry01,CHN,NL,1,2,0,1,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1928,Да,maranra01,SLN,NL,4,13,2,4,1,0,0,0,1,0.0,1,1,0.0,0.0,0.0,0.0,0.0
2012,АЛКС,pettian01,NYA,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,,,,,
2004,НЛДС2,perezed02,ATL,NL,3,3,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
2009,НЛЦС,lidgebr01,PHI,NL,3,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2000,Да,polonlu01,NYA,AL,2,2,0,1,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2008,NLДС1,maddugr01,LAN,NL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2008,АЛКС,kotsama01,BOS,AL,7,30,1,7,3,0,0,0,0,0.0,0,4,0.0,0.0,0.0,0.0,0.0
2004,АЛДС1,cabreor01,BOS,AL,3,13,1,2,1,0,0,3,0,0.0,2,2,0.0,0.0,0.0,0.0,0.0
2005,НЛДС2,francju01,ATL,NL,3,9,0,2,0,0,0,0,0,0.0,1,3,0.0,0.0,0.0,0.0,0.0
1958,Да,bauerha01,NYA,AL,7,31,6,10,0,0,4,8,0,0.0,0,5,0.0,0.0,0.0,0.0,1.0
2008,Да,utleych01,PHI,NL,5,18,5,3,0,0,2,4,3,0.0,5,5,1.0,1.0,0.0,0.0,0.0
1911,Да,beckebe01,NY1,NL,3,3,0,0,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
1983,НЛЦС,hudsoch02,PHI,NL,1,4,0,0,0,0,0,0,0,0.0,0,3,0.0,0.0,0.0,0.0,0.0
1989,Да,rileser01,SFN,NL,4,8,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1989,АЛКС,leema02,TOR,AL,2,8,2,2,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1926,Да,jonessa01,NYA,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2009,Да,molinjo01,NYA,AL,2,2,0,0,0,0,0,0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
2001,ALDS2,tejadmi01,OAK,AL,5,21,1,6,3,0,0,1,0,0.0,0,3,0.0,1.0,0.0,1.0,0.0
1974,НЛЦС,auerbri01,LAN,NL,1,1,0,1,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1941,Да,hermabi01,BRO,NL,4,8,0,1,0,0,0,0,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0
1974,НЛЦС,taverfr01,PIT,NL,2,2,0,0,0,0,0,0,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0
2005,Да,ausmubr01,HOU,NL,4,16,1,4,1,0,0,0,0,0.0,1,3,0.0,1.0,1.0,0.0,1.0
1986,НЛЦС,ashbyal01,HOU,NL,6,23,2,3,1,0,1,2,0,0.0,2,1,0.0,0.0,0.0,0.0,1.0
1998,НЛДС2,hoffmtr01,SDN,NL,4,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1974,АЛКС,grichbo01,BAL,AL,4,16,2,4,1,0,1,2,0,0.0,0,1,0.0,0.0,0.0,0.0,1.0
1910,Да,reulbed01,CHN,NL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1995,АЛДС1,loftoke01,CLE,AL,3,13,1,2,0,0,0,0,0,0.0,1,3,0.0,1.0,0.0,0.0,0.0
1954,Да,heganji01,CLE,AL,4,13,1,2,1,0,0,0,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
1996,Да,jonesch06,ATL,NL,6,21,3,6,3,0,0,3,1,0.0,4,2,0.0,0.0,0.0,1.0,1.0
2006,АЛДС1,damonjo01,NYA,AL,4,17,3,4,0,0,1,3,0,0.0,1,2,0.0,0.0,0.0,0.0,0.0
1998,АЛДС1,garcino01,BOS,AL,4,15,4,5,1,0,3,11,0,0.0,1,0,1.0,0.0,0.0,2.0,1.0
2001,NLДС1,karsast01,ATL,NL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2004,НЛДС2,brunter01,HOU,NL,2,1,0,0,0,0,0,0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
2010,НЛЦС,rolliji01,PHI,NL,6,23,0,6,1,0,0,4,2,1.0,2,7,0.0,0.0,0.0,0.0,0.0
1985,Да,harpebr01,SLN,NL,4,4,0,1,0,0,0,1,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1993,НЛЦС,smoltjo01,ATL,NL,1,1,0,0,0,0,0,0,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
1972,НЛЦС,roberbo01,PIT,NL,4,0,0,0,0,0,0,0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
2005,АЛДС1,dyeje01,CHA,AL,3,10,1,2,0,0,0,0,0,0.0,1,2,0.0,1.0,0.0,0.0,0.0
1990,АЛКС,gallemi01,OAK,AL,4,10,1,4,1,0,0,2,0,1.0,1,1,0.0,1.0,0.0,0.0,0.0
1964,Да,heganmi01,NYA,AL,3,1,1,0,0,0,0,0,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
1982,Да,smithlo01,SLN,NL,7,28,6,9,4,1,0,1,2,2.0,1,5,0.0,0.0,0.0,0.0,0.0
1965,Да,pleisbi01,MIN,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2004,НЛДС2,harvich01,HOU,NL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1970,АЛКС,hendrel01,BAL,AL,1,5,2,2,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,1.0
1925,Да,fergual01,WS1,AL,2,4,0,0,0,0,0,0,0,0.0,0,3,0.0,0.0,0.0,0.0,0.0
1988,НЛЦС,oroscje01,LAN,NL,4,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1972,Да,odombl01,OAK,AL,4,4,0,0,0,0,0,0,0,0.0,0,3,0.0,0.0,0.0,0.0,0.0
1988,НЛЦС,elsteke01,NYN,NL,5,8,1,2,1,0,0,1,0,0.0,3,0,1.0,0.0,0.0,0.0,0.0
2004,NLДС1,cedenro01,SLN,NL,2,2,0,1,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2010,Да,molinbe01,TEX,AL,4,11,3,2,1,0,0,1,0,0.0,2,3,0.0,0.0,0.0,0.0,1.0
1919,Да,willile01,CHA,AL,3,5,0,1,0,0,0,0,0,0.0,0,3,0.0,0.0,0.0,0.0,0.0
2011,НЛДС2,hairsje02,MIL,NL,5,16,2,6,2,0,0,3,0,0.0,2,1,,,,,
2012,АЛДС1,chaveer01,NYA,AL,3,8,0,0,0,0,0,0,0,0.0,0,4,,,,,
2010,NLДС1,sweenmi01,PHI,NL,1,1,0,1,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1988,Да,davismi02,LAN,NL,4,7,3,1,0,0,1,2,2,0.0,4,0,0.0,0.0,0.0,0.0,0.0
1956,Да,skowrbi01,NYA,AL,3,10,1,1,0,0,1,4,0,0.0,0,3,0.0,0.0,0.0,0.0,0.0
1924,Да,gowdyha01,NY1,NL,7,27,4,7,0,0,0,1,0,0.0,2,2,0.0,0.0,0.0,0.0,1.0
1980,НЛЦС,rosepe01,PHI,NL,5,20,3,8,0,0,0,2,0,2.0,5,3,2.0,0.0,0.0,0.0,0.0
1947,Да,brownbo03,NYA,AL,4,3,2,3,2,0,0,3,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
1975,Да,tiantlu01,BOS,AL,3,8,2,2,0,0,0,0,0,0.0,2,4,0.0,0.0,1.0,0.0,0.0
1971,Да,dobsopa01,BAL,AL,3,2,0,0,0,0,0,0,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0
2002,Да,witasja01,SFN,NL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1995,НЛДС2,fonvich01,LAN,NL,3,12,1,6,0,0,0,0,0,0.0,0,1,0.0,0.0,1.0,0.0,1.0
1936,Да,lazzeto01,NYA,AL,6,20,4,5,0,0,1,7,0,0.0,4,4,0.0,0.0,1.0,0.0,0.0
2001,АЛДС1,gonzaju03,CLE,AL,5,23,4,8,3,0,2,5,0,0.0,0,7,0.0,0.0,0.0,0.0,1.0
1985,Да,beckwjo01,KCA,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1949,Да,colemje01,NYA,AL,5,20,0,5,3,0,0,4,0,0.0,0,4,0.0,0.0,0.0,0.0,0.0
1996,Да,blausje01,ATL,NL,6,18,2,3,1,0,0,1,0,0.0,1,4,0.0,0.0,0.0,0.0,1.0
1974,АЛКС,campabe01,OAK,AL,4,17,0,3,0,0,0,3,0,1.0,0,3,0.0,0.0,0.0,1.0,1.0
1987,АЛКС,sheripa01,DET,AL,5,10,2,3,1,0,1,2,1,0.0,0,2,0.0,2.0,0.0,0.0,0.0
1991,НЛЦС,smilejo01,PIT,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1944,Да,bakerfl01,SLA,AL,2,2,0,0,0,0,0,0,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0
1980,НЛЦС,nolesdi01,PHI,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1960,Да,howarel01,NYA,AL,5,13,4,6,1,1,1,4,0,0.0,1,4,0.0,1.0,0.0,0.0,0.0
2006,НЛДС2,meredcl01,SDN,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1978,Да,pinielo01,NYA,AL,6,25,3,7,0,0,0,4,1,0.0,0,0,0.0,0.0,0.0,0.0,1.0
