year,hofid,name,category
1991,bossymi01h,Mike Bossy,Player
1966,brimsfr01h,Frank Brimsek,Player
1976,gibsoja02h,Jack Gibson,Builder
1998,goulemi01h,Michel Goulet,Player
1966,kennete01h,Ted Kennedy,Player
1960,manthsy01h,Sylvio Mantha,Player
1958,pickaal01h,Allan Pickard,Builder
1947,roberjo02h,John Robertson,Builder
1995,robinla01h,Larry Robinson,Player
1996,salmibo01h,Borje Salming,Player
1991,smithcl01h,Clint Smith,Player
1947,shoreed01h,Eddie Shore,Player
1965,hornere01h,Red Horner,Player
1996,arboual01h,Al Arbour,Builder
1988,oconnbu01h,Buddy O'Connor,Player
2008,larioig01h,Igor Larionov,Player
1992,dionnma01h,Marcel Dionne,Player
1976,bowerjo01h,Johnny Bower,Player
1969,wortero01h,Roy Worters,Player
1962,crawfru01h,Rusty Crawford,Player
2001,gartnmi01h,Mike Gartner,Player
1979,howelha01h,Harry Howell,Player
1950,triheha01h,Harry Trihey,Player
1997,trottbr01h,Bryan Trottier,Player
1972,howego01h,Gordie Howe,Player
1958,fredrfr01h,Frank Fredrickson,Player
1980,lumleha01h,Harry Lumley,Player
1997,lemiema01h,Mario Lemieux,Player
1983,mikitst01h,Stan Mikita,Player
1962,smithfr01h,Frank Smith,Builder
2006,hotchha01h,Harley Hotchkiss,Builder
2001,fetisvi01h,Viacheslav Fetisov,Player
1990,barbebi01h,Bill Barber,Player
2011,howema01h,Mark Howe,Player
1989,lewishe01h,Herbie Lewis,Player
2009,hullbr01h,Brett Hull,Player
1962,walshma01h,Marty Walsh,Player
1971,weilaco01h,Cooney Weiland,Player
1983,drydeke01h,Ken Dryden,Player
1987,clarkbo01h,Bobby Clarke,Player
1992,mcdonla01h,Lanny McDonald,Player
1973,raynech01h,Chuck Rayner,Player
1947,hewitwi01h,William Hewitt,Builder
1958,turnell01h,Lloyd Turner,Builder
1947,nelsofr01h,Francis Nelson,Builder
1958,dudlege01h,George Dudley,Builder
1968,cowlebi01h,Bill Cowley,Player
1963,goodfeb01h,Ebbie Goodfellow,Player
1994,conacli01h,Lionel Conacher,Player
1966,lachel01h,Elmer Lach,Player
1962,mcgimbi01h,Billy McGimsie,Player
1960,selkefr01h,Frank Selke,Builder
2010,seamado01h,Doc Seaman,Builder
1958,keatsdu01h,Duke Keats,Player
1950,griffsi01h,Si Griffis,Player
1961,brownge03h,George Brown,Builder
1968,dunnji01h,Jimmy Dunn,Builder
1969,norribr01h,Bruce Norris,Builder
2002,federbe01h,Bernie Federko,Player
1993,lapraed01h,Edgar Laprade,Player
1945,phillto01h,Tommy Phillips,Player
2001,kurrija01h,Jari Kurri,Player
1972,smithho01h,Hooley Smith,Player
1962,schrisw01h,Sweeney Schriner,Player
1974,ivanto01h,Tommy Ivan,Builder
1969,kellyre01h,Red Kelly,Player
1962,camerha01h,Harry Cameron,Player
1970,johnsto01h,Tom Johnson,Player
2005,neelyca01h,Cam Neely,Player
