year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1975,NHL,MTL,13,12,1,0,44,26,187,0,11,53,0,9,46,3
1983,NHL,DET,4,1,3,0,12,13,131,0,4,25,1,5,17,1
2000,NHL,PHI,6,2,4,0,13,21,74,0,4,17,0,6,18,1
1921,NHL,TRS,2,1,0,1,5,4,28,,,,,,,
2001,NHL,CHI,5,1,4,0,5,13,73,2,1,17,1,5,20,0
1961,NHL,CHI,12,6,6,0,34,31,191,,,,,,,
2011,NHL,PIT,6,2,4,0,26,30,149,0,9,29,3,12,23,0
1976,NHL,BUF,6,2,4,0,21,19,96,0,6,23,1,2,20,0
2003,NHL,OTT,7,3,4,0,11,14,99,0,3,35,0,4,32,0
1974,WHA,MFS,12,6,6,0,44,42,,,,,,,,
1980,NHL,BUF,8,4,4,0,30,30,175,0,10,27,1,5,28,0
1970,NHL,MNS,12,6,6,0,35,42,195,,11,,1,9,,0
1925,WCHL,SAS,2,0,1,1,3,4,,,,,,,,
1984,NHL,PHI,19,12,7,0,61,54,563,2,19,103,2,17,83,4
1997,NHL,STL,10,6,4,0,29,31,185,4,13,75,3,7,69,1
1968,NHL,LAK,11,4,7,0,28,41,162,,6,,1,7,,1
1981,NHL,EDM,5,2,3,0,23,27,178,2,3,18,0,9,26,3
1984,NHL,WAS,5,2,3,0,12,14,90,0,4,28,0,3,17,0
1959,NHL,MTL,8,8,0,0,29,11,79,,,,,,,
1996,NHL,STL,6,2,4,0,12,13,198,0,5,37,1,6,42,0
1987,NHL,NJD,20,11,9,0,67,71,871,10,23,117,,22,128,4
1968,NHL,NYR,4,0,4,0,7,16,38,,1,,0,5,,0
1929,NHL,NYR,4,1,2,1,7,7,77,,,,,,,
2007,NHL,CAL,7,3,4,0,17,19,70,2,6,22,0,6,31,0
2002,NHL,DET,4,0,4,0,6,10,36,2,2,14,0,0,14,0
1931,NHL,DTF,2,0,1,1,1,3,10,,,,,,,
2006,NHL,DAL,7,3,4,0,12,13,104,4,4,40,0,3,38,0
1997,NHL,WAS,21,12,9,0,53,44,319,6,14,84,2,15,115,3
1934,NHL,MTM,7,5,0,2,16,8,56,,,,,,,
2000,NHL,BUF,13,7,6,0,38,30,138,2,10,51,1,8,44,2
2010,NHL,LAK,6,2,4,0,20,20,85,0,5,24,0,2,23,0
2011,NHL,NJD,24,14,10,0,59,58,248,0,13,85,2,22,82,1
1996,NHL,MTL,5,1,4,0,11,22,105,0,0,16,3,9,28,2
2006,NHL,SJS,11,6,5,0,25,27,165,4,4,57,2,8,47,0
1977,NHL,NYI,7,3,4,0,13,16,175,0,3,28,0,4,26,0
1981,NHL,NYI,19,15,4,0,85,52,458,0,23,77,0,16,84,4
1938,NHL,TOR,10,5,5,0,22,20,86,,,,,,,
1935,NHL,MTM,3,0,3,0,1,6,22,,,,,,,
2003,NHL,STL,5,1,4,0,9,12,68,0,1,22,1,3,31,2
2010,NHL,NAS,12,6,6,0,33,34,121,0,7,48,2,12,40,2
2001,NHL,PHO,5,1,4,0,7,13,83,0,1,25,0,2,27,0
2002,NHL,TBL,11,5,6,0,22,29,134,4,5,37,0,9,43,2
1985,NHL,WIN,3,0,3,0,8,15,88,0,3,15,0,2,15,1
1978,WHA,WIJ,10,8,2,0,51,38,,,,,,,,
1925,NHL,OTS,2,0,1,1,1,2,42,,,,,,,
1987,NHL,WAS,14,7,7,0,54,50,529,0,14,99,,13,77,4
1989,NHL,MNS,7,3,4,0,18,21,274,14,8,43,2,5,43,0
2002,NHL,OTT,18,11,7,0,43,34,214,2,12,83,1,6,73,3
2001,NHL,NYI,7,3,4,0,21,22,169,2,11,38,0,5,43,0
1930,NHL,NYR,4,2,2,0,8,4,35,,,,,,,
1980,NHL,VAN,3,0,3,0,7,13,77,0,1,12,0,4,11,0
1977,WHA,HOU,6,2,4,0,16,29,,,,,,,,
1936,NHL,DET,10,6,4,0,22,16,57,,,,,,,
1982,NHL,MTL,3,0,3,0,2,8,51,0,1,13,0,2,7,0
1976,NHL,LAK,9,4,5,0,35,37,158,0,12,40,2,7,33,0
1985,NHL,MNS,5,2,3,0,20,18,142,2,6,24,1,2,25,1
1962,NHL,MTL,5,1,4,0,6,14,48,,,,,,,
1931,NHL,MTM,4,1,1,2,6,5,24,,,,,,,
1969,NHL,BOS,14,12,2,0,65,33,330,,14,,0,14,,5
2000,NHL,VAN,4,0,4,0,9,16,50,0,4,16,0,5,19,0
1987,NHL,WIN,5,1,4,0,17,25,213,0,7,37,,10,35,1
1943,NHL,CHI,9,4,5,0,25,24,60,,,,,,,
2007,NHL,OTT,4,0,4,0,5,16,85,0,1,13,0,6,23,0
1964,NHL,DET,7,3,4,0,19,23,124,,,,,,,
2011,NHL,PHO,16,9,7,0,37,35,224,0,7,50,1,6,65,0
1954,NHL,DET,11,8,3,0,41,26,143,,,,,,,
1948,NHL,TOR,9,8,1,0,28,15,94,,,,,,,
1972,NHL,MTL,17,12,5,0,73,52,179,,15,,2,12,,1
1999,NHL,PIT,11,6,5,0,31,23,173,4,8,56,1,7,45,0
1985,NHL,MTL,20,15,5,0,56,41,689,6,17,93,3,10,82,4
1945,NHL,CHI,4,0,4,0,7,26,68,,,,,,,
1994,NHL,TOR,7,3,4,0,20,22,89,0,7,36,1,2,27,0
1972,NHL,CHI,16,10,6,0,60,53,155,,14,,1,9,,3
1983,NHL,QUE,9,5,4,0,26,25,344,2,4,35,1,3,43,2
1974,NHL,BOS,3,1,2,0,15,12,47,0,2,14,0,4,14,1
1995,NHL,BOS,5,1,4,0,16,22,147,0,7,27,0,5,30,2
1932,NHL,BOS,5,2,3,0,7,9,50,,,,,,,
1964,NHL,TOR,6,2,4,0,14,17,136,,,,,,,
2005,NHL,EDM,24,15,9,0,70,61,385,10,24,141,1,22,158,3
1977,NHL,COR,2,0,2,0,3,6,25,0,1,5,0,1,3,0
1994,NHL,CHI,16,9,7,0,45,39,203,0,9,68,1,11,75,1
1922,WCHL,EDE,2,1,0,1,4,3,,,,,,,,
2009,NHL,BUF,6,2,4,0,15,16,114,2,0,19,0,6,22,0
2010,NHL,BUF,7,3,4,0,18,22,109,2,7,31,0,5,35,0
2005,NHL,CAL,7,3,4,0,16,17,129,4,6,43,1,6,44,2
1993,NHL,CAL,7,3,4,0,20,23,173,8,5,44,1,6,41,1
1966,NHL,TOR,12,8,4,0,35,30,150,,,,,,,
1991,NHL,WIN,7,3,4,0,17,29,167,4,7,38,1,5,39,0
1987,NHL,EDM,19,16,2,1,87,56,635,8,32,117,,20,117,2
2001,NHL,SJS,12,7,5,0,34,32,124,0,5,48,0,5,48,0
1975,WHA,IND,7,3,4,0,15,18,,,,,,,,
1939,NHL,BOS,6,2,4,0,9,15,22,,,,,,,
1951,NHL,DET,8,8,0,0,24,5,118,,,,,,,
2007,NHL,DET,22,16,6,0,72,41,243,4,20,106,0,14,98,6
1976,WHA,CIN,4,0,4,0,9,19,,,,,,,,
2003,NHL,VAN,7,3,4,0,16,19,99,2,8,39,1,6,40,0
1976,WHA,NEW,5,1,4,0,14,23,,,,,,,,
1965,NHL,TOR,4,0,4,0,6,15,151,,,,,,,
1917,NHL,MTL,2,1,1,0,7,10,59,,,,,,,
1918,PCHA,SEA,2,1,1,0,7,5,,,,,,,,
1976,NHL,NYI,12,8,4,0,36,32,160,0,6,34,1,9,43,1
1976,NHL,TOR,9,4,5,0,31,29,115,0,14,43,1,8,28,0
2011,NHL,FLO,7,3,4,0,17,18,66,0,9,27,0,5,25,1
1932,NHL,MTM,2,0,2,0,2,5,20,,,,,,,
1928,NHL,TOR,4,2,2,0,8,5,42,,,,,,,
1974,WHA,CLC,5,1,4,0,14,24,,,,,,,,
1969,NHL,PIT,10,6,4,0,23,25,211,,4,,2,9,,0
1988,NHL,PHI,19,10,9,0,64,60,612,2,20,96,,26,119,8
2008,NHL,AND,13,7,6,0,35,32,220,6,13,50,0,11,55,0
1925,WCHL,EDE,2,0,1,1,3,5,,,,,,,,
1996,NHL,COL,17,10,7,0,59,41,380,6,21,95,4,7,86,0
1974,WHA,PHR,5,1,4,0,12,23,,,,,,,,
1930,NHL,MTM,2,0,2,0,1,8,28,,,,,,,
1999,NHL,PHI,18,11,7,0,44,40,257,2,15,69,0,8,58,1
2008,NHL,CBS,4,0,4,0,7,18,60,2,3,13,0,7,22,0
1974,WHA,SDM,10,4,6,0,34,44,,,,,,,,
2009,NHL,PIT,13,7,6,0,42,38,136,4,15,57,1,12,43,1
