name,id,award,year,lgid,note
Al Arbour,arboual01,Patrick,1991,NHL,
Bobby Clarke,clarkbo01,Patrick,1979,NHL,
Bruce Norris,norribr01h,Patrick,1975,NHL,
Cam Neely,neelyca01,Patrick,2009,NHL,
Cooney Weiland,weilaco01,Patrick,1971,NHL,
Eddie Shore,shoreed01,Patrick,1969,NHL,
Frank Mathers,mathefr01,Patrick,1986,NHL,
Gordie Howe,howego01,Patrick,1966,NHL,
Marcel Dionne,dionnma01,Patrick,2005,NHL,
Mario Lemieux,lemiema01,Patrick,1999,NHL,
Rod Gilbert,gilbero01,Patrick,1990,NHL,
Stan Mikita,mikitst01,Patrick,1975,NHL,
Tommy Ivan,ivanto01c,Patrick,1974,NHL,
Wayne Gretzky,gretzwa01,Patrick,1993,NHL,
Charles M. Schulz,,Patrick,1980,NHL,
Ed Jeremiah,jeremed01,Patrick,1968,NHL,posthumous
Ray Miron,,Patrick,2003,NHL,
Terry Sawchuk,sawchte01,Patrick,1970,NHL,posthumous
Seymour H. Knox III,,Patrick,1996,NHL,posthumous
Alex Delvecchio,delveal01,Patrick,1973,NHL,
Joe Mullen,mullejo01,Patrick,1994,NHL,
John Davidson,davidjo01,Patrick,2003,NHL,
Jerry York,,Patrick,2009,NHL,
Weston Adams,adamswe01h,Patrick,1973,NHL,posthumous
Mark Johnson,johnsma02,Patrick,2010,NHL,
Red Dutton,duttore01,Patrick,1992,NHL,
Bobby Hull,hullbo01,Patrick,1968,NHL,
Ken Morrow,morroke01,Patrick,1995,NHL,
Phil Esposito,esposph01,Patrick,1977,NHL,
Clarence Campbell,campbcl01h,Patrick,1971,NHL,
Ed Snider,snideed01h,Patrick,1979,NHL,
Ted Lindsay,lindste01,Patrick,2007,NHL,
Hoby Baker,bakerho01h,Patrick,1986,NHL,posthumous
Robert Ridder,,Patrick,1993,NHL,
Ron DeGregorio,,Patrick,2002,NHL,
William Jennings,jenniwi01h,Patrick,1970,NHL,
George Leader,,Patrick,1975,NHL,
Walter Brown,brownwa02h,Patrick,1967,NHL,posthumous
Steve Yzerman,yzermst01,Patrick,2005,NHL,
Bill Chadwick,chadwbi01h,Patrick,1974,NHL,
Bill Torrey,torrebi01h,Patrick,1982,NHL,
James Norris,norrija02h,Patrick,1966,NHL,posthumous
John Kilpatrick,kilpajo01h,Patrick,1967,NHL,posthumous
John B. Sollenberger,,Patrick,1970,NHL,posthumous
Brian Mullen,mullebr01,Patrick,1994,NHL,
Red Berenson,berenre01,Patrick,2005,NHL,
Herb Brooks,brookhe01c,Patrick,2001,NHL,
Tom Fitzgerald,,Patrick,1977,NHL,
Stan Fischler,,Patrick,2006,NHL,
Mark Messier,messima01,Patrick,2008,NHL,
Dan Kelly,kellyda01,Patrick,1988,NHL,
Larry Pleau,pleaula01,Patrick,2001,NHL,
Willie O'Ree,oreewi01,Patrick,2002,NHL,
Milt Schmidt,schmimi01,Patrick,1995,NHL,
Frank Boucher,bouchfr01,Patrick,1992,NHL,
Fred Cusick,,Patrick,1987,NHL,
Craig Patrick,patricr01,Patrick,1999,NHL,
Jack Butterfield,butteja01h,Patrick,1984,NHL,
Emile Francis,francem01,Patrick,1981,NHL,
Jack Riley,rileyja01,Patrick,1985,NHL,
Mike Richter,richtmi01,Patrick,2008,NHL,
Bob Pulford,pulfobo01,Patrick,2010,NHL,
George Gund,,Patrick,1995,NHL,
Bob Fleming,,Patrick,1994,NHL,
