river,country,province
март,SK,Словакия
Тигр,ИРК,Аль-Анбар
Янгце,ТДж,Шанхай (шум)
Парагвай,PY,Парагвай
Фульда,D,Гессен
Река Маккензи,КН,Северо-западные территории
Чир,МПК,Замбезия
Вейксель,PL,Гданьское
Adda,I,Ломбардия
Уругвай,РЭ,Энтр-Риос
Нил,ЕТ,Эль-Бухайра
Рио-Мамор,БОЛ,Боливия
Доуро,Р,Авейро
Рааб,Н,Гьор Сопрон
Луапула,ЗРЕ,Шаба/Катанга
Арно,I,Тоскана
Темба,ГБ,Кент
март,A,Нижняя Австрия
Эннс,A,Нижняя Австрия
Чатанга,Р,Красноярский крей
Арканзас,США,Арканзас
Тибер,I,Лацио
Собачья,СУД,Aali a Nil
Джокулса Фьоэллум,ИУ,Италия
Маас,Нл,Зуид Холланд
Мюррей Ривер,AUS,Южная Австралия
Интенсивность,D,Байерн
Луапула,Z,Луапула
Гуадиана,Р,Порто
Черный кусок,AL,Австралия
Темба,ГБ,Эссекс
Днестр,UA,Odeska
Лена,Р,Республика Саха
Амударья,Юзеф,Каракальпогистон
Бенуэ,ВАН,Нигерия
Карун,IR,Хузестан
Габариты,СИН,Западный Бенгал
Гудзон Ривер,США,Нью-Йорк
Кура,AZ,Азербайджан
Кимижоки,SF,Уусимаа
Куанго,ЗРЕ,Бандунду
Акагера,ЕАТ,Мванза
Мёр,Н,Зала
Клараэльв,И,Вармленд
Бусира,ЗРЕ,Уравнение
Дон,Р,Ростовская область
Асахан,РИ,Индонезия
Маникуаган,КН,Квебек
Рио-Лерма,МЕКС,"Мексика, &lt; &lt; Эстадо де &gt; &gt;"
Амазонки,КР,Пункт
Колима,Р,Республика Саха
Тьорса,ИУ,Италия
Рио Магдалена,CO,Атлантико
Гвадалкивир,E,Андалусия
Паатшоки,Н,Финнмарк
Прокрутка,Р,Ленинградская область
Рио Сан-Франциско,КР,Алагоа
Уругвай,Ру,Уругвай
Нигер,ВАН,Нигерия
Карасу,ТR,Эрзинкан
Бому,РСС,Центральноафриканская Республика
Джубба,СП,Сомали
Днепр,UA,Херсонска
Морава,ОПП,Сербия
Замбези,МПК,Маника
Лаген,Н,Акершус
Эннс,A,Зальцбург
Ква,ЗРЕ,Бандунду
Доуро,Р,Порто
Бахр-эль-Джебель/Альберт-Нил,СУД,Aali a Nil
Река Мерримак,США,Массачусетс
Река Коннектикут,США,Коннектикут
Белый кусок,AL,Австралия
Хванхо,ТДж,Шаньдун
Po,I,Эмилия Романья
Токантины,КР,Пункт
Ривьер Ришелье,КН,Квебек
Роун,F,Прованс Коте dAzur
Аллер,D,Нидераксен
Амазонки,КР,Амапа
Иртыш,Р,Тюменская область
Иравадди,МЬЯ,Янгон
Сена,F,Достоинство Нормандии
Марн,F,Иль де Франция
Нарын,TAD,Худжан
Колорадо,МЕКС,Сонора
Гамбия,ВАГ,Гамбия
Вёрм,D,Байерн
Гётаэльв,И,Готеборг ох Бохус
Гаронн,F,Аквитан
&lt; &lt; Шатт аль-Араб &gt; &gt;,ИРК,Аль-Анбар
Оранье,RSA,Северный мыс
Бому,ЗРЕ,Уравнение
Прайт,MD,Молдова
Джениссдж,Р,Красноярский крей
