mountain,country,province
Мт Реддюйм,США,Аляска
Асахи-Дейк,J,Хоккайдо
Пик Победа,ТДж,Синьцзян Уйгур
Тахан,ТЗА,Паханг
Циафаявона,РМ,Антананариву
Монте Роза,I,Ломбардия
Gasherbrum II,ТДж,Синьцзян Уйгур
Мт Колумбия,КН,Альберта
Puy de Sancy,F,Овернь
Нанда Деви,СИН,Уттар-Прадеш
Уаскаран,ПЭ,Наличными
Клингонские куполы,США,Теннесси
Гунунг Бинайя,РИ,Индонезия
Сулитжелма,И,Норрботтен
Пик Хамфриса,США,Аризона
Гранитный пик,США,Монтана
Пиз Бернина,CH,ГР
Кайляш,ТДж,Тибет
Охос-дель-Саладо,РЭ,Тукуман
Молдовеану,RO,Архес
Большой Баллон,F,Alsace
Канчендзонга,СИН,Сикким
Саректжокко,И,Норрботтен
Королева Марис Пик,HELX,Остров Св. Елены
Ллульяльяко,RCH,Чили
Виньмейл,F,Миди-Пиренеи
Народнаджа,Р,Репозиция Коми
Tatamailau,ТЛ,Тимор-Лешти
Mt. Balbi,ПНГ,Папуа-Новая Гвинея
Портефжаэльен,И,Норрботтен
Мт Бона,КН,Саскачеван
Монкайо,E,Арагон
Попокатепетл,МЕКС,Морелос
Мт МакКинли,США,Аляска
Тамгак,РН,Нигер
Дамаванд,IR,Мазандаран
Гора Эверест,NEP,Непал
Додабетта,СИН,Тамилнад
Финстераархорн,CH,VS
Тор де Серредо,E,Кастиль и Леон
Монт-Орохена,ФПОЛ,Французская Полинезия
Макалу,NEP,Непал
Пик Ленина,TAD,Бадахшони Куни
Попокатепетл,МЕКС,"Мексика, &lt; &lt; Эстадо де &gt; &gt;"
Ликанкабур,RCH,Чили
Эльбрус,Р,Кабардино Балкар Реп.
Невадо дель Руис,CO,Рисаральда
Финстераархорн,CH,БУДЬ
GrandCombin,CH,VS
Иллюминатор,БОЛ,Боливия
Мантальингаджан,РП,Филиппины
Невадо дель Уила,CO,Уила
Кинабалу,ТЗА,Саба
Пико де Сан-Томе,ПДТ,Сан-Томе и Принсипи
Руапеху,Новой Зеландии,Новая Зеландия
Ю Шан,КР,Тайвань
Гран-Парадисо,I,Пьемонт
Пико Туркино,C,Бабушка
K2,ТДж,Синьцзян Уйгур
Pico de los Nieves,E,Канарские острова
Борах Пик,США,Айдахо
Концепция,НИК,Никарагуа
Шишапангама,ТДж,Тибет
Мт Адамс,США,Вашингтон
Монте Роза,CH,VS
Пико Боливар,YV,Мерида
Этна,I,Сицилия
Монте Писсис,РЭ,Тукуман
Пик Чан-Тенгри,KGZ,Кыргызстан
Мт Уитни,США,Калифорния
Котопакси,ЕС,Эквадор
Аконкагуа,РЭ,Мендоса
Пик Москва,TAD,Бадахшони Куни
Джабель Катрина,ЕТ,Сина аль-Джанубия
Пико Кристобал Колон,CO,Магдалена
Кракатау,РИ,Индонезия
Голубая гора,ДЖА,Чили
Сильвисили,WS,Самоа
Чанбай Шан,ТДж,Джилин
Джезерс,AL,Австралия
Пинатубо,РП,Филиппины
Пик Револузия,TAD,Бадахшони Куни
Меру,ЕАТ,Аруша
