desert,country,province
Великая пустыня Виктория,AUS,Южная Австралия
Эрг Уаран,РИМ,Мавритания
Ливийская пустыня,СУД,Эш Шамалия
Азауад,DZ,Алжир
Эрг Исауан,DZ,Алжир
Ust Urt,KAZ,Мангистау
Сонора,МЕКС,Сонора
Нефуд,С.А.,Саудовская Аравия
Thar,ПК,Пакистан
Дашт-е-Кавир,IR,Хорасан
Тенере,РН,Нигер
Трарца,РИМ,Мавритания
Руб аль-Чали,ОАЭ,Рас-эль-Хайма
Mojave,США,Юта
Калахари,АНГ,Куандо Кубинго
Руб аль-Чали,ОАЭ,Аль-Фуджайра
Ливийская пустыня,ЛАР,Ливия
Ливийская пустыня,ЕТ,Эль-Вади-эль-Джадид
Mojave,США,Калифорния
Большая песчаная пустыня,AUS,Западная Австралия
Сонора,США,Аризона
Площадь Нулларбора,AUS,Западная Австралия
Ордос,ТДж,Нинксиа Хуидзу
Ust Urt,KAZ,Aqtobe
Руб аль-Чали,РОУ,Оман
Азауад,РН,Нигер
Дашт-е-Кавир,IR,Семнан
Дашт-е-Лут,IR,Язд
Руб аль-Чали,С.А.,Саудовская Аравия
Сирийская пустыня,ИРК,Аль-Анбар
Пустыня Симпсон,AUS,Южная Австралия
Ордос,ТДж,Нэй Монголь
Пустыня Симпсон,AUS,Северная территория
Калахари,ДН,Намибия
Пустыня Симпсон,AUS,Квинсленд
Эрг Игиди,РИМ,Мавритания
Mojave,США,Аризона
Муджункум,KAZ,Кызылорда
Рин,KAZ,Баты-казакстан
Оуихи,США,Орегон
Сирийская пустыня,JOR,Иордания
Талак,РН,Нигер
Хамада дю Драа,DZ,Алжир
Эрг Чеч,РММ,Мали
Колорадо Плато,США,Юта
Большая пустыня Соленого озера,США,Юта
Хамада аль-Хамра,ЛАР,Ливия
Сирийская пустыня,СИР,Сирия
Кысилкум,KAZ,Кызылорда
Пустыня Гибсон,AUS,Западная Австралия
Thar,СИН,Пенджаб
Рин,KAZ,Атырау
Гоби,ТДж,Гансу
Ливийская пустыня,ЕТ,Эль-Минья
Кысилкум,Юзеф,Самарканд
Рин,Р,Республика Калмикия
Ust Urt,Юзеф,Каракальпогистон
Калахари,Z,Южный
Thar,СИН,Раджастан
Калахари,RSA,Северо-западный
Дашт-е-Кавир,IR,Язд
Великий Эрг Вест,DZ,Алжир
Колорадо Плато,США,Аризона
Чиуауа,США,Техас
Дашт-е-Лут,IR,Эсфахан
Сонора,МЕКС,Чиуауа
Эрг Игиди,DZ,Алжир
Гурбантунгут,ТДж,Синьцзян Уйгур
Рин,Р,Астраханская область
Танезруфт,DZ,Алжир
Хамада дю Драа,МЭТ,Марокко
Эрди Эннеди,TCH,Чад
Кум Таг,ТДж,Синьцзян Уйгур
Джураб,TCH,Чад
Организация &lt; &lt; Организация Объединенных Наций &gt; &gt;,ТДж,Цинхай
Красный центр,AUS,Северная территория
Гоби,ТДж,Нинксиа Хуидзу
Каракум,ТМ,Лебан
Большой бассейн,США,Невада
Площадь Нулларбора,AUS,Южная Австралия
Калахари,АНГ,Моксико
Чиуауа,США,Новая Мексика
Руб аль-Чали,ОАЭ,Эш Шарика
Ферло,SN,Луга
Калахари,РБ,Ботсвана
Сонора,США,Калифорния
Танами,AUS,Северная территория
Руб аль-Чали,ОАЭ,Умм аль-Кайвейн
Дарфур,СУД,Дарфур
Тенере,TCH,Чад
Ливийская пустыня,ЕТ,Бени Сюф
Великая пустыня Виктория,AUS,Западная Австралия
Ливийская пустыня,ЕТ,Матрух
Ливийская пустыня,СУД,Дарфур
Thar,СИН,Харьяна
Руб аль-Чали,ОАЭ,Дюбай
Атакама,RCH,Чили
Оуихи,США,Айдахо
Гоби,МПГ,Монголия
Дашт-э-Марго,AFG,Афганистан
Арабская пустыня,ЕТ,Эль-Бахр-эль-Ахмар
Танезруфт,РММ,Мали
Каракум,ТМ,Мэри
Дашт-е-Кавир,IR,Тегеран
Каракум,ТМ,Ахал
Великий Эрг Эст,DZ,Алжир
Дашт-е-Кавир,IR,Эсфахан
Сирийская пустыня,С.А.,Саудовская Аравия
Каракум,Юзеф,Каракальпогистон
Каракум,ТМ,Балканские острова
Такла-Макан,ТДж,Синьцзян Уйгур
Негев,Ил,Южное
Гоби,ТДж,Нэй Монголь
Ригестан,AFG,Афганистан
Сагиа эль-Хамра,АЗС,Западная Сахара
Красный центр,AUS,Южная Австралия
Фесан,ЛАР,Ливия
Дашт-е-Лут,IR,Систан и Белучестан
Эрг Чеч,DZ,Алжир
Колорадо Плато,США,Колорадо
Каракум,Юзеф,Самарканд
Дашт-е-Лут,IR,Керман
Муджункум,KAZ,Жамбил
Руб аль-Чали,ДА,Йемен
Дашт-е-Лут,IR,Хорасан
Mojave,США,Невада
Красный центр,AUS,Западная Австралия
Большой бассейн,США,Юта
Ферло,SN,Тамбакунда
Пустыня,AUS,Квинсленд
Руб аль-Чали,ОАЭ,Абу-Даби
Ордос,ТДж,Шаанси
Оуихи,США,Невада
Нубийская пустыня,СУД,Шаркия
Ригестан,ПК,Пакистан
Большой бассейн,США,Калифорния
Колорадо Плато,США,Новая Мексика
Эрг Мактейр,РИМ,Мавритания
Эрг Игиди,РММ,Мали
Чиуауа,США,Аризона
Пустыня,AUS,Северная территория
