city,province,country,island
Лондон,Большой Лондон,ГБ,Великобритании
Порт-Луис,Маврикий,MS,Маврикий
Оита,Оита,J,Кюсю
Гсинтьен,Тайвань,КР,Тайвань
Нагоя,Айти,J,Хонсю
Базингсток,Гэмпшир,ГБ,Великобритании
Анциранана,Анциранана,РМ,Мадагаскар
Tegal,Индонезия,РИ,Ява
Папа,Французская Полинезия,ФПОЛ,Таити
Страуд,Глостершир,ГБ,Великобритании
Кота Кинабалу,Саба,ТЗА,Борнео
Кефлавик,Италия,ИУ,Италия
Манчестер,Большой Манчестер,ГБ,Великобритании
Фукуока,Фукуока,J,Кюсю
Таунтон,Somerset,ГБ,Великобритании
Прайа,Кабо-Верде,CV,Сантьяго
Ронда,Ронда Сайнон Тафф,ГБ,Великобритании
Бастер,Сент-Китс и Невис,KN,Сент-Китс
Баликпапан,Индонезия,РИ,Борнео
Траффорд,Большой Манчестер,ГБ,Великобритании
Фенюань,Тайвань,КР,Тайвань
Торшавн,Фарерские острова,FARX,Стреймой
Анцирабе,Антананариву,РМ,Мадагаскар
Hafnarfjoerdur,Италия,ИУ,Италия
Желудок,Гумберсайд,ГБ,Великобритании
Сэлфорд,Большой Манчестер,ГБ,Великобритании
Сингапур,Сингапур,SGP,Сингапур
Честер,Чешир,ГБ,Великобритании
Портсмут,Гэмпшир,ГБ,Великобритании
Челтенхем,Глостершир,ГБ,Великобритании
Джеймстаун,Остров Св. Елены,HELX,Остров Св. Елены
Токио,Токио,J,Хонсю
Отсу,Шига,J,Хонсю
Виган,Большой Манчестер,ГБ,Великобритании
Антананариву,Антананариву,РМ,Мадагаскар
Бригенд,Бригенд,ГБ,Великобритании
Эдинбург,Лотиан,ГБ,Великобритании
Агана,Гуам,ГУАМ,Гуам
Кингстон,Чили,ДЖА,Чили
Танджун Балай,Индонезия,РИ,Суматра
Бликр,Индонезия,РИ,Ява
Вайкомб,Бекингемшир,ГБ,Великобритании
Кальяри,Сарденья,I,Сарденья
Плимут,Монтсеррат,МНТ,Монтсеррат
Такамацу,Кагава,J,Шикоку
Гленреты,Файф,ГБ,Великобритании
Довер,Кент,ГБ,Великобритании
Плимут,Девон,ГБ,Великобритании
Льюис,Восточный Сассекс,ГБ,Великобритании
Вокингем,Беркшир,ГБ,Великобритании
Саутенд в море,Эссекс,ГБ,Великобритании
Семаранг,Индонезия,РИ,Ява
Стратфорд на Эйвоне,Уорвикшир,ГБ,Великобритании
Кофу,Яманаши,J,Хонсю
Сибу,Саравак,ТЗА,Борнео
Виллемстад,Нидерландские Антильские острова,,Куракао
Дублин,Италия,IRL,Италия
Летающая рыбная бухта,Остров Рождества,XMAS,Остров Рождества
Пасуруан,Индонезия,РИ,Ява
Гсинчу,Тайвань,КР,Тайвань
Честерфилд,Дербишир,ГБ,Великобритании
Ланкастер,Ланкашир,ГБ,Великобритании
Ямагата,Ямагата,J,Хонсю
Чиба,Чиба,J,Хонсю
Гейтсхед,Тайн и Валяй.,ГБ,Великобритании
Пассай,Филиппины,РП,Лузон
Виктория-де-лас-тунас,Тунецы,C,Куба
Бинджай,Индонезия,РИ,Суматра
Порт Святого Петра,Гернси,ГБГ,Гернси
Эксетер,Девон,ГБ,Великобритании
Понтянак,Индонезия,РИ,Борнео
Порт-Вила,Вануату,БУ,Эфат
Сент-Джонс,Ньюфаундленд,КН,Ньюфаундленд
Веллингтон,Новая Зеландия,Новой Зеландии,Те Ика-а-Мауи (Северный остров)
Престон,Ланкашир,ГБ,Великобритании
Ротерхем,Южный Йоркшир,ГБ,Великобритании
Тайнан,Тайвань,КР,Тайвань
Айлсбери,Бекингемшир,ГБ,Великобритании
Колчестер,Эссекс,ГБ,Великобритании
Абердин,Грэмпиан,ГБ,Великобритании
Уоррингтон,Чешир,ГБ,Великобритании
Сент-Джонс,Антигуа и Барбуда,АГ,Антигуа
Ливерпуль,Мерсисайд,ГБ,Великобритании
Оранжестад,Аруба,ARU,Аруба
Паго-Паго,Американское Самоа,АМСА,Тутуила
Норталлертон,Северный Йоркшир,ГБ,Великобритании
Коломбо,Шри-Ланка,Кл,Шри-Ланка
Кентербери,Кент,ГБ,Великобритании
Каваратти,Лаксхадвип - это.,СИН,Каваратти
Фор-де-Франция,Мартиника,МАРТ,Мартиника
Горничный камень,Кент,ГБ,Великобритании
Мата-Уту,Уоллис и Футуна,ВАФА,Увеа
Макати,Филиппины,РП,Лузон
Брэдфорд,Западный Йоркшир,ГБ,Великобритании
Лёрвик,Шетланд,ГБ,Шетландский материк
Нуук,Гренландия,ГРОКС,Гренландия
Себу,Филиппины,РП,Себу
Морони,Коморские Острова,COM,Гран-Коморо
Святой Верхний,Джерси,GBJ,Джерси
Понта Дельгада,Азоры,Р,Сан Мигель
Дорчестер,Дорсет,ГБ,Великобритании
Кингстон на Халле,Гумберсайд,ГБ,Великобритании
Санто-Доминго,Доминиканская Республика,ДОМ,Испаньола
Сассари,Сарденья,I,Сарденья
Манила,Филиппины,РП,Лузон
Ла-Лагуна,Канарские острова,E,Тенерифа
Крючок,Саравак,ТЗА,Борнео
Таматав,Тоамасина,РМ,Мадагаскар
Хаверфорд-запад,Пемброкшир,ГБ,Великобритании
Повторить,Суррей,ГБ,Великобритании
Никосия,Кипр,CY,Кипр
Сваль,Кент,ГБ,Великобритании
Киркли,Западный Йоркшир,ГБ,Великобритании
Сан-Хуан,Пуэрто-Рико,ПР,Пуэрто-Рико
Мертир Тайдфил,Мертир Тайдфил,ГБ,Великобритании
Гуантанамо,Гуантанамо,C,Куба
Истли,Гэмпшир,ГБ,Великобритании
Блэкпуль,Ланкашир,ГБ,Великобритании
Батам,Индонезия,РИ,Батам
Аваруа,Острова Кука,КОК,Раротонг
Майунга,Махаджанга,РМ,Мадагаскар
Порт-оф-Спейна,Тринидад и Тобаго,ТТ,Тринидад
Скарборо,Северный Йоркшир,ГБ,Великобритании
Истрад Фаур,Верфь,ГБ,Великобритании
Акурейри,Италия,ИУ,Италия
Киото,Киото,J,Хонсю
Ширина,Мерсисайд,ГБ,Великобритании
Тэмсайд,Большой Манчестер,ГБ,Великобритании
Сэндвелл,Западные Мидленды,ГБ,Великобритании
Харрогат,Северный Йоркшир,ГБ,Великобритании
Дурхем,Дурхем,ГБ,Великобритании
Понтипуль,Торфаен,ГБ,Великобритании
Кру,Чешир,ГБ,Великобритании
Уэйкфилд,Западный Йоркшир,ГБ,Великобритании
Палермо,Сицилия,I,Сицилия
Хоршам,Западный Сассекс,ГБ,Великобритании
Манама,Бахрейн,БРИН,Бахрейн
Хониара,Соломоновы Острова,SLB,Гвадалканал
Эмбон,Индонезия,РИ,Эмбон
Порт Блэр,Андаман и Никобар тоже.,СИН,Южный Андаман
Манзанильо,Бабушка,C,Куба
Вихрь,Херефорд и Ворстер,ГБ,Великобритании
Стаффорд,Стаффордшир,ГБ,Великобритании
Ноттингем,Ноттингемшир,ГБ,Великобритании
Solihall,Западные Мидленды,ГБ,Великобритании
Лейчестер,Лестершир,ГБ,Великобритании
Замбоанга,Филиппины,РП,Минданао
Пекалонган,Индонезия,РИ,Ява
Валлетта,Мальта,М,Мальта
Малабо,Экваториальная Гвинея,GQ,Биоко
Данди,Тэйсайд,ГБ,Великобритании
Чичестер,Западный Сассекс,ГБ,Великобритании
Ольгин,Ольгин,C,Куба
Порт-о-Пренс,Гаити,РЧ,Испаньола
Кумбран,Монмутшир,ГБ,Великобритании
Маджуро,Маршалловы Острова,МГ,Маджуро
Толияра,Толияра,РМ,Мадагаскар
Сендай,Мияги,J,Хонсю
Рочестер на Медвее,Кент,ГБ,Великобритании
Вакаяма,Вакаяма,J,Хонсю
Мессина,Сицилия,I,Сицилия
Чунли,Тайвань,КР,Тайвань
Бенгкулу,Индонезия,РИ,Суматра
Хакодат,Хоккайдо,J,Хоккайдо
&lt; &lt; Проболингго &gt; &gt;,Индонезия,РИ,Ява
Порт-Морсби,Папуа-Новая Гвинея,ПНГ,Новая Гвинея
Сантьяго-де-Куба,Сантьяго-де-Куба,C,Куба
Кагосима,Кагосима,J,Кюсю
Кезон,Филиппины,РП,Лузон
Кедири,Индонезия,РИ,Ява
Сент-Пьер,Сент-Пьер и Микелон,СПМИ,Сент-Пьер
Западный остров,Острова Кокос,COCO,Пулау Панжанг
Ноусли,Мерсисайд,ГБ,Великобритании
Короли Линн,Норфолк,ГБ,Великобритании
Байамо,Бабушка,C,Куба
Сан-Томе,Сан-Томе и Принсипи,ПДТ,Сан-Томе
Семеноаки,Кент,ГБ,Великобритании
Бурнмут,Дорсет,ГБ,Великобритании
Ковентри,Западные Мидленды,ГБ,Великобритании
Таойюань,Тайвань,КР,Тайвань
Юнго,Тайвань,КР,Тайвань
Тайбэй,Тайвань,КР,Тайвань
Римни Долина,Долина Гламоргана,ГБ,Великобритании
Бирмингем,Западные Мидленды,ГБ,Великобритании
Ньюкасл на Тайне,Тайн и Валяй.,ГБ,Великобритании
