city,province,country,river,lake,sea
&lt; &lt; Батон красный &gt; &gt;,Луизиана,США,Миссисипи,,
Лонг Сюйен,Вьетнам,VN,Меконг,,
Росток,Мекленбург Ворпоммерн,D,,,Балтийское море
Шишу,Хабэй,ТДж,Янгце,,
Новости о Ньюпорте,Вирджиния,США,,,Атлантический океан
Замбоанга,Филиппины,РП,,,Море Сулавеси
Чернивцы,Черновецкая,UA,Прайт,,
Санья,Хайнан,ТДж,,,Южно-Китайское море
Пиреус,Аттики,ГР,,,Средиземное море
Бома,Бас Заир,ЗРЕ,Заир,,
Новый Орлеан,Луизиана,США,Миссисипи,,
Пиза,Тоскана,I,Арно,,
Колн,Нордрхейн Вестфален,D,Рейн,,
Фаро,Алгарв,Р,,,Атлантический океан
Александрия,Эль-Искандария,ЕТ,,,Средиземное море
Парамарибо,Суринам,МСП,,,Атлантический океан
Город Джерси,Нью-Джерси,США,Гудзон Ривер,,
Нижний Новгород,Нижегородская область,Р,Хорошо.,,
Шарлотта Амали,Виргинские острова,ВИРГ,,,Карибское море
Триполи,Ливия,ЛАР,,,Средиземное море
Чита,Читинская область,Р,Шилка,,
Эри,Пенсильвания,США,,Озеро Эри,
Баку,Азербайджан,AZ,,Каспийское море,
Мадрас,Тамилнад,СИН,,,Бенгальский залив
Морони,Коморские Острова,COM,,,Индийский океан
Мэгвей,Мэгвей,МЬЯ,Иравадди,,
Запорожская,Запориска,UA,Днепр,,
Йосу,Южная Корея,ОК,,,Восточно-Китайское море
Дзержинск,Нижегородская область,Р,Хорошо.,,
Кампала,Уганда,ЕАС,,Озеро Виктория,
Аль Басра,Аль Басра,ИРК,&lt; &lt; Шатт аль-Араб &gt; &gt;,,
Осло,Осло,Н,,,Скагеррак
Пул,Дорсет,ГБ,,,Канал
Смазка,LU,CH,Реус,Vierwaldstattersee,
Марса Матрух,Матрух,ЕТ,,,Средиземное море
Баликпапан,Индонезия,РИ,,,Сундское море
Сент-Джордж,Гренада,РГ,,,Карибское море
Патраи,Дхитики Эллас,ГР,,,Средиземное море
Волы,Фессалия,ГР,,,Средиземное море
Стинкер,Норд Тронделаг,Н,,,Норвежское море
Гаруа,Северный,КАМ,Бенуэ,,
Пуэрто-Инирида,Гуайния,CO,Ориноко,,
Пукалпа,Укаяли,ПЭ,Амазонки,,
Маристад,Skaraborg,И,,Валенерн,
Акита,Акита,J,,,Японское море
Ибин,Сычуань,ТДж,Янгце,,
Вурцбург,Байерн,D,Главное,,
Паданг,Индонезия,РИ,,,Индийский океан
Малакал,Aali a Nil,СУД,Белый Нил,,
Касабланка,Марокко,МЭТ,,,Атлантический океан
Кайфенг,Хэнан,ТДж,Хванхо,,
Салерно,Кампания,I,,,Средиземное море
Базель,BS,CH,Рейн,,
Сантандер,Кантабрия,E,,,Атлантический океан
Ошава,Онтарио,КН,,Озеро Онтарио,
Торр дель Греко,Кампания,I,,,Средиземное море
Аренда,Ав Агдер,Н,,,Скагеррак
Кобленц,Rheinland Pfalz,D,Мозель,,
Орлеан,Центр,F,Луар,,
Мариго,Сент-Мартин,СМАРТ,,,Карибское море
Ньюкасл,Новый Южный Уэльс,AUS,,,Тихоокеанский океан
Кристианы,Вест Агдер,Н,,,Скагеррак
Иньчуань,Нинксиа Хуидзу,ТДж,Хванхо,,
Хэджу,Северная Корея,Норк,,,Желтое море
Брест,Бретагн,F,,,Атлантический океан
Твер,Тверская область,Р,Волга,,
Санто-Доминго,Доминиканская Республика,ДОМ,,,Карибское море
Санья,Хайнан,ТДж,,,Южно-Китайское море
Ангинг,Анхуи,ТДж,Янгце,,
Ярен,Науру,NAU,,,Тихоокеанский океан
Солнечное побережье,Новый Южный Уэльс,AUS,,,Тихоокеанский океан
Сидней,Новый Южный Уэльс,AUS,,,Тихоокеанский океан
Нижний Новгород,Нижегородская область,Р,Хорошо.,,
Гранд-Тёрк,Острова Тёркс и Кайкос,ТУКА,,,Атлантический океан
Детройт,Мичиган,США,Река Детройт,,
Римини,Эмилия Романья,I,,,Средиземное море
Лос-Анджелес,Калифорния,США,,,Тихоокеанский океан
Кристианы,Вест Агдер,Н,,,Скагеррак
Желтый нож,Северо-западные территории,КН,,Великое Невольничье озеро,
Янтай,Шаньдун,ТДж,,,Желтое море
Эль-Минья,Эль-Минья,ЕТ,Нил,,
Мосс,Остров,Н,,,Скагеррак
Брисбен,Квинсленд,AUS,,,Тихоокеанский океан
Олбани,Нью-Йорк,США,Гудзон Ривер,,
Валлетта,Мальта,М,,,Средиземное море
Намур,Намур,B,Маас,,
Осака,Осака,J,,,Тихоокеанский океан
Порт-о-Пренс,Гаити,РЧ,,,Карибское море
Хоррамшахр,Хузестан,IR,Карун,,
Линц,Верхняя Австрия,A,Донау,,
Виктория,Сейшельские Острова,SY,,,Индийский океан
Джакарта,Индонезия,РИ,,,Сундское море
Лонг Сюйен,Вьетнам,VN,Меконг,,
Наджаф,Наджаф,ИРК,Евфрат,,
Наполи,Кампания,I,,,Средиземное море
Будапешт,Будапешт (муниципалитет),Н,Донау,,
Kirkwall,Оркни,ГБ,,,Северное море
Вурцбург,Байерн,D,Главное,,
Ад-Дамир,Эш Шамалия,СУД,Нил,,
Херсон,Херсонска,UA,Днепр,,
Вьентьян,Лаос,LAO,Меконг,,
Кусон,Северная Корея,Норк,,,Японское море
Джамнагар,Гуджарат,СИН,,,Арабское море
