island,country,province
Остров Эллесмир,КН,Северо-западные территории
Западный Фолкленд,ФАЛК,Фолклендские острова
Великобритании,ГБ,Глостершир
Великобритании,ГБ,Грэмпиан
Эмбон,РИ,Индонезия
Тасмания,AUS,Тасмания
Саваи,WS,Самоа
Мужской,МВ,Мальдивские Острова
Кауай,США,Гавайи
Большой Кайман,Кейм,Каймановы острова
Бохол,РП,Филиппины
Великобритании,ГБ,Центральный
Великобритании,ГБ,Кардифф
Терсейра,Р,Азоры
Раротонг,КОК,Острова Кука
Сашалин,Р,Сахалинская область
Великобритании,ГБ,Дербишир
Мадагаскар,РМ,Толияра
Хонсю,J,Айти
Сыпь,D,Нидераксен
Тутуила,АМСА,Американское Самоа
Сарденья,I,Сарденья
Харк,IR,Фарс
Шикоку,J,Кочи
Кюсю,J,Миядзаки
Пико,Р,Азоры
Тайвань,КР,Тайвань
Ланай,США,Гавайи
Лэнди,ГБ,Девон
Фуэртевентура,E,Канарские острова
Микелон-Ланглайд,СПМИ,Сент-Пьер и Микелон
Хонсю,J,Акита
Великобритании,ГБ,Беркшир
Хонсю,J,Чиба
Великобритании,ГБ,Границы
Тонгатапу,К,Тонга
Хайнан,ТДж,Хайнан
Мохилья,COM,Коморские Острова
Айла да Ометепе,НИК,Никарагуа
Гранд-Тёрк,ТУКА,Острова Тёркс и Кайкос
Князь острова Уэльс,КН,Северо-западные территории
Гран-Терре,ГРАД,Гваделупа
Каваратти,СИН,Лаксхадвип - это.
Бенбекула,ГБ,Внешние гебриды
Великобритании,ГБ,Нортумберленд
Великобритании,ГБ,Монмутшир
Вестрей,ГБ,Оркни
Сент-Пьер,СПМИ,Сент-Пьер и Микелон
Новая Гвинея,ПНГ,Папуа-Новая Гвинея
Великобритании,ГБ,Бекингемшир
Остров Уайт,ГБ,Остров Уайт
Кипр,CY,Кипр
Корс,F,Корс
Спиекерог,D,Нидераксен
Великобритании,ГБ,Большой Лондон
Великобритании,ГБ,Бригенд
Сайпан,НМИС,Северные Марианские острова
Флорес,Р,Азоры
Великобритании,ГБ,Нит и Порт-Тальбот
Хонсю,J,Вакаяма
Мадагаскар,РМ,Анциранана
Куба,C,Сьего де Авила
Футуна,ВАФА,Уоллис и Футуна
Хонсю,J,Хиого
Великобритании,ГБ,Лестершир
Корфу,ГР,Иониои Нисои
Великобритании,ГБ,Кембриджшир
Кюсю,J,Кагосима
Мадагаскар,РМ,Махаджанга
Принсипи,ПДТ,Сан-Томе и Принсипи
Таити,ФПОЛ,Французская Полинезия
Великобритании,ГБ,Эссекс
Остров Мэн,GBM,Мужчина
Испаньола,ДОМ,Доминиканская Республика
Сан-Хорхе,Р,Азоры
Пуэрто-Рико,ПР,Пуэрто-Рико
Куракао,,Нидерландские Антильские острова
Великобритании,ГБ,Нортгемптоншир
Кюсю,J,Кумамото
Великобритании,ГБ,Аберконви и Колвин
Великобритании,ГБ,Долина Гламоргана
Куба,C,Санкти Спиритус
Norderney,D,Нидераксен
Новая Гвинея,РИ,Индонезия
Ла-Пальма,E,Канарские острова
Негры,РП,Филиппины
Ломбок,РИ,Индонезия
Лансароте,E,Канарские острова
Самосир,РИ,Индонезия
Чили,ДЖА,Чили
Сансибар,ЕАТ,Мджини Магариби
Кракатау,РИ,Индонезия
Хонсю,J,Шига
Великобритании,ГБ,Чешир
Руген,D,Мекленбург Ворпоммерн
Аликуди,I,Калабрия
Барбадос,УРБ,Барбадос
Хонсю,J,Осака
Фонгафейл,ТВЧ,Тувалу
Мах,SY,Сейшельские Острова
Полезность,D,Мекленбург Ворпоммерн
Икария,ГР,Верион &lt; &lt; Айяон &gt; &gt;
Ангилья,AXA,Ангилья
Арран,ГБ,Стратклид
Борнео,ТЗА,Саравак
Льюис и Харрис,ГБ,Внешние гебриды
Мадагаскар,РМ,Тоамасина
Тенерифа,E,Канарские острова
Порту Санто,Р,Мадейра
Аруба,ARU,Аруба
Форментера,E,Балеарские острова
Майотта,Мэйо,Майотта
Великобритании,ГБ,Северный Йоркшир
Гренада,РГ,Гренада
Хонсю,J,Нара
Лейт,РП,Филиппины
Барра,ГБ,Внешние гебриды
Великобритании,ГБ,Кливленд
Минданао,РП,Филиппины
Сулавеси,РИ,Индонезия
Гвадалканал,SLB,Соломоновы Острова
Маджуро,МГ,Маршалловы Острова
Остров Санта-Каталина,США,Калифорния
Маврикий,MS,Маврикий
Великобритании,ГБ,Камбриа
Великобритании,ГБ,Блейно Гвент
Великобритании,ГБ,Западный Сассекс
Сент-Мартин,,Нидерландские Антильские острова
Самос,ГР,Верион &lt; &lt; Айяон &gt; &gt;
Великобритании,ГБ,Оксфордшир
Филикуди,I,Калабрия
Великобритании,ГБ,Дорсет
Грязный червь,D,Шлезвиг Гольштейн
Полезность,PL,Шчинский
Великобритании,ГБ,Девон
Палаван,РП,Филиппины
Остров Рене Левассеур,КН,Онтарио
Великобритании,ГБ,Файф
Юра,ГБ,Стратклид
Те Ика-а-Мауи (Северный остров),Новой Зеландии,Новая Зеландия
Бальтрум,D,Нидераксен
Гуам,ГУАМ,Гуам
Бангка,РИ,Индонезия
Углы,ГБ,Углы
Ибица,E,Балеарские острова
Куба,C,Сантьяго-де-Куба
Тимор,ТЛ,Тимор-Лешти
Себу,РП,Филиппины
Борнео,БРУ,Бруней
Остров Баффин,КН,Северо-западные территории
Хонсю,J,Хиросима
Фуэн,ДК,Дания
Оланд,И,Калмар
Лангёг,D,Нидераксен
Куба,C,Вилла Клара
Хонсю,J,Ибараки
Силит,D,Шлезвиг Гольштейн
Куба,C,Бабушка
Остров Санта-Крус,США,Калифорния
Кюсю,J,Фукуока
Кюсю,J,Сага
Гренландия,ГРОКС,Гренландия
Великобритании,ГБ,Порошки
Оаху,США,Гавайи
Хонсю,J,Точиги
Хонсю,J,Аомори
Остров Бэнкс,КН,Северо-западные территории
Пемба,ЕАТ,Мджини Магариби
Понапе,ФШМ,Микронезия
Великобритании,ГБ,Западные Мидленды
Хонсю,J,Мие
Вануа Леву,ФСО,Фиджи
Амрум,D,Шлезвиг Гольштейн
Стромболи,I,Калабрия
Влиленд,Нл,Фризленд
Готландия,И,Готландия
Северный Кайкос,ТУКА,Острова Тёркс и Кайкос
Воссоединение,ВРЕМЯ,Воссоединение
Великобритании,ГБ,Лотиан
Тексель,Нл,Норд Холланд
Тимор,РИ,Индонезия
Стреймой,FARX,Фарерские острова
Гешм,IR,Хормозган
Вознесения,HELX,Остров Св. Елены
Биоко,GQ,Экваториальная Гвинея
