name,country,population,area,capital,capprov
Торунский,PL,662600,5348.0,Торан,Торунский
Мавритания,РИМ,2336048,,Нуакшот,Мавритания
Кувейт,KWT,1950047,,Кувейт,Кувейт
Асван,ЕТ,883000,679.0,Асван,Асван
Северная крайность,КАМ,1855700,34246.0,Маруа,Северная крайность
Сьего де Авила,C,353000,6910.0,Сьего де Авила,Сьего де Авила
Новая Каледония,НКА,227436,,Нумеа,Новая Каледония
Карачево Чернескская Республика.,Р,436300,14100.0,Шеркеск,Карачево Чернескская Республика.
ZG,CH,92392,238.0,Зуг,ZG
Елениогорская,PL,519200,4379.0,Джеления Гора,Елениогорская
Сохаг,ЕТ,2689000,1547.0,Сохаг,Сохаг
Клюй,RO,743000,6650.0,Клюй Напока,Клюй
Гифу,J,2100315,10596.0,Гифу,Гифу
Долина Гламоргана,ГБ,119200,337.0,Барри,Долина Гламоргана
Андаман и Никобар тоже.,СИН,280661,8249.0,Порт Блэр,Андаман и Никобар тоже.
Ниигата,J,2488364,12579.0,Ниигата,Ниигата
Фукуи,J,826996,4192.0,Фукуи,Фукуи
ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,США,528964,179.0,Вашингтон,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ
Вентилятор,Н,191600,,Тоенсберг,Вентилятор
Эссекс,ГБ,1548800,3672.0,Челмсфорд,Эссекс
Сан-Андрес и Провиденсия,CO,35818,44.0,Сан-Андрес,Сан-Андрес и Провиденсия
Мекленбург Ворпоммерн,D,1832298,23170.0,Шверин,Мекленбург Ворпоммерн
Кирибати,КИР,80919,,Тарава,Кирибати
Махараштра,СИН,78937187,307713.0,Бомбей,Махараштра
Эрзурум,ТR,848201,25066.0,Эрзурум,Эрзурум
Канарские острова,E,1534897,7447.0,Санта-Крус де Тенерифе,Канарские острова
Вануату,БУ,177504,,Порт-Вила,Вануату
Кафр-эш-Шейх,ЕТ,1968000,3437.0,Кафр-эш-Шейх,Кафр-эш-Шейх
Васлуй,RO,468000,5297.0,Васлуй,Васлуй
Новый Южный Уэльс,AUS,6115100,801428.0,Сидней,Новый Южный Уэльс
Эредия,ЧР,256726,2656.0,Эредия,Эредия
Базиликата,I,611000,9992.0,Картофель,Базиликата
Сахалинская область,Р,647800,87100.0,Южно Сахалинск,Сахалинская область
Мендоса,РЭ,1412481,148827.0,Мендоса,Мендоса
Кыргызстан,KGZ,4529648,,Бишкек,Кыргызстан
Тете,МПК,734600,100724.0,Тете,Тете
Хертфордшир,ГБ,989500,1634.0,Хертфорд,Хертфордшир
Носозадеки,PL,709500,5576.0,Ной Сач,Носозадеки
Эль-Бухайра,ЕТ,3602000,10130.0,Даманхур,Эль-Бухайра
Лотиан,ГБ,758600,1770.0,Эдинбург,Лотиан
Самарская область,Р,3311500,53600.0,Самара,Самарская область
Уамбо,АНГ,1524000,34274.0,Уамбо,Уамбо
Абу-Даби,ОАЭ,670000,67350.0,,
Черниховка,UA,938600,31900.0,Чернихив,Черниховка
Тюринген,D,2517776,16171.0,Эрфурт,Тюринген
VS,CH,271291,5224.0,Сион,VS
Таиланд,ТА,58851357,,Бангкок,Таиланд
Австралия,AL,3249136,,Тиран,Австралия
Кочи,J,816704,7107.0,Кочи,Кочи
Жезкацган,KAZ,484400,312600.0,Жезкацган,Жезкацган
Сан-Луис,РЭ,286458,76748.0,Сан-Луис,Сан-Луис
Alsace,F,1624000,8280.0,Страсбург,Alsace
Ливия,ЛАР,5445436,,Триполи,Ливия
Панама,ПА,1168500,11887.0,Панама,Панама
Морогоро,ЕАТ,1222700,70799.0,Морогоро,Морогоро
Чирики,ПА,396800,8653.0,Дэвид,Чирики
Хейлонгцзян,ТДж,36720000,469000.0,Харбин,Хейлонгцзян
Ла-Пампа,РЭ,259996,143440.0,Санта Роза,Ла-Пампа
Республика Татарстан,Р,3760500,68000.0,Казан,Республика Татарстан
Бруней,БРУ,299939,,Бандар Сери Бегаван,Бруней
Лаксхадвип - это.,СИН,51707,32.0,Каваратти,Лаксхадвип - это.
Веспрем,Н,378300,4689.0,Веспрем,Веспрем
ОЖ,CH,31310,490.0,Сарнен,ОЖ
Сингида,ЕАТ,791800,49341.0,Сингида,Сингида
Тимис,RO,726000,8692.0,Тимисоара,Тимис
