lake,country,province
Озеро Абайя,ЭТО,Эфиопия
Каспийское море,Р,Республика Дагестан
Ozero Baykal,Р,Республика Бурьятия
Ozero Tschany,Р,Новосибирская область
Озеро Мичиган,США,Мичиган
Каспийское море,Р,Республика Калмикия
Веттерн,И,Skaraborg
Лаго-ди-Бракьяно,I,Лацио
Ozero Balchash,KAZ,Жезкацган
Озеро Манагуа,НИК,Никарагуа
Мертвое море,Ил,Южное
Валенерн,И,Skaraborg
Ozero Ladoga,Р,Респондент Карелии
Лак Леман,F,Рон-Алпес
Озеро Шампанское,США,Вермонт
Озеро Натрон,ЕАТ,Аруша
Озеро Ньос,КАМ,Нордуэст
Каспийское море,Р,Астраханская область
Озеро Малави,МПК,Ньяса
Озеро Кебан,ТR,Тунсели
Лаго-ди-Комо,I,Ломбардия
&lt; &lt; Лагуна Мар Чикита &gt; &gt;,РЭ,Санта-Фе
Великое Соленое озеро,США,Юта
Крейтерское озеро Ликанкабур,БОЛ,Боливия
Vierwaldstattersee,CH,НО
Озеро Эри,США,Нью-Йорк
Озеро Эри,КН,Онтарио
Верхнее озеро,США,Висконсин
Рутанзиге/Эдардзе,ЕАС,Уганда
Озеро Чилва,МПК,Ньяса
Цинхайское озеро,ТДж,Цинхай
Маеларен,И,Уппсала
Ozero Aral,Юзеф,Каракальпогистон
Озеро Туркана,ЭАК,Лифтовая долина
Ozero Taimir,Р,Красноярский крей
Озеро Туркана,ЭАК,Восточная
Озеро Мверу,Z,Луапула
Озеро Маракайбо,YV,Трухильо
Ozero Chanka,ТДж,Хейлонгцзян
Озеро Малави,МВт,Малави
Озеро Титикака,БОЛ,Боливия
Озеро Кебан,ТR,Малатья
Озеро Аббе,ЭТО,Эфиопия
Озеро Маниту,КН,Онтарио
Озеро Женезарет,СИР,Сирия
Ozero Onega,Р,Респондент Карелии
Атлинское озеро,КН,Британская Колумбия
Иссык-Куль,KGZ,Кыргызстан
Озеро Шампанское,КН,Квебек
Мертвое море,ЗАХОД,Западный берег
Мертвое море,JOR,Иордания
Балатон,Н,Зала
Озеро Тахо,США,Невада
Озеро Мичиган,США,Индианаa
Лаго Трасимено,I,Тоскана
Озеро Вольта,GH,Гана
Озеро Виктория,ЕАТ,Мара
Озеро Тахо,США,Калифорния
Чимси,D,Байерн
Озеро Ван,ТR,Битлис
Озеро Оахе,США,Северная Дакота
Лак Леман,CH,VS
Озеро Мичиган,США,Иллинойс
Лак Леман,CH,VD
&lt; &lt; Лагуна Мар Чикита &gt; &gt;,РЭ,Кордоба
озеро Никарагуа,ЧР,Алахуэла
Озеро Насер,ЕТ,Асван
Озеро Кебан,ТR,Элазиг
Озеро Мид,США,Невада
Лахер Маар,D,Rheinland Pfalz
Каспийское море,IR,Мазандаран
Каспийское море,KAZ,Мангистау
Каспийское море,AZ,Азербайджан
Цюрихсэ,CH,ZH
Чадское озеро,РН,Нигер
Лак Леман,CH,ГЭ
Старнбергер См.,D,Байерн
Ozero Onega,Р,Вологодская область
Озеро Танганджика,ЕАТ,Мбея
Верхнее озеро,США,Миннесота
Жуй Бахир,ЭАК,Восточная
Бодензе,CH,ТГ
Озеро Тана,ЭТО,Эфиопия
Озеро Виктория,ЕАС,Уганда
Озеро Танганджика,ЕАТ,Кигома
Озеро Киву,ЗРЕ,Киву
Озеро Киву,РВА,Руанда
Хамун и Джаз Мурьян,IR,Керман
&lt; &lt; Лагуна Мар Чикита &gt; &gt;,РЭ,Сантьяго-де-Эстеро
Лаго Маггиоре,CH,TI
Оулуярви,SF,Оулу
Верхнее озеро,США,Мичиган
Соль Makarikari Pan,РБ,Ботсвана
Озеро Гурон,США,Мичиган
Озеро Виктория,ЭАК,Ньянза
Ozero Balchash,KAZ,Жамбил
Озеро Май Ндомбе,ЗРЕ,Бандунду
Кратерское озеро,США,Орегон
Жуй Бахир,ЭТО,Эфиопия
Бодензе,A,Ворарльберг
Ozero Aral,KAZ,Кызылорда
Лаго Маггиоре,I,Ломбардия
Озеро Охрид,MK,Чешская Республика
Сильвян,И,Даларна
Озеро Аббе,ДСО,Джибути
Балатон,Н,Фейер
Озеро Босумтви,GH,Гана
Озеро Урмия,IR,Азарбайян и Гарбт
Лак-ассаль,ДСО,Джибути
Озеро Сесе Секо/Альбертзе,ЕАС,Уганда
Озеро Сесе Секо/Альбертзе,ЗРЕ,Верхний Заир
Озеро Онтарио,США,Нью-Йорк
Vierwaldstattersee,CH,LU
Озеро Шампанское,США,Нью-Йорк
Озеро Мверу,ЗРЕ,Шаба/Катанга
Озеро Виннипесауке,США,Нью-Гэмпшир
Веттерн,И,Джонкопинг
Озеро Танганджика,ЗРЕ,Киву
Балатон,Н,Веспрем
Озеро Окечоби,США,Флорида
Озеро Маникуаган,КН,Квебек
Нойсидлерсе,A,Бургенланд
Франклин Д. Рузвельтское озеро,США,Вашингтон
Озеро Малави,ЕАТ,Рувума
Лох-Несс,ГБ,Стратклид
Озеро Скутари,МНП,Черногория
Бодензе,CH,SG
Озеро Мид,США,Аризона
Соль &lt; &lt; Этоша &gt; &gt;,ДН,Намибия
Лох-Несс,ГБ,Центральный
Ozero Pskovskoje,ЭВ,Литва
Пейджаенн,SF,Хеме
Озеро Маракайбо,YV,Зулия
Озеро Кариба,Z,Южный
Озеро Айаси,ЕАТ,Аруша
Озеро Пауэлл,США,Юта
Великое Невольничье озеро,КН,Северо-западные территории
озеро Сакакавеа,США,Монтана
Арресо,ДК,Дания
Чадское озеро,КАМ,Северная крайность
Озеро Нгами,РБ,Ботсвана
Озеро Малави,ЕАТ,Иринга
Туннели,CH,БУДЬ
Лаго-де-Чапала,МЕКС,Халиско
Озеро Виктория,ЭАК,Западный
Маеларен,И,Содерманленд
Верхнее озеро,КН,Онтарио
Озеро Маракайбо,YV,Мерида
Озеро Насер,СУД,Эш Шамалия
Озеро Чикамауга,США,Теннесси
озеро Никарагуа,НИК,Никарагуа
