abbreviation,name,city,country,province,established
ЭН,Агентство по ядерной энергии,,,,1958-01-01
Группа 15,Группа 15,Женева,CH,ГЭ,
ОИК,Организация Исламская конференция,Джидда,С.А.,Саудовская Аравия,1969-09-22
АфБР,Африканский банк развития,Абиджан,CI,Кот-д &apos; Ивуар,1963-08-04
МАР,Международная ассоциация развития,Вашингтон,США,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,1960-01-26
ЮНКТАД,Конференция Организации Объединенных Наций по торговле и развитию,Женева,CH,ГЭ,1964-12-30
О-3,Группа 3,,,,1990-10-01
ГЯП,Группа ядерных поставщиков,Вена,A,Вена,
АСЕАН,Ассоциация государств Юго-Восточной Азии,Джакарта,РИ,Индонезия,1967-08-09
МОК,Международный олимпийский комитет,Лозанна,CH,VD,1894-06-23
ССЗ,Совет сотрудничества стран Залива,Эр-Рияд,С.А.,Саудовская Аравия,1981-05-25
Бенилюкс,Экономический союз &lt; &lt; Бенилюкс &gt; &gt;,Брюссель,B,Брабант,1958-02-03
МОТ,Международная организация труда,Женева,CH,ГЭ,1919-04-11
АКК,Арабский совет сотрудничества,,,,1989-02-16
ВСООНК,Вооруженные силы Организации Объединенных Наций на Кипре,Нью-Йорк,США,Нью-Йорк,1964-03-04
АзБР,Азиатский банк развития,Манила,РП,Филиппины,1966-12-19
Г-19,Группа 19,,,,1975-10-01
Удовлетворение,Совет Согласия,Абиджан,CI,Кот-д &apos; Ивуар,1959-05-29
СААРК,Ассоциация регионального сотрудничества стран Южной Азии,Катманду,NEP,Непал,1985-12-08
ВАБР,Западноафриканский банк развития,Лом,РТ,Того,1973-11-14
КМООНА III,Контрольная миссия Организации Объединенных Наций в Анголе,Нью-Йорк,США,Нью-Йорк,1988-12-20
АНК,Совет сотрудничества в Северной Атлантике,Брюссель,B,Брабант,1991-11-08
РКРТ,Режим контроля за ракетной технологией,,,,1987-04-16
СООННР,Силы Организации Объединенных Наций по наблюдению за разъединением,Дамаск,СИР,Сирия,1974-05-31
