country1,country2,length
ARM,AZ,787.0
A,CH,164.0
A,CZ,362.0
A,D,784.0
B,D,167.0
CH,D,334.0
CZ,D,646.0
D,ДК,68.0
И ДОЛЖНОСТНЫЕ ЛИЦА,E,65.0
И ДОЛЖНОСТНЫЕ ЛИЦА,F,60.0
B,F,620.0
CH,F,573.0
D,F,451.0
E,F,623.0
A,ФЛ,37.0
CH,ФЛ,41.0
E,ГБЦ,1.2
ARM,ГЭ,164.0
AZ,ГЭ,322.0
AL,ГР,282.0
БГ,ГР,494.0
A,Н,366.0
БиГ,HR,932.0
Н,HR,329.0
A,I,430.0
CH,I,740.0
F,I,488.0
AFG,IR,936.0
ARM,IR,35.0
AZ,IR,611.0
ГБ,IRL,360.0
IR,ИРК,1458.0
AL,KOS,112.0
БиГ,KOS,225.0
B,L,148.0
ИРК,С.А.,814.0
CZ,PL,658.0
Ил,ЗАХОД,307.0
I,РШМ,39.0
GH,РТ,877.0
БОЛ,РЭ,832.0
ЧР,НИК,309.0
Р,ТДж,3645.0
К,LAO,541.0
КР,Парень,1119.0
МЭТ,АЗС,443.0
BF,РТ,126.0
Бен,BF,306.0
MK,ОПП,62.0
BF,CI,584.0
Н,И,1619.0
ДОМ,РЧ,275.0
NEP,ТДж,1236.0
БОЛ,КР,3400.0
ГНБ,RG,386.0
G,КБК,1903.0
Н,SF,729.0
Н,Р,167.0
ГЭ,Р,723.0
ПЭ,RCH,160.0
Н,SLO,102.0
РН,TCH,1175.0
ДСО,ЭТО,337.0
KAZ,KGZ,1051.0
СИН,NEP,1690.0
МЬЯ,ТДж,2185.0
БОЛ,RCH,861.0
BZ,МЕКС,250.0
D,PL,456.0
AL,МНП,172.0
CI,ЛБ,716.0
АНГ,ЗРЕ,2511.0
JOR,СИР,375.0
РВА,ЗРЕ,217.0
ИРК,СИР,605.0
RO,UA,531.0
ЧР,ПА,330.0
ЛАР,TCH,1055.0
HR,ОПП,241.0
Клянусь!,PL,605.0
Бен,ВАН,773.0
Н,UA,103.0
РЭ,RCH,5150.0
Клянусь!,UA,891.0
ЕТ,Газа,11.0
ЕТ,Ил,255.0
Газа,Ил,51.0
БД,СИН,4053.0
БВ,СИН,605.0
Ил,JOR,238.0
ИРК,JOR,181.0
ИРК,KWT,242.0
БРУ,ТЗА,381.0
БД,МЬЯ,193.0
СИН,МЬЯ,1463.0
LAO,МЬЯ,235.0
AFG,ПК,2430.0
С.А.,ДА,1458.0
ЛТ,PL,91.0
КАМ,ВАН,1690.0
CI,RG,610.0
Z,ЗРЕ,1930.0
РБ,ZW,813.0
РММ,РН,821.0
CO,YV,2050.0
HCA,НИК,922.0
ЕТ,СУД,1273.0
ЛС,RSA,909.0
КБК,ЗРЕ,2410.0
МВт,Z,837.0
К,ТА,803.0
С.А.,ОАЭ,457.0
РИМ,АЗС,1561.0
I,SLO,235.0
СУД,ЗРЕ,628.0
Клянусь!,ЛВ,141.0
CO,ЕС,590.0
RG,SN,330.0
D,Нл,577.0
DZ,РН,956.0
И,SF,586.0
БиГ,ОПП,302.0
ЕАС,СУД,435.0
KOS,МНП,79.0
PL,Р,206.0
МПК,ZW,1231.0
KGZ,TAD,870.0
Н,RO,443.0
JOR,С.А.,728.0
КР,МСП,597.0
AZ,ТR,9.0
IR,ТR,499.0
PL,SK,444.0
IR,ПК,909.0
AL,MK,151.0
БИ,ЗРЕ,233.0
A,SK,91.0
Н,SK,515.0
ДСО,СП,58.0
РИМ,SN,813.0
CZ,SK,215.0
