island,sea,lake,river
Санта-Мария,Атлантический океан,,
Полезность,Балтийское море,,
Бишоп Рок,Атлантический океан,,
Ява,Сундское море,,
Остров Св. Елены,Атлантический океан,,
Сент-Китс,Карибское море,,
Сент-Мартин,Атлантический океан,,
Монтсеррат,Карибское море,,
Лампедуза,Средиземное море,,
Гранд-Тёрк,Атлантический океан,,
Тобаго,Атлантический океан,,
Ла-Пальма,Атлантический океан,,
Гран-Терре,Карибское море,,
Воссоединение,Индийский океан,,
Стреймой,Норвежское море,,
Ломбок,Сундское море,,
Харк,Персидский залив,,
Мах,Индийский океан,,
Фого,Атлантический океан,,
Суматра,Сундское море,,
Остров Санта-Крус,Тихоокеанский океан,,
Кауай,Тихоокеанский океан,,
Чили,Карибское море,,
Углы,Ирландское море,,
Тенерифа,Атлантический океан,,
Бангка,Сундское море,,
Лузон,Южно-Китайское море,,
Миндоро,Южно-Китайское море,,
Манитулен,,Озеро Гурон,
Остров Бэнкс,Северный Ледовитый океан,,
Лангёг,Северное море,,
Куба,Мексиканский залив,,
Минданао,Море Сулавеси,,
Форментера,Средиземное море,,
Майотта,Индийский океан,,
Ангилья,Атлантический океан,,
Стреймой,Атлантический океан,,
Гуам,Тихоокеанский океан,,
Шьермониког,Северное море,,
Родос,Средиземное море,,
Тиниан,Тихоокеанский океан,,
Аруба,Карибское море,,
Раротонг,Тихоокеанский океан,,
Великобритании,Ирландское море,,
Тристан-да-Кунья,Атлантический океан,,
Саваи,Тихоокеанский океан,,
Южный Рональдси,Северное море,,
Воссоединение,Индийский океан,,
Хоккайдо,Тихоокеанский океан,,
Вангерож,Северное море,,
Терскельное движение,Северное море,,
Лефкас,Средиземное море,,
Остров Св. Елены,Атлантический океан,,
Сантьяго,Атлантический океан,,
Новая Гвинея,Тихоокеанский океан,,
Самар,Тихоокеанский океан,,
Сент-Томас,Атлантический океан,,
Лейт,Море Сулавеси,,
Италия,Атлантический океан,,
Харк,Арабское море,,
Молокай,Тихоокеанский океан,,
Восточный Фолкленд,Атлантический океан,,
Сент-Мартин,Атлантический океан,,
Борнхольм,Балтийское море,,
Борнео,Море Сулавеси,,
Гешм,Арабское море,,
Самар,Море Сулавеси,,
Лампедуза,Средиземное море,,
Оаху,Тихоокеанский океан,,
Ланай,Тихоокеанский океан,,
Большие Бермудские острова,Атлантический океан,,
Гренландия,Атлантический океан,,
Гвадалканал,Тихоокеанский океан,,
Монтсеррат,Карибское море,,
Бахрейн,Персидский залив,,
Косс,Средиземное море,,
Остров Виктория,Северный Ледовитый океан,,
Хайнан,Южно-Китайское море,,
Стреймой,Атлантический океан,,
Баламхуап,Тихоокеанский океан,,
Остров принца Эдуарда,Атлантический океан,,
Борнео,Сундское море,,
Пуэрто-Рико,Атлантический океан,,
Северный Кайкос,Атлантический океан,,
Фонгафейл,Тихоокеанский океан,,
Корор,Тихоокеанский океан,,
Тортола,Карибское море,,
Миндоро,Южно-Китайское море,,
Микелон-Ланглайд,Атлантический океан,,
Суматра,Малаккский пролив,,
Сарденья,Средиземное море,,
Менорка,Средиземное море,,
Индонезия,Атлантический океан,,
Шри-Ланка,Бенгальский залив,,
Тобаго,Атлантический океан,,
Филикуди,Средиземное море,,
Суматра,Сундское море,,
Эмбон,Сундское море,,
Гернси,Канал,,
Доминика,Атлантический океан,,
Остров Мэн,Ирландское море,,
Полезность,Балтийское море,,
Гран Канариа,Атлантический океан,,
Уполу,Тихоокеанский океан,,
Майотта,Индийский океан,,
Дагое,Балтийское море,,
Ниуэ,Тихоокеанский океан,,
Остров Котельни,Сибирианское море,,
Ньюфаундленд,Атлантический океан,,
Тимор,Сундское море,,
Пулау Панжанг,Индийский океан,,
Виноградник Марты,Атлантический океан,,
Мартиника,Атлантический океан,,
Батам,Южно-Китайское море,,
Фор,Северное море,,
Вангерож,Северное море,,
Сент-Мартин,Атлантический океан,,
Аруба,Карибское море,,
Бишоп Рок,Атлантический океан,,
Сент-Винсент,Атлантический океан,,
Остров Мэн,Ирландское море,,
Рум,Атлантический океан,,
Остров Котельни,Сибирианское море,,
Тринидад,Атлантический океан,,
Окинава,Восточно-Китайское море,,
Остров Кангару,Индийский океан,,
Сент-Люсия,Карибское море,,
Южный Рональдси,Северное море,,
Хонсю,Тихоокеанский океан,,
Аликуди,Средиземное море,,
Сент-Люсия,Атлантический океан,,
Италия,Атлантический океан,,
Доминика,Карибское море,,
Иерро,Атлантический океан,,
Палаван,Море Сулавеси,,
Вангерож,Северное море,,
Полезность,Балтийское море,,
Тобаго,Атлантический океан,,
Восточный Фолкленд,Атлантический океан,,
Эфат,Тихоокеанский океан,,
Руген,Северное море,,
Гуам,Тихоокеанский океан,,
Площадь,Балтийское море,,
Провиденсьялес,Атлантический океан,,
Манитулен,,Озеро Гурон,
