name,area,depth,altitude,type,river,longitude,latitude
Оулуярви,928.0,35.0,123.0,,Оулуйоки,27.25,64.3
Веттерн,1900.0,119.0,88.0,,,14.5,58.3
Озеро Каинджи,1243.0,,,искусственные,Нигер,4.5,10.4
Соль Makarikari Pan,12000.0,0.0,,соль,,21.0,-25.5
Озеро Натрон,1040.0,2.0,600.0,соль,,36.0,-2.4
Озеро Абайя,1285.0,13.0,619.0,соль,,37.8,6.3
Цюрихсэ,88.0,136.0,406.0,,Лимат,8.23631,47.5018
Озеро Чикамауга,147.0,,,,Теннесси,-85.0,35.4
Озеро Женезарет,165.0,46.0,-212.0,,Иордания,35.6,32.81
Озеро Окечоби,1890.0,4.0,,,,-80.8,26.94
&lt; &lt; Инари &gt; &gt;,1040.0,92.0,119.0,,Паатшоки,27.7,68.95
Озеро Маниту,104.0,,,,,-82.0,45.76
Озеро Форт-Пек,981.0,67.0,,искусственные,Миссури,-106.4,48.0
Озеро Манагуа,1035.0,20.0,39.0,,Рио Сан-Хуан,-86.4,12.35
Озеро Мичиган,57800.0,281.0,176.0,,,-87.08,43.69
Озеро Шампанское,1130.0,121.0,30.0,,Ривьер Ришелье,-73.35,44.56
&lt; &lt; Полиция &gt; &gt;,370.0,346.0,65.0,,Минсио,10.65,45.6
Чимси,80.0,73.0,518.0,,Alz,12.4,47.9
Маеларен,1140.0,66.0,0.7,,,17.1,59.4
Озеро Маракайбо,13000.0,50.0,0.0,,,-71.55,9.72
Саймаа,4370.0,85.0,76.0,,Вуокси,28.0,61.3
Лак-ассаль,54.0,,-155.0,соль,,42.4,11.65
Озеро Мверу,5120.0,27.0,931.0,,Лувуа,28.7,-9.0
Великое Соленое озеро,4400.0,10.0,1279.0,,,-112.6,41.15
Озеро Кариба,5580.0,32.0,,искусственные,Замбези,28.75,-16.5
Салар де Уюни,10582.0,0.0,3650.0,соль,,-67.5,-20.1
Vierwaldstattersee,113.7,214.0,434.0,,Реус,8.4,47.0
Озеро Виннипесауке,186.0,55.0,153.0,,Река Мерримак,-71.3,43.6
Каллавеси,472.0,,,,Вуокси,27.7,62.9
Озеро Урмия,5470.0,7.0,1280.0,соль,,45.3,37.7
Озеро Оахе,1453.0,,,искусственные,Миссури,-100.4,44.45
