sea1,sea2
Море Сулавеси,Сундское море
Японское море,Охотское море
Черное море,Азовское море
Индийский океан,Тихоокеанский океан
Малаккский пролив,Южно-Китайское море
Восточно-Китайское море,Южно-Китайское море
Аденский залив,Красное море
Андаманское море,Индийский океан
Арабское море,Оманский залив
Оманский залив,Индийский океан
Атлантический океан,Северное море
Северное море,Канал
Тихоокеанский океан,Японское море
Атлантический океан,Ирландское море
Японское море,Желтое море
Северное море,Норвежское море
Восточно-Китайское море,Японское море
Восточно-Китайское море,Желтое море
Море Баренцев,Норвежское море
Море Баренцев,Сибирианское море
Атлантический океан,Тихоокеанский океан
Северный Ледовитый океан,Норвежское море
Атлантический океан,Средиземное море
Арабское море,Индийский океан
Бенгальский залив,Сундское море
Оманский залив,Персидский залив
Балтийское море,Северное море
Карибское море,Мексиканский залив
Атлантический океан,Мексиканский залив
Северный Ледовитый океан,Беременное море
Черное море,Средиземное море
Тихоокеанский океан,Море Сулавеси
Восточно-Китайское море,Тихоокеанский океан
Северный Ледовитый океан,Сибирианское море
Южно-Китайское море,Сундское море
Аденский залив,Индийский океан
Каттегат,Скагеррак
Атлантический океан,Карибское море
Северное море,Скагеррак
Тихоокеанский океан,Южно-Китайское море
Андаманское море,Малаккский пролив
Южно-Китайское море,Море Сулавеси
Индийский океан,Сундское море
Атлантический океан,Канал
Андаманское море,Бенгальский залив
Бенгальский залив,Тихоокеанский океан
Атлантический океан,Индийский океан
Северный Ледовитый океан,Море Баренцев
Атлантический океан,Норвежское море
Арабское море,Аденский залив
Северный Ледовитый океан,Атлантический океан
Тихоокеанский океан,Охотское море
Тихоокеанский океан,Сундское море
Беременное море,Тихоокеанский океан
