country,target
РЭ,Кристиан
ПК,нехристианские
КН,Кристиан
Нл,Кристиан
Юзеф,нехристианские
ИРК,нехристианские
АМСА,Кристиан
РЧ,Кристиан
РИМ,нехристианские
И ДОЛЖНОСТНЫЕ ЛИЦА,Кристиан
ДН,Кристиан
B,Кристиан
XMAS,нехристианские
ЧР,Кристиан
КОК,Кристиан
Новой Зеландии,Кристиан
CV,Кристиан
БОЛ,Кристиан
TN,нехристианские
ВАЛ,нехристианские
ФГУ,Кристиан
FARX,Кристиан
БВИР,Кристиан
COM,нехристианские
E,Кристиан
С.А.,нехристианские
МГ,Кристиан
Ил,нехристианские
ФПОЛ,Кристиан
KWT,нехристианские
КР,Кристиан
АНГ,Кристиан
ТУКА,Кристиан
БУ,Кристиан
ГР,Кристиан
Ру,Кристиан
C,Кристиан
ВАН,нехристианские
ЕС,Кристиан
Газа,нехристианские
РТ,Кристиан
IRL,Кристиан
РИ,нехристианские
УР,Кристиан
GH,нехристианские
MK,Кристиан
SLO,Кристиан
GQ,Кристиан
МЭТ,нехристианские
ТДж,нехристианские
БРИН,нехристианские
Q,нехристианские
MS,нехристианские
ИУ,Кристиан
ЕТ,нехристианские
DZ,нехристианские
ЛС,Кристиан
ОПП,Кристиан
МНП,Кристиан
V,Кристиан
ARU,Кристиан
СИР,нехристианские
F,Кристиан
J,нехристианские
AUS,Кристиан
МАРТ,Кристиан
TCH,нехристианские
WS,Кристиан
CH,Кристиан
RO,Кристиан
HCA,Кристиан
ВАГ,нехристианские
RL,нехристианские
Парень,Кристиан
БИ,Кристиан
ГРАД,Кристиан
ГНБ,нехристианские
COCO,нехристианские
УРБ,Кристиан
РБ,Кристиан
MD,Кристиан
МЬЯ,нехристианские
М,Кристиан
ВРЕМЯ,Кристиан
LAO,нехристианские
CI,нехристианские
СИН,нехристианские
МАКХ,нехристианские
KAZ,нехристианские
ДЖА,Кристиан
SY,Кристиан
РН,нехристианские
ГРОКС,Кристиан
МПК,Кристиан
Н,Кристиан
SK,Кристиан
TAD,нехристианские
Р,Кристиан
D,Кристиан
ДСО,нехристианские
ВИРГ,Кристиан
КР,нехристианские
РВА,Кристиан
НОРФ,Кристиан
БГ,Кристиан
CZ,Кристиан
ТА,нехристианские
G,Кристиан
CY,Кристиан
ДК,Кристиан
К,нехристианские
ГБЦ,Кристиан
ОАЭ,нехристианские
ЭТО,нехристианские
Клянусь!,Кристиан
BF,нехристианские
ES,Кристиан
NEP,нехристианские
КАМ,Кристиан
ПЭ,Кристиан
JOR,нехристианские
NAU,Кристиан
BS,Кристиан
МЕКС,Кристиан
РМ,Кристиан
ARM,Кристиан
Кл,нехристианские
РШМ,Кристиан
AL,нехристианские
BZ,Кристиан
ТВЧ,нехристианские
AZ,нехристианские
RG,нехристианские
L,Кристиан
PY,Кристиан
RSA,нехристианские
ТR,нехристианские
ПР,Кристиан
СПМИ,Кристиан
КИР,Кристиан
AFG,нехристианские
SN,нехристианские
БД,нехристианские
ХОНКС,Кристиан
ФЛ,Кристиан
SF,Кристиан
БВ,нехристианские
