mountain,island
Ла Суфриер,Басс-Терре
Вильгельм,Новая Гвинея
Циафаявона,Мадагаскар
Монт-Орохена,Таити
Диаблотины морна,Доминика
Leuser,Суматра
Пико,Пико
Суфриер Хиллз,Монтсеррат
Ю Шан,Тайвань
Пико де Тейд,Тенерифа
Барбо Пик,Остров Эллесмир
Семеру,Ява
Королева Марис Пик,Тристан-да-Кунья
Pico de los Nieves,Гран Канариа
Кинабалу,Борнео
Piton de la Fournaise,Воссоединение
Халекала,Мауи
Пулог,Лузон
Oraefajokull,Италия
Фого,Фого
Мантальингаджан,Палаван
Кракатау,Кракатау
Суфриер,Сент-Винсент
Мауна Кеа,Гавайи
Пико Дуарти,Испаньола
Mt. Balbi,Бугенвиль
Рантекомбола,Сулавеси
Гилуве,Новая Гвинея
Тамбора,Сумбава
Жима,Олкхон
Монте Синто,Корс
Г-н Бабель,Остров Рене Левассеур
Псилорит,Крета
Виктория,Вити Леву
Гунунг Агунг,Бали
Керинчи,Суматра
Снэфелл,Италия
Олимпос,Кипр
Пели,Мартиника
Мерапи,Ява
Ринджани,Ломбок
Асахи-Дейк,Хоккайдо
Пико Руиво,Мадейра
Голубая гора,Чили
Руапеху,Те Ика-а-Мауи (Северный остров)
Piton des Neiges,Воссоединение
&lt; &lt; Роке де лос Мучачос &gt; &gt;,Ла-Пальма
Царатанана,Мадагаскар
Pico Basile,Биоко
Попоманасей,Гвадалканал
Пико де Сан-Томе,Сан-Томе
М. Кук,Те Вака-а-Мауи (Южный остров)
Серро-де-Пунта,Пуэрто-Рико
Гунунг Бинайя,Церам
Панчак Джая,Новая Гвинея
Tatamailau,Тимор
Сильвисили,Саваи
Бен Невис,Великобритании
Пинатубо,Лузон
Гора Апо,Минданао
Пико Туркино,Куба
Канлаон,Негры
Г-н Один,Остров Баффин
Андрингитра,Мадагаскар
Этна,Сицилия
Концепция,Айла да Ометепе
Мауна Луа,Гавайи
