country,name,percentage
IR,Персидский,58.0
ТМ,Туркмен,72.0
ГУАМ,Английский,38.3
SLO,Словения,91.0
ЛБ,Английский,20.0
SLB,Английский,1.0
МПК,Португальский,100.0
NEP,Непали,100.0
НИК,Испанский,100.0
СПМИ,Французский,100.0
CO,Испанский,100.0
C,Испанский,100.0
,Английский,15.9
ФГУ,Французский,100.0
ARM,Русский,2.0
ФПОЛ,Французский,61.1
MK,Сербский,3.0
ДН,Африкаанс,60.0
ДН,Английский,7.0
ПК,Пушту,8.0
РММ,Бамбара,80.0
Кл,Синхала,74.0
ХОНКС,Китайцы,95.6
ДА,Арабский,100.0
KAZ,Казак,40.0
ХОНКС,Английский,3.2
AZ,Армянский,2.0
Р,Португальский,100.0
ДН,Немецкий,32.0
Р,Русский,100.0
IR,Турки,26.0
Кл,Тамильский,18.0
ПК,Брахуи,1.0
B,Французский,32.0
AXA,Английский,100.0
,Креольский,1.6
CH,Немецкий,65.0
Кейм,Испанский,3.2
МПГ,Кхалька Монголь,90.0
CH,Французский,18.0
B,Немецкий,1.0
ТМ,Русский,12.0
ПК,Балочи,3.0
НМИС,Языки Филиппина,24.4
RG,Французский,100.0
АМСА,Самоа,90.6
МАКХ,Португальский,4.0
ГРАД,Французский,99.0
ВАФА,Уоллисский,58.9
B,Датч,56.0
MK,Албанец,21.0
БВИР,Английский,100.0
МНП,Албанец,5.3
РШМ,Итальянский,100.0
IR,Курдский,9.0
RCH,Испанский,100.0
Кейм,Английский,95.0
IR,Лури,2.0
D,Немецкий,100.0
A,Немецкий,100.0
НМИС,Чаморро,22.4
IR,Турецкий,1.0
НМИС,Другие языки тихоокеанских островов,9.5
ВАФА,Французский,10.8
НМИС,Английский,10.8
ПК,Пенджаби,48.0
МНТ,Английский,100.0
AFG,Афганский персид,50.0
БГ,Болгарский,100.0
ФАЛК,Английский,100.0
ТМ,узбекский,9.0
ПК,Урду,8.0
СУА,Испанский,60.0
E,Каталонский,17.0
ПА,Английский,14.0
Юзеф,узбекский,74.3
НМИС,Китайские языки,23.4
SF,Шведский,6.3
AFG,Турки,11.0
ОПП,Сербский,88.3
СИН,хинди,30.0
MK,Македонский,70.0
ГЭ,Азербайджан,6.0
ПК,Хиндко,2.0
МНП,Сербский,63.6
,Датч,7.3
HELX,Английский,100.0
БиГ,Сербо-хорватский,99.0
SLO,Хорватский,7.0
ОМТС,Питкерн,100.0
,Папиаменто,65.4
IR,Балочи,1.0
МНП,Черногория,22.0
ДОМ,Испанский,100.0
Нл,Датч,100.0
ФПОЛ,Полинезийский,31.4
,Испанский,6.1
IR,Арабский,1.0
E,Баскский,2.0
ПК,Синдхи,12.0
ГУАМ,Чаморро,22.2
АМСА,Английский,2.9
F,Французский,100.0
И,Шведский,100.0
CH,римляне,1.0
ОПП,Боснийцы,1.8
ПК,Сираики,10.0
J,Японский,100.0
KN,Английский,100.0
ГЭ,Армянский,7.0
AFG,Пушту,35.0
MK,Турецкий,3.0
ТУКА,Английский,100.0
AZ,Азербайджан,89.0
AUS,Английский,100.0
ГЭ,Русский,9.0
ПДТ,Португальский,100.0
Юзеф,Таджик,4.4
PL,Польский,100.0
АГ,Английский,100.0
Норк,Корейский,100.0
ВАФА,Футунийцы,30.1
МЬЯ,Бирманский язык,100.0
ИУ,Исландский,100.0
ГЭ,грузины,71.0
РЧ,Французский,10.0
АМСА,Тонга,2.4
CH,Итальянский,12.0
