name,mountains,height,type,longitude,latitude
Жостедальсбре,,2083.0,,5.5,61.4
Джабель Любнан,Ливан,3088.0,,36.1,34.3
Пико Боливар,Анды,4981.0,,-71.0,8.6
Суфриер Хиллз,,1050.0,вулкан,-62.2,16.7
Мусала,Балканские острова,2925.0,,23.6,42.2
Фельдберг,Шварцвальд,1493.0,,7.5,47.5
Тамбора,,2850.0,вулкан,118.0,-8.2
Тамгак,Азбин,1800.0,вулканическое,9.0,19.0
Кеня,Восточноафриканский хребет,5199.0,вулканическое,37.3,0.15
Пинатубо,,1486.0,вулкан,120.3,15.1
Таджумулько,Сьерра-Мадре,4220.0,вулканическое,-91.9,15.0
Джабель Катрина,Синай,2637.0,,33.95,28.5
Харни Пик,Скалистые горы,2207.0,,-103.4,44.0
Мт Адамс,Диапазон каскадов,3743.0,вулкан,-121.5,46.2
Маттерхорн,Альпы,4478.0,,7.56,46.0
Сулитжелма,,1914.0,,16.2,67.1
Tarrekaise,,1850.0,,17.3,67.0
Mt Elbert,Скалистые горы,4401.0,,-106.4,39.1
Невадо дель Уила,Анды,5750.0,вулкан,-76.0,2.9
Дерьмо_Sogn_Gion,Альпы,2228.0,,9.2,46.85
Широкий пик,Каракорум,8051.0,,76.6,35.8
Изтациуатль,Кордильера Вулканика,5286.0,вулканическое,-98.6,19.2
&lt; &lt; Роке де лос Мучачос &gt; &gt;,Канарские острова,2426.0,вулкан,-17.9,28.75
Эми Кусси,Тибести,3415.0,вулкан,18.5,20.0
Табана Нтленьяна,Дракенсберг,3482.0,,29.3,-29.5
Pico de Alamanzor,Центральный Кордильера,2648.0,,-5.3,40.25
Пик Коммунизма,Памир,7494.0,,72.0,39.0
Гора Эверест,Гималаи,8848.0,,86.9,28.0
Рантекомбола,,3455.0,вулканическое,120.0,-3.6
Г-н Богонг,Снежные горы,1986.0,,147.5,-37.0
Этна,,3323.0,вулкан,15.0,37.7
Пуи-де-Коме,Севенны,1465.0,вулканическое,3.0,45.8
Пик Победа,Тянь Шан,7439.0,,80.1,42.0
Тахан,,2190.0,,108.0,4.0
Пулог,,2928.0,вулканическое,121.0,17.0
Борах Пик,Скалистые горы,3859.0,,-113.8,44.1
Нанга Парбат,Каракорум,8125.0,,74.6,35.2
Жима,,1276.0,,107.4,53.15
Герлаховский Стит,Бескиды,2655.0,,20.1,49.2
Мауна Кеа,Гавайи,4214.0,вулкан,-155.45,19.6
Аконкагуа,Анды,6962.0,,-70.0,-32.65
Большой Баллон,Влагалище,1424.0,,7.1,47.9
Бабушка Сассо,Апеннин,2912.0,,13.55,42.5
Невадо дель Руис,Анды,5389.0,вулкан,-75.3,4.9
Пайки,Скалистые горы,4302.0,,-105.0,38.8
Альпамайо,Кордильера Бланка,5947.0,,-77.7,-8.9
Концепция,,1700.0,вулкан,-85.6,11.5
Короли пик,Скалистые горы,4123.0,,-110.4,40.5
Монблан,Альпы,4808.0,,6.8,45.8
Mt Hood,Диапазон каскадов,3424.0,вулкан,-121.5,45.2
Королева Марис Пик,,2060.0,вулкан,-12.3,-37.1
Олимп,,2917.0,,22.35,40.1
Везув,,1281.0,вулкан,14.4,40.8
Рас Дашан Терара,Амхара,4533.0,вулканическое,38.4,13.2
Каямбе,Анды,5796.0,вулкан,-78.0,0.1
Снуэхетта,,2286.0,,9.0,62.1
Мт Митчелл,Аппапалачен,2037.0,,-82.1,35.4
Вильгельм,,4509.0,,145.0,-5.8
Килиманджаро,Восточноафриканский хребет,5895.0,вулкан,37.35,-3.05
Иразу,Кордильера де Таламанка,3432.0,вулкан,-83.9,10.0
Кэткин Пик,Дракенсберг,3181.0,,29.35,-29.1
Puy de Sancy,Севенны,1885.0,вулканическое,2.8,45.5
Ллульяльяко,Анды,6739.0,вулкан,-68.5,-24.7
