river,country,province
Длинная кость,AL,Австралия
Гётаэльв,И,Альвсборг
Сирдарья,TAD,Худжан
Гуадиана,E,Кастиль Ла Манча
Западная Морава,ОПП,Сербия
Ольт,RO,Харгита
Лувуа,ЗРЕ,Шаба/Катанга
Атбара,ЭТО,Эфиопия
Вольта,BF,Буркина-Фасо
Фульда,D,Гессен
Теннесси,США,Северная Каролина
Ривер Огайо,США,Пенсильвания
Маникуаган,КН,Квебек
Вуокси,SF,Кими
Рейн,CH,ГР
Реус,CH,УР
Иравадди,ТДж,Тибет
Тибер,I,Умбриа
Бусира,ЗРЕ,Уравнение
Мёр,A,Зальцбург
Ква,ЗРЕ,Бандунду
Западная Двина,Р,Смоленская область
Индус,ТДж,Тибет
Днепр,Р,Смоленская область
Молдау,CZ,Джихокески
Бенуэ,КАМ,Северный
Тичино,CH,TI
Габариты,ТДж,Тибет
Брег,D,Баден Вуртемберг
Амазонки,ПЭ,Куско
Заир,ЗРЕ,Верхний Заир
Река Ниагара,США,Нью-Йорк
Интенсивность,CH,ГР
Виктория Нил,ЕАС,Уганда
Марн,F,Шампанское Арден
Оулуйоки,SF,Оулу
Чир,МВт,Малави
Ньюа,Р,Ленинградская область
Клараэльв,Н,Хедмарк
Таджо,E,Кастиль Ла Манча
Хванхо,ТДж,Цинхай
Рузизи,РВА,Руанда
Луар,F,Рон-Алпес
Вааль,RSA,Мпумаланга
Некар,D,Баден Вуртемберг
Нельсон Ривер,КН,Манитоба
Парана,КР,Минас-Жерайс
Одер,CZ,Североморавский
Эннс,A,Нижняя Австрия
Alz,D,Байерн
Etsch,I,Трентино Альто Адиге
Река Коннектикут,США,Нью-Гэмпшир
Донау,D,Баден Вуртемберг
Куанго,АНГ,Маланье
Тейсс,UA,Черновецкая
Река Муррумбиджи,AUS,Новый Южный Уэльс
Сохранить,SLO,Словения
Ривьер Ришелье,КН,Квебек
Замбези,Z,Луапула
Мурат,ТR,Агри
Сальзах,A,Зальцбург
Иртыш,KAZ,Шиггиз Казакстан
Карасу,ТR,Эрзурум
Бому,ЗРЕ,Верхний Заир
Иллер,A,Ворарльберг
Главное,D,Байерн
Роун,CH,VS
Река Ниагара,КН,Онтарио
Руки,ЗРЕ,Уравнение
Река Аллегени,США,Пенсильвания
Рузизи,ЗРЕ,Киву
Асахан,РИ,Индонезия
Аргун,ТДж,Хейлонгцзян
Бригач,D,Баден Вуртемберг
Южная Морава,MK,Чешская Республика
Унасджоки,SF,Лаппия
Арувими,ЗРЕ,Верхний Заир
Сомнения,F,Фрэнше Комте
Река Юкон,КН,Территория Юкон
Пьэндш,TAD,Бадахшони Куни
Тобол,Р,Оренбургская область
Парагвай,КР,Мато Гроссо
Акагера,РВА,Руанда
Луапула,Z,Луапула
Аммер,D,Байерн
Река Детройт,КН,Онтарио
Петшора,Р,Репозиция Коми
Река Грузовик,США,Калифорния
Карун,IR,Эсфахан
Чатанга,Р,Красноярский крей
Рио-Негро,CO,Гуайния
Рааб,A,Штирия
Рио Десагуадеро,БОЛ,Боливия
Нигер,RG,Гвинея
Дорогая Ривер,AUS,Квинсленд
Верра,D,Тюринген
Маас,F,Шампанское Арден
Нарын,KGZ,Кыргызстан
Мюррей Ривер,AUS,Виктория
Лимат,CH,ZH
Рио Мадейра,БОЛ,Боливия
Арканзас,США,Колорадо
Люкни,ЗРЕ,Восточная Касаи
Драу,I,Трентино Альто Адиге
Кокемаенейоки,SF,Турку-Пори
Северная Двина,Р,Вологодская область
Лулуа,ЗРЕ,Шаба/Катанга
Днестр,UA,Львовская
&lt; &lt; Рио Гранде &gt; &gt;,США,Колорадо
Гудзон Ривер,США,Нью-Йорк
Уэсер,D,Нидераксен
Янгце,ТДж,Цинхай
Ангара,Р,Республика Бурьятия
Брахмапутра,ТДж,Тибет
Мозель,F,Лоррейн
Лукуга,ЗРЕ,Шаба/Катанга
Рио Магдалена,CO,Уила
Гамбия,RG,Гвинея
Санга,РСС,Центральноафриканская Республика
Бани,CI,Кот-д &apos; Ивуар
Остердалаэльв,И,Даларна
Эльба,CZ,Виходосекский
Амударья,TAD,Хатлон
Эннс,A,Верхняя Австрия
Сена,F,Бургонский
Морава,ОПП,Сербия
Шари,РСС,Центральноафриканская Республика
Доуро,E,Кастиль и Леон
Аллер,D,Нидераксен
Джокулса Фьоэллум,ИУ,Италия
Оранье,ЛС,Лесото
Лена,Р,Иркутская область
Рио-Мамор,БОЛ,Боливия
Колорадо,США,Колорадо
Река Маккензи,КН,Северо-западные территории
Гломма,Н,Тронделаг
Семлики,ЗРЕ,Киву
Волга,Р,Тверская область
Минсио,I,Венето
Лех,A,Ворарльберг
Лимпопо,RSA,Гаутенг
Саскачеванская река,КН,Альберта
Po,I,Пьемонт
Шилка,Р,Читинская область
Куило,АНГ,Лунда Сул
Уэлл,ЗРЕ,Верхний Заир
Черный кусок,MK,Чешская Республика
Колима,Р,Магаданская область
Амударья,AFG,Афганистан
Меконг,ТДж,Тибет
Евфрат,ТR,Малатья
Гаронн,E,Каталония
Токантины,КР,Гоиас
Иордания,RL,Ливан
Сон,F,Лоррейн
Вейксель,PL,Бельский
Урал,Р,Республика Башкортостан
Салуэн,ТДж,Тибет
Дон,Р,Тульская область
Куанго,АНГ,Лунда Сул
Aare,CH,БУДЬ
Фими,ЗРЕ,Бандунду
Рио Сан-Хуан,НИК,Никарагуа
