country,continent,percentage
A,Европа,100.0
AL,Европа,100.0
И ДОЛЖНОСТНЫЕ ЛИЦА,Европа,100.0
B,Европа,100.0
БГ,Европа,100.0
БиГ,Европа,100.0
Клянусь!,Европа,100.0
CH,Европа,100.0
CY,Европа,100.0
CZ,Европа,100.0
D,Европа,100.0
ДК,Европа,100.0
E,Европа,100.0
ЭВ,Европа,100.0
F,Европа,100.0
FARX,Европа,100.0
ФЛ,Европа,100.0
ГБ,Европа,100.0
ГБГ,Европа,100.0
GBJ,Европа,100.0
GBM,Европа,100.0
ГБЦ,Европа,100.0
ГР,Европа,100.0
Н,Европа,100.0
HR,Европа,100.0
I,Европа,100.0
IRL,Европа,100.0
ИУ,Европа,100.0
KOS,Европа,100.0
L,Европа,100.0
ЛТ,Европа,100.0
ЛВ,Европа,100.0
М,Европа,100.0
МК,Европа,100.0
MD,Европа,100.0
MK,Европа,100.0
МНП,Европа,100.0
Н,Европа,100.0
Нл,Европа,100.0
Р,Европа,100.0
PL,Европа,100.0
Р,Европа,20.0
RO,Европа,100.0
РШМ,Европа,100.0
И,Европа,100.0
SF,Европа,100.0
SK,Европа,100.0
SLO,Европа,100.0
ОПП,Европа,100.0
SVAX,Европа,100.0
ТR,Европа,5.0
UA,Европа,100.0
V,Европа,100.0
ЧП,Африка,100.0
ТА,Азия,100.0
МЬЯ,Азия,100.0
RL,Азия,100.0
НКА,Австралия/Океания,100.0
К,Азия,100.0
ES,Америки,100.0
ЕАТ,Африка,100.0
МВт,Африка,100.0
MS,Африка,100.0
ГНБ,Африка,100.0
СИР,Азия,100.0
КБК,Африка,100.0
БВИР,Америки,100.0
ТR,Азия,95.0
РММ,Африка,100.0
AXA,Америки,100.0
ИРК,Азия,100.0
МНТ,Америки,100.0
ВАЛ,Африка,100.0
RG,Африка,100.0
РИ,Азия,80.0
МЕКС,Америки,100.0
РСС,Африка,100.0
VN,Азия,100.0
ПА,Америки,100.0
ДН,Африка,100.0
ФГУ,Америки,100.0
YV,Америки,100.0
ЭТО,Африка,100.0
КР,Азия,100.0
HELX,Австралия/Океания,100.0
СУД,Африка,100.0
,Америки,100.0
KN,Америки,100.0
ВАФА,Австралия/Океания,100.0
ПНГ,Австралия/Океания,100.0
KAZ,Азия,100.0
BS,Америки,100.0
КР,Америки,100.0
МЭТ,Африка,100.0
ТУКА,Америки,100.0
КН,Америки,100.0
ДЖА,Америки,100.0
АМСА,Австралия/Океания,100.0
ГРАД,Америки,100.0
ТТ,Америки,100.0
WS,Австралия/Океания,100.0
Мэйо,Африка,100.0
COCO,Австралия/Океания,100.0
СМАРТ,Америки,100.0
RCH,Америки,100.0
РЧ,Америки,100.0
ПР,Америки,100.0
ТВЧ,Австралия/Океания,100.0
РТ,Африка,100.0
СП,Африка,100.0
AUS,Австралия/Океания,100.0
Норк,Азия,100.0
С.А.,Азия,100.0
TN,Африка,100.0
ФСО,Австралия/Океания,100.0
СПМИ,Америки,100.0
SLB,Австралия/Океания,100.0
УР,Африка,100.0
РВА,Африка,100.0
БД,Азия,100.0
ARU,Америки,100.0
SN,Африка,100.0
GH,Африка,100.0
БРУ,Азия,100.0
НОРФ,Австралия/Океания,100.0
МАРТ,Америки,100.0
ФШМ,Австралия/Океания,100.0
МВ,Азия,100.0
LAO,Азия,100.0
ОМТС,Австралия/Океания,100.0
AFG,Азия,100.0
ARM,Азия,100.0
AZ,Азия,100.0
БВ,Азия,100.0
БРИН,Азия,100.0
Кл,Азия,100.0
ЕТ,Азия,10.0
Газа,Азия,100.0
ГЭ,Азия,100.0
ХОНКС,Азия,100.0
Ил,Азия,100.0
СИН,Азия,100.0
IR,Азия,100.0
J,Азия,100.0
JOR,Азия,100.0
KGZ,Азия,100.0
KWT,Азия,100.0
МАКХ,Азия,100.0
ТЗА,Азия,100.0
МПГ,Азия,100.0
NEP,Азия,100.0
РОУ,Азия,100.0
ПК,Азия,100.0
Q,Азия,100.0
Р,Азия,80.0
ОК,Азия,100.0
РП,Азия,100.0
SGP,Азия,100.0
TAD,Азия,100.0
ТДж,Азия,100.0
ТЛ,Азия,100.0
ТМ,Азия,100.0
ОАЭ,Азия,100.0
Юзеф,Азия,100.0
ЗАХОД,Азия,100.0
ДА,Азия,100.0
США,Америки,100.0
HCA,Америки,100.0
МПК,Африка,100.0
НИК,Америки,100.0
ВАН,Африка,100.0
ГРОКС,Америки,100.0
КАМ,Африка,100.0
РМ,Африка,100.0
НМИС,Австралия/Океания,100.0
ЧР,Америки,100.0
Парень,Америки,100.0
К,Австралия/Океания,100.0
РИМ,Африка,100.0
