name,islands,area,height,type,longitude,latitude
Грязь,Внутренние гебриды,910.0,,,6.0,56.3
Тортола,Малые Антильские острова,55.0,521.0,вулканическое,-64.37,18.27
Бугенвиль,Соломоновы Острова,8800.0,2715.0,,155.25,-6.2
Мохилья,Коморы,290.0,,,43.75,-12.25
Джерси,Нормандские острова,117.0,,,-2.1,49.2
Гренада,Малые Антильские острова,344.0,840.0,вулканическое,-62.0,12.0
Мартиника,Малые Антильские острова,1128.0,1397.0,вулканическое,-61.0,14.6
Остров Норфолк,,34.0,318.0,вулканическое,168.0,-29.0
Батам,Острова Сунда,415.0,,,104.05,1.1
Сицилия,,25462.0,3323.0,,14.0,37.0
Тасмания,,67800.0,1617.0,,145.0,-42.0
Сантьяго,Кабо-Верде,991.0,1394.0,вулканическое,-23.6,15.1
Юра,Внутренние гебриды,367.0,785.0,,-6.0,56.0
Кракатау,Острова Сунда,,813.0,вулканическое,105.6,-6.1
Грасиоза,Азоры,61.0,402.0,вулканическое,-28.0,39.0
Площадь,,7439.0,,,12.0,55.3
Остров Баффин,Канадские Арктические острова,507451.0,2147.0,,72.0,69.0
Norderney,&quot; Ostfrisische Inseln &quot;,26.3,5.0,,7.9,53.7
Изабель,Галапагосские острова,5436.0,1707.0,вулканическое,-91.3,-1.0
Нантакет,,125.0,,,-70.1,41.5
Бишоп Рок,Шилли-Айлендс,,,,-6.3,50.0
Вознесения,,91.0,,вулканическое,-14.4,-7.9
Провиденсьялес,Острова Тёркс и Кайкос,,,,-72.3,22.0
Шри-Ланка,,65610.0,,,80.0,7.0
Мадейра,Мадейра,794.0,1861.0,вулканическое,-16.0,31.0
Лэнди,,4.24,,,-4.5,51.0
Чеджу,,1845.0,1950.0,вулканическое,126.5,33.4
Флорес,Азоры,143.0,914.0,вулканическое,-31.2,39.5
Великобритании,Британские острова,229850.0,1344.0,,-1.5,53.0
Палаван,Филиппины,11785.0,2085.0,,118.4,9.5
Пулау Панжанг,Острова Кокос,6.23,9.0,Атолл,96.9,-12.2
Южное Уист,Внешние гебриды,320.0,,,-7.2,57.2
Остров Уайт,Британские острова,381.0,,,-1.3,50.6
Те Вака-а-Мауи (Южный остров),Новая Зеландия,151757.0,3754.0,,170.4,-44.0
Оаху,Гавайские острова,1557.0,1225.0,,-158.0,21.5
Корфу,Ионные острова,593.0,906.0,,19.8,39.6
Хоккайдо,Япония,83456.0,2290.0,вулканическое,143.0,43.3
Остров Санта-Каталина,Калифорнийские Нормандские острова,194.0,648.0,,-118.2,33.2
Воссоединение,,2510.0,3069.0,вулканическое,55.5,-20.9
Форментера,Балайры,83.0,192.0,,1.5,38.0
Большие Бермудские острова,Бермудские острова,53.3,79.0,кораллы,-64.47,32.17
Чиос,Споры,843.0,1297.0,,26.2,38.4
Невис,Малые Антильские острова,93.0,985.0,вулканическое,-62.3,17.0
Сент-Люсия,Малые Антильские острова,616.0,950.0,вулканическое,-60.5,14.0
Шьермониког,&lt; &lt; Вестфриз &gt; &gt;,40.0,,,6.2,53.5
Ява,Острова Сунда,126650.0,3676.0,,111.25,-7.5
Лангеланд,,284.0,,,10.5,55.0
Сент-Китс,Малые Антильские острова,164.0,1156.0,вулканическое,-62.75,17.3
Сокотра,,3579.0,1525.0,,53.9,12.5
Паней,Филиппины,12297.0,2117.0,,122.5,11.15
Оланд,,1344.0,,,17.0,57.0
Гомера,Канареи,369.0,1487.0,вулканическое,-17.3,28.1
Мадагаскар,,587041.0,2876.0,,46.0,-20.0
Линоза,,5.0,195.0,вулканическое,13.85,35.85
Увеа,Острова Уоллис,90.0,,,-176.2,-13.16
Микелон-Ланглайд,,205.0,240.0,,-56.3,47.1
Остров Саутгемптон,Канадские Арктические острова,41214.0,625.0,,-84.5,64.5
Айла да Ометепе,,270.0,1700.0,,-85.6,11.5
Тобаго,Малые Антильские острова,301.0,576.0,,-60.7,11.25
Виноградник Марты,,232.0,,,-70.6,41.4
Восточный Фолкленд,Фолклендские острова,6605.0,705.0,,-58.8,-51.8
Ломбок,Острова Сунда,4725.0,3726.0,вулканическое,116.5,-8.4
Манитулен,,2766.0,,,-82.2,45.75
Панорама,Острова Липари,3.4,421.0,вулканическое,15.05,38.65
Фого,Кабо-Верде,476.0,2829.0,вулканическое,-24.4,17.95
Барбадос,Малые Антильские острова,430.0,336.0,Лайм,-59.3,13.0
Остров Св. Елены,,122.0,,вулканическое,-5.44,-15.56
Остров принца Эдуарда,,5660.0,142.0,,-63.4,46.3
Самосир,,852.0,,вулканическое,98.85,2.6
Харк,,20.5,,,50.2,29.1
Фейлиал,Азоры,172.0,1043.0,вулканическое,-28.7,38.6
Кауай,Гавайские острова,1433.0,1598.0,,-159.5,22.0
Сансибар,,1658.0,135.0,,39.3,-6.1
Корор,Кэролайны,8.0,100.0,вулканическое,134.5,7.3
Новая Гвинея,,786000.0,4884.0,,142.0,-5.0
Аландская,Аландские острова,650.0,,,20.0,60.1
Тутуила,Острова Самоа,135.0,,вулканическое,-170.42,-14.16
Западный Фолкленд,Фолклендские острова,4532.0,700.0,,-60.1,-51.8
Пемба,,984.0,,,39.7,-5.2
Те Ика-а-Мауи (Северный остров),Новая Зеландия,114597.0,2797.0,,175.7,-38.4
Хой,Оркнейские острова,143.0,,,-3.2,59.1
Гозо,Мальта,67.0,176.0,,14.3,36.05
Гелголенд,,1.7,61.3,,7.9,54.2
Боркум,&quot; Ostfrisische Inseln &quot;,31.0,6.0,,6.7,53.6
Корс,,8680.0,2706.0,,8.4,41.4
Шикоку,Япония,18000.0,1965.0,вулканическое,134.0,34.0
Закинтос,Ионные острова,406.0,756.0,,20.75,37.8
Льюис и Харрис,Внешние гебриды,2170.0,,,-6.8,57.9
Остеринсел,,163.0,,вулканическое,-109.35,-27.1
Остров Кангару,,4405.0,307.0,,137.3,-35.8
Церам,Молукканские острова,17100.0,3027.0,,128.0,-2.0
Ниуэ,,260.0,67.0,кораллы,-169.55,-19.01
Остров Бэнкс,Канадские Арктические острова,70028.0,,,-122.1,72.85
Кефалиния,Ионные острова,689.0,1628.0,,20.6,38.2
Менорка,Балайры,760.0,358.0,,4.0,40.0
Вити Леву,Острова Фиджи,10429.0,,вулканическое,178.0,-17.8
Каваратти,Лаккадии,6.0,2.0,,72.6,10.6
Сан-Томе,,859.0,2024.0,вулканическое,6.6,0.2
Самос,Споры,478.0,1434.0,,26.8,37.7
Лансароте,Канареи,846.0,671.0,вулканическое,-13.6,29.0
Сулавеси,Острова Сунда,189216.0,3455.0,вулканическое,120.3,-2.1
Стреймой,Фарерские острова,373.0,789.0,,-7.0,62.0
Басс-Терре,Малые Антильские острова,848.0,1467.0,вулканическое,-61.8,16.15
Аруба,Малые Антильские острова,193.0,188.0,,-70.02,12.31
Норт-Уист,Внешние гебриды,303.0,,,-7.1,57.4
Саваи,Острова Самоа,1707.0,1858.0,вулканическое,-172.4,-13.6
Гран Канариа,Канареи,1560.0,1949.0,вулканическое,-15.6,28.0
Борнхольм,,588.0,162.0,,14.9,55.1
Себу,Филиппины,5088.0,1000.0,,123.8,10.4
Уполу,Острова Самоа,1125.0,1158.0,вулканическое,-171.75,-13.9
Ньюфаундленд,,108860.0,814.0,,-55.8,48.6
Родос,Споры,1401.0,1215.0,,28.0,36.2
Молокай,Гавайские острова,676.0,1512.0,,-157.0,21.1
Окинава,Япония,2255.0,,вулканическое,128.0,26.0
Бангка,Острова Сунда,11942.0,700.0,,106.0,2.25
Негры,Филиппины,13328.0,2435.0,,123.0,10.0
Ланай,Гавайские острова,364.0,1027.0,,-157.0,20.5
Липари,Острова Липари,37.5,602.0,вулканическое,14.95,38.5
Монтсеррат,Малые Антильские острова,102.0,1050.0,вулканическое,-62.13,16.42
Амеланд,&lt; &lt; Вестфриз &gt; &gt;,57.6,,,5.75,53.5
Бохол,Филиппины,4117.0,,,124.2,9.9
Остров Санта-Крус,Калифорнийские Нормандские острова,245.0,747.0,,-119.7,34.0
Сент-Мартин,Малые Антильские острова,87.0,411.0,,-63.1,18.1
Терсейра,Азоры,400.0,1022.0,вулканическое,-27.2,38.7
Ибица,Балайры,572.0,476.0,,1.5,38.5
Руген,,926.0,161.0,,13.4,54.5
Раротонг,Острова Кука,67.0,653.0,вулканическое,-159.46,-21.12
Иерро,Канареи,268.0,1500.0,вулканическое,-18.0,27.7
Сингапур,,632.6,176.0,,103.833,1.3
Сайпан,Марианские острова,115.0,474.0,вулканическое,145.75,15.2
Бали,Острова Сунда,5561.0,3142.0,вулканическое,115.1,-8.4
Фонгафейл,Острова Эллис,2.8,,Атолл,179.1,-8.5
Вануа Леву,Острова Фиджи,5500.0,,вулканическое,179.25,-16.35
Таити,Полинезийские острова,1045.0,2241.0,вулканическое,-149.34,-17.32
Порту Санто,Мадейра,42.0,517.0,вулканическое,-16.35,33.0
Вестрей,Оркнейские острова,47.0,,,-3.0,59.4
Лолланд,,1241.0,,,11.5,54.4
Испаньола,Большие Антильские острова,76192.0,3098.0,,-70.7,19.0
Фальстер,,514.0,,,12.0,54.8
Остров Мелвиль,,5800.0,,,131.0,-12.0
Арран,Внутренние гебриды,430.0,874.0,,-5.5,55.3
Крета,,8331.0,2456.0,,25.0,37.0
Гран-Терре,Малые Антильские острова,589.0,,вулканическое,-61.4,16.3
Питкэрн,Острова Питкэрн,4.5,347.0,вулканическое,-130.05,-25.04
Маврикий,,1860.0,828.0,вулканическое,57.0,-20.0
Тенерифа,Канареи,2034.0,3718.0,вулканическое,-16.6,28.3
Фуэртевентура,Канареи,1660.0,807.0,вулканическое,-14.0,28.4
Лесбос,Споры,1636.0,968.0,,26.3,39.2
Мах,Сейшельские Острова,154.0,905.0,,55.5,-4.65
Филикуди,Острова Липари,9.5,774.0,вулканическое,14.55,38.6
Сашалин,,76400.0,1609.0,вулканическое,143.0,50.0
Олкхон,,730.0,1276.0,,107.4,53.15
Индонезия,Малые Антильские острова,161.0,,,-61.4,17.3
Пико,Азоры,442.0,2351.0,вулканическое,-28.4,38.5
Скай,Внутренние гебриды,1385.0,993.0,,-6.3,57.3
Куба,Большие Антильские острова,105806.0,1974.0,,-79.0,22.0
Куракао,Малые Антильские острова,444.0,,,-69.0,12.2
Южный Андаман,Андаманские острова,1210.0,366.0,,92.5,11.4
Хайнан,,34380.0,1897.0,,109.6,19.1
Сумбава,Острова Сунда,15448.0,2850.0,,116.1,-8.8
Принсипи,,142.0,927.0,вулканическое,7.4,1.6
Ниихау,Гавайские острова,178.0,381.0,,-160.1,21.9
Авст-Вагои,Лофты,526.0,1146.0,,14.6,68.3
Полезность,,445.0,,,14.1,53.9
