sea,country,province
Арабское море,СИН,Гоа
Оманский залив,IR,Хормозган
Мексиканский залив,США,Флорида
Каттегат,И,Хэлланд
Индийский океан,AUS,Западная Австралия
Японское море,Р,Приморский крей
Тихоокеанский океан,КИР,Кирибати
Тихоокеанский океан,Р,Камчатская область
Тихоокеанский океан,ПЭ,Арекипа
Индийский океан,RSA,Восточный мыс
Атлантический океан,США,Грузия
Северное море,Нл,Фризленд
Атлантический океан,КР,Амапа
Атлантический океан,,Нидерландские Антильские острова
Норвежское море,ИУ,Италия
Атлантический океан,E,Канарские острова
Индийский океан,МПК,Мапуту
Тихоокеанский океан,СУА,Гватемала
Индийский океан,РИ,Индонезия
Атлантический океан,CI,Кот-д &apos; Ивуар
Карибское море,ARU,Аруба
Атлантический океан,Бен,Бенин
Южно-Китайское море,ТЗА,Саба
Желтое море,ТДж,Ляонирование
Японское море,J,Акита
Индийский океан,Мэйо,Майотта
Тихоокеанский океан,НОРФ,Остров Норфолк
Балтийское море,И,Остерготленд
Северное море,Нл,Гронинген
Восточно-Китайское море,J,Кумамото
Атлантический океан,RG,Гвинея
Северное море,ГБ,Шетланд
Тихоокеанский океан,МЕКС,Мичоакан
Мексиканский залив,США,Луизиана
Атлантический океан,США,Южная Каролина
Атлантический океан,SN,Зигиншор
Тихоокеанский океан,ПЭ,Наличными
Атлантический океан,ГБ,Корнуолл
Тихоокеанский океан,РП,Филиппины
Карибское море,YV,Сукре
Северное море,ДК,Дания
Бенгальский залив,МЬЯ,Айярвади
Балтийское море,PL,Слупский
Тихоокеанский океан,ПЭ,Ика
Бенгальский залив,СИН,Андхра Прадеш
Индийский океан,ДА,Йемен
Тихоокеанский океан,J,Кагосима
Атлантический океан,E,Галисия
Средиземное море,ТR,Айдин
Андаманское море,МЬЯ,Баго
Красное море,JOR,Иордания
Средиземное море,ТR,Измир
Атлантический океан,Р,Лиссабон
Карибское море,СУА,Гватемала
Тихоокеанский океан,AUS,Тасмания
Андаманское море,МЬЯ,Мон
Индийский океан,СИН,Тамилнад
Балтийское море,И,Содерманленд
Атлантический океан,F,Poitou Charentes
Атлантический океан,КН,Нью-Брансуик
Атлантический океан,ВАГ,Гамбия
Тихоокеанский океан,ES,Сальвадор
Балтийское море,И,Кристианстад
Тихоокеанский океан,HCA,Чолутека
Тихоокеанский океан,Р,Сахалинская область
Средиземное море,ГР,Стерея Эллас
Атлантический океан,АНГ,Луанда
Южно-Китайское море,ХОНКС,Гонконг
Мексиканский залив,C,Пинар-дель-Рио
Средиземное море,ЕТ,Исмаила
Карибское море,CO,Магдалена
Средиземное море,AL,Австралия
Карибское море,CO,Чоко
Тихоокеанский океан,WS,Самоа
Балтийское море,SF,Турку-Пори
Карибское море,C,Пинар-дель-Рио
Индийский океан,COCO,Острова Кокос
Средиземное море,Ил,Север
Средиземное море,ТR,Баликешир
Канал,GBJ,Джерси
Атлантический океан,АЗС,Западная Сахара
Карибское море,ПА,Колон
Атлантический океан,АНГ,Намибе
Северное море,ГБ,Тайн и Валяй.
Карибское море,YV,Федеральный департамент
Тихоокеанский океан,США,Гавайи
Тихоокеанский океан,ПЭ,Лима
Тихоокеанский океан,БУ,Вануату
Балтийское море,ДК,Дания
Балтийское море,PL,Эльбласки
Норвежское море,Н,Норд Тронделаг
Тихоокеанский океан,ОМТС,Острова Питкэрн
Черное море,UA,Крим
Арабское море,ПК,Пакистан
Атлантический океан,КН,Северо-западные территории
Малаккский пролив,ТЗА,Кеда
Мексиканский залив,США,Миссисипи
Красное море,С.А.,Саудовская Аравия
Карибское море,WV,Сент-Винсент и Гренадины
Северное море,ГБ,Саффолк
Карибское море,ЧР,Лимон
Индийский океан,РМ,Антананариву
Ирландское море,ГБ,Свонси
Красное море,ДСО,Джибути
Восточно-Китайское море,J,Окинава
Атлантический океан,SN,Воры
Красное море,ДА,Йемен
Атлантический океан,ПР,Пуэрто-Рико
Малаккский пролив,SGP,Сингапур
Сибирианское море,Р,Красноярский крей
Тихоокеанский океан,МЕКС,Нижняя Калифорния
Атлантический океан,КР,Сан-Паулу
Северный Ледовитый океан,США,Аляска
Каттегат,И,Готеборг ох Бохус
Карибское море,Кейм,Каймановы острова
Персидский залив,IR,Бушер
Море Сулавеси,РИ,Индонезия
Карибское море,YV,Сокол
Атлантический океан,КР,Пункт
Сибирианское море,Р,Магаданская область
Атлантический океан,ГБ,Внешние гебриды
Балтийское море,И,Норрботтен
Норвежское море,Н,Финнмарк
Северный Ледовитый океан,Р,Магаданская область
Балтийское море,Р,Калининградская область
Индийский океан,AUS,Новый Южный Уэльс
Атлантический океан,Р,Лейриа
Норвежское море,Н,Согн-о-о-фьордане
Северное море,Н,Хордаланд
Восточно-Китайское море,J,Кагосима
Атлантический океан,E,Страна Басков
Андаманское море,ТА,Таиланд
Северное море,ГБ,Гумберсайд
Персидский залив,IR,Хузестан
Красное море,ЧП,Эритрея
Персидский залив,ОАЭ,Аджман
Средиземное море,ГР,Дхитики Эллас
Атлантический океан,Р,Сетубаль
Балтийское море,SF,Лаппия
Балтийское море,PL,Шчинский
Балтийское море,Р,Санкт Питербург
Южно-Китайское море,БРУ,Бруней
Ирландское море,ГБ,Ланкашир
Балтийское море,SF,Уусимаа
Карибское море,CO,Сукре
Тихоокеанский океан,ЕС,Эквадор
Южно-Китайское море,ТДж,Гуандун
Карибское море,CO,Атлантико
Индийский океан,МПК,Софала
Малаккский пролив,ТЗА,Джохор
Индийский океан,ПК,Пакистан
Ирландское море,ГБ,Великобритании и Северной Ирландии
Тихоокеанский океан,NAU,Науру
Сибирианское море,Р,Тюменская область
Средиземное море,ЕТ,Матрух
Тихоокеанский океан,МЕКС,Колима
Карибское море,ПР,Пуэрто-Рико
Индийский океан,РМ,Фианарантсоа
Северное море,ГБ,Эссекс
Оманский залив,ОАЭ,Аль-Фуджайра
Атлантический океан,РЭ,Рио-Негро
Атлантический океан,КН,Остров принца Эдуарда
Атлантический океан,МНТ,Монтсеррат
Балтийское море,ЛТ,Литва
Средиземное море,I,Кампания
Индийский океан,ЕАТ,Мтвара
Северное море,B,Западный Фландрии
Средиземное море,I,Сицилия
Черное море,RO,Тульцеа
Индийский океан,ЕАТ,Пвани
Тихоокеанский океан,АМСА,Американское Самоа
Средиземное море,ГР,Кедрики Македония
Средиземное море,ЛАР,Ливия
Карибское море,МЕКС,Кинтана Роо
Атлантический океан,C,Сьего де Авила
Средиземное море,I,Лигурия
Канал,ГБ,Гэмпшир
Тихоокеанский океан,ЧР,Гуанакаст
Средиземное море,ЕТ,Шаркия
Тихоокеанский океан,КН,Территория Юкон
Атлантический океан,SVAX,Свальбард
Атлантический океан,C,Гуантанамо
Карибское море,БВИР,Британские Виргинские острова
Средиземное море,ЕТ,Кафр-эш-Шейх
Карибское море,YV,Нуэва Эспарта
Атлантический океан,КР,Санта-Катарина
Бенгальский залив,БД,Бангладеш
Атлантический океан,РТ,Того
Северное море,Н,Согн-о-о-фьордане
Атлантический океан,Р,Алгарв
Северное море,ГБ,Оркни
Атлантический океан,Р,Азоры
Средиземное море,F,Корс
Средиземное море,HR,Хорватия
Черное море,RO,Константаa
Атлантический океан,IRL,Италия
Южно-Китайское море,ТДж,Гуанси Чжуангзу
Атлантический океан,КР,Духовный дух Санто
Карибское море,ГРАД,Гваделупа
Тихоокеанский океан,J,Окинава
Канал,ГБ,Девон
Атлантический океан,HELX,Остров Св. Елены
