country,independence,dependent,government
ЕАС,1962-10-09,,Республика
СИН,1947-08-15,,Федеративная республика
НОРФ,,AUS,территории Австралии
БЕРМ,,ГБ,Британские заморские территории
КН,1867-07-01,,Конфедерация с парламентской демократией
Ру,1828-08-25,,Республика
МАКХ,,ТДж,и специальной административной области в Китае
HELX,,ГБ,Британские заморские территории
ЗРЕ,1960-06-30,,Республика с сильной президентской системой
CO,1810-07-20,,Республика
АНГ,1975-11-11,,Номинально переходное правительство - многопартийная демократия с сильной президентской системой
ДН,1990-03-21,,Республика
AL,1912-11-28,,Формирующаяся демократия
ОК,,,Республика
ЛТ,1991-09-06,,Республика
ЧП,1993-05-27,,переходное правительство
БУ,1980-07-30,,Республика
США,1776-07-04,,Федеративная республика
ФГУ,,F,Министерство иностранных дел Франции
Клянусь!,1991-08-25,,Республика
ОАЭ,1971-12-02,,"Федерация, наделенная конкретными полномочиями, делегированными центральному правительству ОАЭ, и другие полномочия, зарезервированные за эмиратами-членами"
ПНГ,1975-09-16,,парламентская демократия
Н,1001-01-01,,Республика
JOR,1946-05-25,,конституционная монархия
Юзеф,1991-08-31,,Республика
ИРК,1932-10-03,,Республика
СПМИ,,F,территориальная коллективность Франции
КАМ,1960-01-01,,унитарная республика
СП,1960-07-01,,нет
Газа,,,
НЬЮ,1974-10-19,,свободного объединения с Новой Зеландией
БОЛ,1825-08-06,,Республика
ПР,,США,"содружество, связанное с США"
ТДж,,,Коммунистическое государство
SF,1917-12-06,,Республика
ФАЛК,,ГБ,Британские заморские территории
KWT,1961-06-19,,Номинальная конституционная монархия
МАРТ,,F,Министерство иностранных дел Франции
D,1871-01-18,,Федеративная республика
ЛБ,,,Республика
SN,1960-08-20,,Республика в условиях многопартийного демократического правления
ВИРГ,,,организован
ГБ,1801-01-01,,конституционная монархия
НМИС,,США,содружество в политическом союзе с США
CZ,1993-01-01,,парламентская демократия
КР,,,Многосторонний демократический режим
ОПП,2006-06-05,,парламентская демократия
Р,1991-08-24,,Федерация
ARM,1918-05-28,,Республика
WL,1979-02-22,,парламентская демократия
IR,1979-04-01,,Метрополитическая республика
ЕТ,1922-02-28,,Республика
FARX,,ДК,части датской территории
ТR,1923-10-29,,Республиканская парламентская демократия
COCO,,AUS,территории Австралии
ОМТС,,ГБ,Британские заморские территории
АМСА,,США,неинкорпорированная и неорганизованная территория США
C,1902-05-20,,Коммунистическое государство
SY,1976-06-29,,Республика
К,1949-11-09,,"многопартийная либеральная демократия под конституционной монархией, созданной в сентябре 1993 года"
МПК,1975-06-25,,Республика
БиГ,1992-04-01,,Формирующаяся демократия
YV,1811-07-05,,Республика
ПК,1947-08-14,,Республика
KAZ,1991-12-16,,Республика
ЭТО,,,Федеративная республика
,,Нл,часть нидерландского королевства
ARU,,Нл,часть нидерландского королевства
SK,1993-01-01,,парламентская демократия
ЕС,1822-05-24,,Республика
ES,1821-09-15,,Республика
WS,1962-01-01,,конституционная монархия вождя коренного населения
ТМ,1991-10-27,,Республика
RO,1881-01-01,,Республика
ВАЛ,1961-04-27,,конституционная демократия
KOS,2008-02-17,,Республика
GH,1957-03-06,,конституционная демократия
РЭ,1816-07-09,,Республика
TCH,1960-08-11,,Республика
ФСО,1970-10-10,,Республика
ФПОЛ,,F,Зарубежная территория Франции с 1946 года
HCA,1821-09-15,,Республика
KN,1983-09-19,,конституционная монархия
ДЖА,1962-08-06,,парламентская демократия
МГ,1986-10-21,,конституционное правительство в свободной ассоциации с США
И ДОЛЖНОСТНЫЕ ЛИЦА,,,"Парламентская демократия, которая сохраняет в качестве глав государств принцип взаимности"
RG,1958-10-02,,Республика
БД,1971-12-16,,Республика
ГУАМ,,США,организован
МЭТ,1956-03-02,,конституционная монархия
МПГ,1921-03-13,,Республика
ЭАК,1963-12-12,,Республика
МК,1419-01-01,,конституционная монархия
ДК,,,конституционная монархия
ТЛ,2002-05-20,,парламентская демократия
СУД,1956-01-01,,Прежняя правящая военная хунта
БВ,1949-08-08,,монархия
ПДТ,1975-07-12,,Республика
Ил,1948-05-14,,Республика
E,1492-01-01,,Парламентская монархия
