driverstandingsid,raceid,driverid,points,position,positiontext,wins
18345,360,162,0.0,32,32,0
57823,546,237,0.0,24,24,0
45371,816,431,0.0,88,88,0
21864,461,140,0.0,31,31,0
11803,126,11,0.0,16,16,0
18314,360,117,29.0,1,1,1
49229,770,560,0.0,32,32,0
16348,333,101,0.0,33,33,0
58401,558,265,0.0,53,53,0
17385,314,78,0.0,24,24,0
63766,338,30,9.0,8,8,0
56411,588,290,0.0,29,29,0
10899,217,58,0.0,25,25,0
12293,118,30,69.0,1,1,4
67038,918,827,0.0,24,24,0
16235,331,123,27.0,4,4,1
52722,686,385,0.0,26,26,0
17872,7,22,35.0,2,2,0
21116,439,117,24.0,1,1,2
43858,829,521,0.0,59,59,0
48431,731,289,16.0,1,1,1
7238,304,108,0.0,26,26,0
65540,881,13,22.0,5,5,0
18155,16,154,0.0,23,23,0
58285,556,264,0.0,51,51,0
51169,702,404,0.0,21,21,0
188,27,15,20.0,7,7,0
46941,791,597,0.0,50,50,0
51682,803,501,0.0,21,21,0
50162,753,432,0.0,67,67,0
17291,311,87,0.0,25,25,0
19030,373,122,0.0,26,26,0
9562,282,123,0.0,24,24,0
53451,641,327,17.0,4,4,0
10520,252,89,0.0,22,22,0
46077,792,579,9.0,1,1,1
19913,403,137,73.0,1,1,3
66720,904,13,12.0,12,12,0
10572,254,79,0.0,19,19,0
53997,622,207,3.0,7,7,0
49770,748,519,0.0,29,29,0
57577,539,197,0.0,23,23,0
47375,783,501,10.0,7,7,0
48590,735,373,21.0,3,3,2
55380,593,238,1.0,13,13,0
49454,773,529,4.0,16,16,0
63922,343,37,0.0,18,18,0
46085,792,645,0.0,15,15,0
55306,590,250,0.0,20,20,0
11533,148,23,22.0,4,4,2
20315,416,123,0.0,19,19,0
22353,475,206,5.0,15,15,0
3435,174,65,0.0,17,17,0
55300,590,289,0.0,14,14,0
51801,804,676,0.0,58,58,0
51022,718,433,2.0,18,18,0
10440,250,88,1.0,15,15,0
47395,783,547,0.0,35,35,0
67114,929,813,0.0,20,20,0
64191,352,24,13.0,15,15,0
52795,688,364,13.0,8,8,1
58505,513,224,1.0,8,8,0
48397,729,456,0.0,17,17,0
7208,303,129,0.0,24,24,0
21894,462,177,25.0,5,5,1
51674,802,513,0.0,67,67,0
45161,814,708,0.0,88,88,0
58583,516,224,1.0,11,11,0
12834,54,14,0.0,15,15,0
49107,768,563,0.0,54,54,0
67471,943,18,16.0,16,16,0
56082,580,200,10.5,5,5,1
52638,684,383,2.0,16,16,0
56938,571,243,1.0,20,20,0
48408,730,430,1.0,10,10,0
66645,901,16,0.0,15,15,0
43618,839,666,0.0,67,67,0
21796,459,123,0.0,16,16,0
22163,469,205,0.0,24,24,0
67225,934,20,135.0,3,3,1
23267,496,215,0.0,34,34,0
11813,127,62,0.0,14,14,0
58766,522,203,32.0,2,2,2
10250,243,65,9.0,5,5,0
19691,395,157,0.0,20,20,0
9733,288,79,0.0,28,28,0
65070,865,37,0.0,24,24,0
49879,750,504,0.0,71,71,0
17918,8,7,2.0,16,16,0
3381,172,50,5.0,12,12,0
46303,796,512,3.0,14,14,0
55145,616,222,0.0,28,28,0
5146,229,30,16.0,3,3,0
68375,979,815,56.0,7,7,0
57918,549,223,1.0,15,15,0
50984,717,434,0.0,29,29,0
55915,604,308,0.0,42,42,0
64962,862,818,4.0,13,13,0
12437,91,22,13.0,2,2,0
11756,157,58,0.0,22,22,0
55499,596,235,4.0,14,14,0
11084,177,57,10.0,3,3,1
22378,476,117,19.0,5,5,2
22555,480,158,10.0,12,12,0
10587,254,83,0.0,24,24,0
64250,353,807,18.0,15,15,0
44236,819,726,0.0,24,24,0
54467,647,327,0.0,26,26,0
46818,789,806,0.0,28,28,0
22865,487,137,22.0,2,2,2
47359,782,618,0.0,51,51,0
