playerid,yearid,stint,glf,gcf,grf
queenbi01,1954,1,0,0,1
donovbi01,1898,1,6,6,8
wittwh01,1917,1,7,0,0
obrieda02,1890,1,1,0,0
curtrgu01,1943,1,128,0,0
sheckji01,1905,1,129,0,0
colewi01,1910,1,0,22,0
clarkjo01,1885,1,0,0,3
startjo01,1874,1,1,1,0
eppsha01,1938,1,0,10,0
crabtes01,1933,1,0,4,3
uhlerma01,1914,1,22,11,3
wolteha01,1917,1,3,2,94
powelja03,1943,1,25,8,0
resslla01,1875,1,0,3,17
seeryem01,1890,1,104,0,0
conwape01,1886,2,1,0,0
moorege03,1943,1,24,1,32
dimagvi01,1940,1,0,0,1
luffhe01,1884,1,11,0,1
rudoldu01,1904,1,0,0,2
martihe01,1939,1,9,73,13
walshji01,1910,1,7,14,6
burral01,1914,1,0,1,0
hallru01,1898,1,0,0,1
reisepe01,1940,1,5,1,9
allisdo01,1873,1,0,1,2
edwarbr01,1949,1,4,0,0
roachro01,1910,1,9,0,0
wheatma01,1917,1,9,1,0
hoppjo01,1947,1,0,123,2
hafeych01,1935,1,0,15,0
cotteto01,1891,1,0,0,1
pendlji01,1953,1,75,15,25
dimagdo01,1948,1,0,155,0
holbebi01,1879,1,0,3,1
fulmewa01,1875,1,0,1,0
ganzech01,1885,1,0,1,0
paynefr01,1908,1,0,0,1
crowlbi01,1884,1,0,2,107
