franchid,franchname,active,naassoc
DTN,&lt; &lt; Детройт &gt; &gt;,Н,
KCN,Канзас Сити Ковбои,Н,
BUF,Баффало Бизонс,Н,
BFL,Баффало Бизонс,Н,
CPI,Чикаго/Питтсбург (Союзная лига),Н,
WST,Вашингтон,Н,
BLO,Балтимор Ориолс,Н,
CNA,Белые чулки Чикаго,,CHC
NYY,Нью-Йорк Янкиз,Y,
KCC,Канзас Сити Ковбои,Н,
BWW,Чудеса Бруклина Уорда,Н,
SEA,Морские пехотинцы Сиэтла,Y,
COR,Красные цициннати,Н,
CNR,Красные Цинциннати,Н,
WES,Кеокук Вестерн,,
CHC,Чикаго Кабс,Y,КНА
TBD,Tampa Bay Rays,Y,
BRD,Бостонские красные,Н,
ARI,Аризона Даймондбэкс,Y,
PHQ,Филадельфия Атлетика,Н,
OLY,Олимпийские игры в Вашингтоне,,
CFC,Кливлендские лесные города,,
WIL,Уилмингтон Быстрые шаги,Н,
BLU,Памятные памятники Балтимора,Н,
PHI,Филадельфия Филадельфия,Y,
WNT,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,,
ATH,Филадельфия Атлетика,Н,PNA
TRT,Тройские троянцы,Н,
ROC,Рочестер Бронкос,Н,
BNA,Бостонские красные чулки,,АТЛ
KCR,Канзас-Сити Роялс,Y,
TOR,Торонтские синие джеи,Y,
LOU,Полковники Луисвиля,Н,
CEN,Столетия Филадельфии,,
SLR,Красные чулки Сент-Луиса,,
BTT,Бруклинские таблетки,Н,
RIC,Ричмондские вирджинцы,Н,
CBK,Колумб Бакейс,Н,
CLV,Кливленд Паук,Н,
SLM,Сент-Луис Марунс,Н,
CIN,Красные Цинциннати,Y,
MIN,Близнецы из Миннесоты,Y,
HNA,Хартфорд Тёмный Блюз,,HAR
IND,Индианаполис Хусье,Н,
MLG,Милуоки Грейс,Н,
STL,Кардиналы Сент-Луиса,Y,
SBS,Сент-Луис Браун Шеллингс,Н,СНС
RES,Элизабет Резолютес,,
CBL,Блюз Кливленда,Н,
