yearid,lgid,teamid,franchid,divid,rank,g,ghome,w,l,divwin,wcwin,lgwin,wswin,r,ab,h,2b,3b,hr,bb,so,sb,cs,hbp,sf,ra,er,era,cg,sho,sv,ipouts,ha,hra,bba,soa,e,dp,fp,name,park,attendance,bpf,ppf,teamidbr,teamidlahman45,teamidretro
1930,AL,SLA,BAL,,6,154,78.0,64,90,,,Н,Н,751,5278,1415,289,67,75,497,550,93,71.0,,,886,772,5,68,5,10,4113,1639,124,449,470,189,152.0,0,Сент-Луис Браунс,Парк IV для спортсменов,152088.0,103,104,SLB,SLA,SLA
1902,NL,PIT,PIT,,1,142,71.0,103,36,,,Y,,775,4926,1410,189,95,18,372,446,222,,,,440,323,2,131,21,3,3792,1142,4,250,564,247,87.0,0,Питтсбургские пираты,Парк выставки,243826.0,104,99,PIT,PIT,PIT
1946,NL,CHN,CHC,,3,155,77.0,82,71,,,Н,Н,626,5298,1344,223,50,56,586,599,43,,,,581,501,3,59,15,11,4179,1370,58,527,619,146,119.0,0,Чикаго Кабс,Филд Уригли,1342970.0,98,97,CHC,CHN,CHN
1993,AL,KCA,KCR,W,3,162,81.0,84,78,Н,,Н,Н,675,5522,1455,294,35,125,428,936,100,75.0,,,694,649,4,16,6,48,4335,1379,105,571,985,96,150.0,0,Канзас-Сити Роялс,Стадион Кауффмана,1934578.0,106,106,KCR,KCA,KCA
1871,,PH1,PNA,,1,28,,21,7,,,Y,,376,1281,410,66,27,9,46,23,56,,,,266,137,4,27,0,0,747,329,3,53,16,194,,0,Филадельфия Атлетика,Земля Джефферсона,,102,98,ATH,PH1,PH1
1990,AL,NYA,NYY,E,7,162,81.0,67,95,Н,,Н,Н,603,5483,1322,208,19,147,427,1027,119,45.0,,,749,675,4,15,6,41,4332,1430,144,618,909,126,164.0,0,Нью-Йорк Янкиз,Стадион &lt; &lt; Янки &gt; &gt; II,2006436.0,100,102,NYY,NYA,NYA
1914,AL,SLA,BAL,,5,159,81.0,71,82,,,Н,Н,523,5101,1241,185,75,17,423,863,233,189.0,,,615,446,2,81,15,11,4230,1309,20,540,553,317,114.0,0,Сент-Луис Браунс,Парк IV для спортсменов,244714.0,96,99,SLB,SLA,SLA
1959,AL,DET,DET,,4,154,77.0,76,78,,,Н,Н,713,5211,1346,196,30,160,580,737,34,17.0,,,732,635,4,53,9,24,4080,1327,177,432,829,124,131.0,0,&lt; &lt; Тигры Детройта &gt; &gt;,Стадион Бриггс,1221221.0,106,105,DET,DET,DET
1980,AL,MIN,MIN,W,3,161,80.0,77,84,Н,,Н,Н,670,5530,1468,252,46,99,436,703,62,46.0,,,724,634,3,35,9,30,4353,1502,120,468,744,146,192.0,0,Близнецы из Миннесоты,Столичный стадион,769206.0,108,108,MIN,MIN,MIN
1997,NL,COL,COL,W,3,162,81.0,83,79,Н,Н,Н,Н,923,5603,1611,269,40,239,562,1060,137,65.0,,,908,835,5,9,5,38,4296,1697,196,566,870,111,202.0,0,Колорадо Скалистые горы,Поле ковров,3888453.0,122,123,COL,COL,COL
1917,AL,CHA,CHW,,1,156,79.0,100,54,,,Y,Y,656,5057,1281,152,81,18,522,479,219,,,,464,342,2,78,22,21,4272,1236,10,413,517,200,117.0,0,Чикаго Уайт Сокс,Парк Комиски,684521.0,102,100,CHW,CHA,CHA
1982,AL,ML4,MIL,E,1,163,82.0,95,67,Y,,Y,Н,891,5733,1599,277,41,216,484,714,84,52.0,,,717,649,3,34,6,47,4401,1514,152,511,717,125,185.0,0,Милуоки Брюэрс,Окружной стадион,1978896.0,94,93,MIL,MIL,MIL
