schoolid,schoolname,schoolcity,schoolstate,schoolnick
azusapac,Тихоокеанский университет Азузы,Азуза,КА,Кугары
biolaca,Университет &lt; &lt; Биола &gt; &gt;,Ла Мирада,КА,Орлы
california,Калифорнийский университет,Беркли,КА,Золотые медведи
calpoly,"Калифорнийский государственный политехнический университет, Сан-Луис-Обиспо",Сан-Луис Обиспо,КА,Мустанги
calpolypom,Калифорнийский политехнический университет - Помона,Помона,КА,Бронкос
calstfull,"Калифорнийский государственный университет, Фуллертон",Фуллертон,КА,Титаны
calstla,"Калифорнийский государственный университет, Лос-Анджелес",Лос-Анджелес,КА,Золотые орехи
calstnorth,"Калифорнийский государственный университет, Нортридж",Нортридж,КА,Матадоры
calutheran,Калифорнийский лютеранский университет,Тысяча огурцов,КА,Корольцы
chapmanca,Университет Чапмана,Апельсиновый,КА,Пантеры
chicost,"Калифорнийский государственный университет, Чико",Чико,КА,Дикие кошки
clrmuddscr,Клэрмонтский колледж МакКенна,Клэрмонт,КА,Олени
csdomhills,"Калифорнийский государственный университет, Домингес-Хиллс",Карсон,КА,Торос
cshayward,"Калифорнийский государственный университет, Хейворд",Хэйворд,КА,Пионеры
csstanisl,"Калифорнийский государственный университет, Станислаус",Черепаха,КА,Воины
fresnost,"Калифорнийский государственный университет, Фресно",Фресно,КА,Бульдоги
grossmont,Колледж Гросмонта,Эль-Каджон,КА,
humboldtst,Гумбольдтский государственный университет,Арката,КА,Ломбардировщики
laverneca,Университет Ла Верне,Ла Верне,КА,Леопарды
longbeach,"Калифорнийский государственный университет, Лонг-Бич",Длинный пляж,КА,49 ч. 00 м.
loyolamary,Университет &lt; &lt; Лойола Мэримаунт &gt; &gt;,Лос-Анджелес,КА,Львы
mastersca,Магистратский колледж,Санта Кларита,КА,Мустанги
occidental,Колледж им.,Лос-Анджелес,КА,Тигры
pacific,Тихоокеанский университет,Стоктон,КА,Тигры
pepperdine,Пеппердинский университет,Малибу,КА,Волны
pompitzer,Колледж помоны,Клэрмонт,КА,Сейгены
ptlomanaz,Университет имени Ломы Назарене,Сан-Диего,КА,Морские львы
sacstate,"Калифорнийский государственный университет, Сакраменто",Сакраменто,КА,Шершень
sandiego,Университет Сан-Диего,Сан-Диего,КА,Торерос
sandiegost,Сан-Диегоский государственный университет,Сан-Диего,КА,Ацтеки
sanfran,Университет Сан-Франциско,Сан-Франциско,КА,Доны
sanfranst,Университет штата Сан-Франциско,Сан-Франциско,КА,Гейтеры
sanjosest,Государственный университет Сан-Хосе,Сан-Хосе,КА,Спартанцы
santaclara,Университет Санта-Клары,Санта-Клара,КА,Бронкос
sdcity,Городской колледж Сан-Диего,Сан-Диего,КА,Рыцари
sonomast,Государственный университет Сономы,Ронерт Парк,КА,Морские волки
stanford,Стэнфордский университет,Palo Alto,КА,Кардинал
stmarysca,Колледж Святой Марии в Калифорнии,Морага,КА,Галстук
ucdavis,"Калифорнийский университет, Дэвис",Дэвис,КА,Агги
ucirvine,"Калифорнийский университет, Ирвин",Ирвин,КА,Потрошители
ucla,"Калифорнийский университет, Лос-Анджелес",Лос-Анджелес,КА,Бруины
ucriver,"Калифорнийский университет, Риверсайд",Риверсайд,КА,Горцы
ucsb,"Калифорнийский университет, Санта-Барбара",Санта-Барбара,КА,Гаучос
ucsd,"Калифорнийский университет, Сан-Диего",Ля Джолла,КА,Тритоны
usc,Университет Южной Калифорнии,Лос-Анджелес,КА,Троянцы
vanguardca,Университет вангарда Южной Калифорнии,Коста-Меса,КА,Львы
westmontca,Вестмонтский колледж,Санта-Барбара,КА,Воины
whittierca,Уиттиерский колледж,Виттье,КА,Поэты
abilchrist,Абилинский христианский университет,Абилин,TX,Дикие кошки
adelphi,Адельфийский университет,Садовой город,Нью-Йорк,Пантеры
adrianmi,Колледж Эдриан,Эдриан,МИ,Бульдоги
airforce,Академия военно-воздушных сил Соединенных Штатов,Колорадо Спрингс,CO,Соколы
akron,Акронский университет,Акрон,Ооо.,Зипсы
alabama,Университет Алабамы,Тускалуза,AL,Краймсонский призрак
alabamaam,Алабамский университет АиМ,Обычный,AL,Бульдоги
