targetid,raceid,driverid,win
1217,72,32,0
1329,77,37,0
1518,85,24,0
3825,74,25,0
4546,203,15,0
10325,246,85,0
11061,175,37,0
12680,102,8,0
13845,46,16,0
16370,334,110,0
19829,400,105,0
20318,416,157,0
21195,441,102,0
21919,463,197,0
43456,837,537,0
45087,814,498,0
45166,814,692,0
46367,797,609,0
46691,788,626,0
50113,753,506,0
50178,754,356,0
53453,641,345,0
54339,643,306,0
55312,591,304,0
55362,592,230,0
56540,561,277,0
57179,528,222,0
57192,528,232,0
57315,532,187,0
57614,540,175,0
57893,548,182,0
57944,549,229,0
63648,727,376,0
63712,728,374,0
64257,353,808,0
65681,886,821,0
66501,270,104,0
66747,906,18,0
67774,956,4,0
