statusid,status
2,Отсрочено
3,Авария
4,Авария
5,Машина
6,Габаритный механизм
7,Трансмисия
8,Клац
9,Hidравлика
10,Электрический
12,+2 кругов
14,+4 кругов
15,+5 кругов
18,+8 кругов
19,+9 кругов
20,Спун оф
21,Конденсатор
22,Susпензия
23,Брейки
29,Перечерк
30,Двигатель
31,Уволился
34,Водяной давление
35,Заправка
36,Колесо
37,Тахометр
39,Технический
40,Электроника
41,Разбитое крыло
42,Щит от тепла загорелся
43,Вынос
44,Нефтяной утечки
58,26 кругов
59,Прочёсывание шины
60,Бензин кончился
61,Штифт колесный
62,Не классифицировано
64,Обработка
67,Подшипник колеса
68,Физический
69,Питательная система
72,Запусковая система
73,Убитые
74,Топливо
76,Вибрации
78,Безопасность
79,Двигало-передаточная система
80,Запуск
81,Не квалифицировался
83,Шасси
84,Батарея
85,Заблокировано
86,Полный шарнир
87,Клиночный коленвал
88,Десять кругов
89,Безопасность
91,Альтернативный генератор
93,Пояс безопасности
94,Масляный насос
95,Течь топлива
96,Исключён
97,Не прошла предварительный отбор
98,Инъекция
99,Дистрибьютор
100,Водитель нездоров
101,Турбо
102,Кулиса
105,Пигаментные свечи
106,Топливный шланг
109,Ось
110,Водопровод
112,+15 кругов
113,25 легов
114,+18 Лапс
115,+22 круги
116,+16 кругов
117,24 лака
118,+29 кругов
119,+23 круги
121,Магнето
122,+44 Лапы
123,30 кругов
124,+19 кругов
125,+46 Лапы
126,Сурперкар
128,42 Лапы
129,Стартерная детонация
130,Аварийный ущерб
133,+49 Лапов
134,38 Лапсов
135,Трубка тормозная
