raceid,year,round,circuitid,name,date,time,url
948,2016,1,1,Гран-при Австралии,2016-03-20,05:00:00,"2016 года Гран-при Австралии

Гран-при Австралии 2016 года (формально известный как Formula One IBM Australian Grand Prix 2016) — это автогонка, которая состоялась 13 марта 2016 года на трассе Альберт-Парк в Мельбурне, Австралия. Это была первая гонка сезона 2016 Формулы-1 и она проходила под знаменем 14-го чемпионата мира по автогонкам в классе «Формула-1».

Победителем гонки стал Нико Росберг, пилот команды Mercedes. Он финишировал на первом месте, опередив своего напарника по команде Льюиса Хэмилтона, который приехал вторым. Третий результат показал Кевин Магнуссен из команды McLaren."
949,2016,2,3,Гран-при Бахрейна,2016-04-03,15:00:00,Википедия: 2016 Гран-при Бахрейна
950,2016,3,17,Гран-при Китая,2016-04-17,06:00:00,Гран-при Китая 2016 года
951,2016,4,71,Гран-при России,2016-05-01,12:00:00,"2016 год, Гран-при России"
952,2016,5,4,Гран-при Испании,2016-05-15,12:00:00,Википедия: 2016 Испанский Гран-при
953,2016,6,6,Гран-при Монако,2016-05-29,12:00:00,2016 года Гран-при Монако
954,2016,7,7,Гран-при Канады,2016-06-12,18:00:00,Гран-при Канады 2016 года
955,2016,8,73,Европейский Гран-при,2016-06-19,13:00:00,2016 года Европейский Гран-при
956,2016,9,70,Австрийский Гран-при,2016-07-03,12:00:00,"2016 Гран-при Австрии

Гран-при Австрии 2016 года, который также назывался «Гран-при Австрии», стал 13-м этапом сезона 2016 Формулы-1. Он прошёл на трассе Ред-Булл-Ринг в Шпильберге, Австрия, 3 июля 2016 года."
957,2016,10,9,Британский Гран-при,2016-07-10,12:00:00,2016 Британский Гран-при
958,2016,11,11,Гран-при Венгрии,2016-07-24,12:00:00,Гран-при Венгрии 2016 года
959,2016,12,10,Гран-при Германии,2016-07-31,12:00:00,2016 год Гран-при Германии
960,2016,13,13,Гран-при Бельгии,2016-08-28,12:00:00,Гран-при Бельгии 2016 года
961,2016,14,14,Гран-при Италии,2016-09-04,12:00:00,Гран-при Италии 2016 года
962,2016,15,15,Гран-при Сингапура,2016-09-18,12:00:00,2016 Годы Singapore Гран-при
963,2016,16,2,Гран-при Малайзии,2016-10-02,07:00:00,Гран-при Малайзии 2016 года
964,2016,17,22,Гран-при Японии,2016-10-09,05:00:00,2016 Японская Гран-при
965,2016,18,69,Гран-при США,2016-10-23,19:00:00,2016 ГП США
966,2016,19,32,Гран-при Мексики,2016-10-30,19:00:00,2016 Гран-при Мексики
967,2016,20,18,Гран-при Бразилии,2016-11-13,16:00:00,"2016 года в Бразилии
20-е гонки чемпионата мира по автогонкам в классе «Формула-1» сезона 2016 года
Гонка
Отправка
Позиция на старте
Водитель
Команда
Количество кругов
Окончание гонки
Лидер гонки после старта
Лидер гонки после старта
Выигранные очки
Пониментово
Феттель
Феррари
55
1:39.064
2
Риккардо
Ред Булл
58
+ 1,173 сек
3
Гасли
Ред Булл
58
+ 1,705 сек
4
Хэмилтон
Мерседес
58
+ 2,677 сек
5
Боттас
Мерседес
58
+ 4,493 сек
6
Ваитиланта
Феррари
58
+ 5,001 сек
7
Кими
Феррари
58
+ 5,249 сек
8
Эрикссон
Заубер
58
+ 5,513 сек
9
Магнуссен
Хаас
58
+ 6,064 сек
10
Грозо
Заубер
58
+ 7,257 сек
11
Уилкерс
Форс-Индия
58
+ 13,921 сек
12
Окон
Форс-Индия
58
+ 20,732 сек
Лидеры гонки
Количество кругов
Пониментово
Феттель
24-36
Феррари
Риккардо
37-55
Ред Булл
Гасли
56-57
Ред Булл"
