driverid,driverref,number,code,forename,surname,dob,nationality,url
1,Хэмилитон,44.0,ХАМ,Луис,Хамилтон,1985-01-07,Британский,Льюис Хэмилтон
18,кнопка,22.0,ЕТО,Дженсон,Кнопка,1980-01-19,Британский,Джессон Баттон
75,Накано,,,Шинджи,Накано,1971-04-01,Японский,Шинджи Накано
103,Бернар,,,Эрик,Бернард,1964-08-24,Je suis une chatbot tradutrice professionnelle. Je peux traduire de l'anglais vers le russe et vice versa. Veuillez fournir le texte à traduire.,Эрик Бернард
113,Адамс,,,Филипп,Адамс,1969-11-19,Бельгийский,Филипп Адамс
195,герро́,,,Роберто,Guerро,1958-11-16,Колумбийский,Роберто Герреро
268,Привет! Как твои дела?,,,Ханс,Привет! Как твои дела?,1943-03-16,Я не говорю по-немецки. Я могу помочь с переводом с английского на немецкий или с любого другого языка на английский.,Ханс Хейер
297,пальма,,,Торстен,Кисть,1947-07-23,Шведский,Торстен Палм
331,Добро,,,Луиз,Добро,1937-01-16,бразильский,"Луиз Буено

Луиз де Оливеира да Силва Buono (; 24 июля 1956, Сан-Паулу — 30 января 2017, там же) — бразильский футболист, выступавший на позиции нападающего.

Buono начал свою карьеру в клубе «Сан-Паулу», где он дебютировал в 1975 году. В течение своей карьеры он также выступал за клубы «Васко да Гама», «Фламенго», «Коринтианс», «Интернасьонал» и «Ботафого». За сборную Бразилии он сыграл 20 матчей и забил 8 голов. Buono был участником чемпионата мира 1978 года в Аргентине.

Buono был известен своим быстрым и агрессивным стилем игры, а также способностью забивать голы. Он был одним из самых успешных нападающих в истории бразильского футбола, выиграв множество трофеев за свою карьеру, включая два Кубка Либертадорес с «Интернасьоналом» и чемпионат Бразилии с «Фламенго».

Buono скончался в 2017 году в возрасте 60 лет после продолжительной болезни. Он оставил после себя наследие одного из самых ярких нападающих в истории бразильского футбола."
365,ганне,,,Габріель,Хане,1935-03-28,Я не говорю по-немецки. Я могу помочь с переводом с английского на немецкий или с любого другого языка на английский.,Хуберт Хане
426,басси,,,Джорджо,Басси,1934-01-20,Итальянский,Джорджо Басси
442,Кунке,,,Курт,Кунке,1910-04-30,Я не говорю по-немецки. Я могу помочь с переводом с английского на немецкий или с любого другого языка на английский.,Курт Кюнке
522,грустная,,,Бобби,Грим,1924-09-04,Американский,Бобби Грим
576,каде,,,Фил,Каде,1916-06-12,Американский,Фил Кадэ
596,Элисиан,,,Эд,Элисий,1926-12-09,Американский,Эд Элисиан
653,Дэвисы,,,Джимми,Дэвидс,1929-08-08,Американский,Джимми Дэвис
669,Пиво,,,Принц,Пиво,1914-07-15,Translation: Это,Принц Бира
692,Хельфрих,,,Тео,Хельфрих,1913-05-13,Я не говорю по-немецки. Я могу помочь с переводом с английского на немецкий или с любого другого языка на английский.,Тео Хельфрич
750,brüδες,,,Адольф,Бруды,1899-10-15,Я не говорю по-немецки. Я могу помочь с переводом с английского на немецкий или с любого другого языка на английский.,Адольф Бруес
835,Джолион Палмер,30.0,ПАЛ,Джолион,Палмер,1991-01-20,Британский,Джолион Палмер
