circuitid,circuitref,name,location,country,lat,lng,alt,url
1,Альберт-парк,Гран-при Альберт-Парка,Мельбурн,Австралия,-37.8497,144.968,10.0,サーキット・オブ・メルボルン
2,Сепанг,Сепанг интернационал кулис,Кuala-Лумпур,Малайзия,2.76083,101.738,,http://ru.wikipedia. org/wiki/Сепанг_Интернационал_Циркуит
3,Бахрейн,Международный автодром Бахрейна,Сахир,Бахрейн,26.0325,50.5106,,Бахрейнский международный автодром
4,Каталанско,Кирпич Барселоны-Каталонии,Монмело,Испания,41.57,2.26111,,Circ de Barcelona-Catalunya
5,Стамбул,Стамбульский парк,Стамбул,Турция,40.9517,29.405,,Парк в Стамбуле
6,Монако,Цирк де Монако,Монако,Монако,43.7347,7.42056,,Шоссейная трасса Монако
7,Вилнёвен,Шоссе Жиль Вильнёв,Монреаль,Канада,45.5,-73.5228,,Кирк Вильямс-Виленнов
8,магни-курс,Кирпич Невера Магни-Курс,Магни-Курс,Франция,46.8642,3.16361,,Кирку де Невера Магни-Курс
9,Силверстоун,Силверстоунский автодром,Серебрястоун,Великобритания,52.0786,-1.01694,,Силверстоунский автодром
10,Хоккенхайме́ринг,Хоккенхаймринг,Хоккенхайм,Германия,49.3278,8.56583,,Хоккенхаймерринг
11,Венгерский ринг,Хунгариринг,Будапешт,Венгрия,47.5789,19.2486,,Хунгэрингаринг
13,спа,Циркут Спа-Франкоршам,Спа,Бельгия,50.4372,5.97139,,"Штурман: Спа - Франкорхок, Бельгия"
14,Монца,Автодром Национал в Монце,Монца,Италия,45.6156,9.28111,,Автономная национальная трасса Монца
15,Марина-Бэй,Марина-Бей-Стрит-Кёрт,Марина-Бэй,Сингапур,1.2914,103.864,,Марина-Бэй-Стрит-Циркут
16,фuji,Фудзи Спидвей,Оямы,Япония,35.3717,138.927,,Фудзи-Скоростная трасса
18,Интерлагос,Автодром имени Хосе Карлос Пейс,Сан-Паулу,Бразилия,-23.7036,-46.6997,,Автоудорожная трасса Хосе Карлоса Пейс
19,Индианаполис,Индианаполисский автодром,Индианаполис,США,39.795,-86.2347,,Индианаполис Мотор Спидвей
20,Нюрбургринг,Нюрбургринг,Нюрнбург,Германия,50.3356,6.9475,,Нюрбургринг
21,Имола,Автодром Энцо и Дино Феррари,Имола,Италия,44.3439,11.7167,,Аудиториум Энцо и Дино Феррари
22,Сузука,Сузука-Циркут,Сузука,Япония,34.8431,136.541,,Сузука-рейндж
23,Австрийский фунт,Ринг А1,Шпильбург,Австрия,47.2197,14.7647,,А1-Ринг
24,Яс Марина,Яс Марина циркуит,Абу-Даби,ЭМИРАТЫ ОАЭ,24.4672,54.6031,,Яс-Марина-Cиркут
25,Галвес,Авто- и мотодром Хуан и Оскар Гальвес,Буенос-Айрес,Аргентина,-34.6943,-58.4593,,Автоододром Оскар Альфредо Гальвес
26,Херес,Киркхем-у-Гелдс,Херес-де-ла-Фронтера,Испания,36.7083,-6.03417,,Киркарато Перхентерде Хере́рес
27,Эсторил,Автомобильная трасса Эштри,Эсториал,Португалия,38.7506,-9.39417,,Автовыставочный автодром Эсторила
28,Окаяма,Окаяма Интернэшнл Си-Ти,Окаяма,Япония,34.915,134.221,,"TI-сборка - это линейная интегральная схема (ЛИС), разработанная компанией Texas Instruments (TI) и используемая в электронике для усиления или фильтрации сигналов."
30,Кьялами,Кьялами,Мидранд,Южная Африка,-25.9894,28.0767,,Кьялами
31,Донингтон,Донингтон-Парк,Замок Донингтон,Великобритания,52.8306,-1.37528,,Википедия: Донингтон-Парк
32,Родригес,Автономный трамплин «Херманос Родригес»,Мексико-Сити,Мексика,19.4042,-99.0907,,Автомагистраль Херреро Родригес
33,Финикс,Финиксский уличный трасс,Финикс,США,33.4479,-112.075,,"Википедия: Финикс-стрит- سیرкит - это автодром, расположенный в городе Финикс, штат Аризона, США. Он используется для проведения гонок на уличных автомобилях и мотоциклах."
34,Рикард,Кіршуйт Пол Рикард,Лэ-Кастеллет,Франция,43.2506,5.79167,,Паль-Рикар д'Эмплэйс
35,Доброе утро! Как дела?,Корейский международный шоссе,Округ Йонгам,Корея,34.7333,126.417,,http://ru.wikipedia.org/wiki/Корейский_международный_шоссе
36,Якарепагуа,Автомобильный спорт,Рио-де-Жанейро,Бразилия,-22.9756,-43.395,,Автоудородорем Нельсона Пикета
37,Детройт,Детройтская уличная гоночная трасса,Детройт,США,42.3298,-83.0401,,Детройтский уличный трасс
38,бренды_хэтч,Брендс-Хэтч,Кент,Великобритания,51.3569,0.263056,,Брэндс-Хэтч
39,Зандворт,Циркут Парк Зандвоорт,Зандворт,Нидерланды,52.3888,4.54092,,Киркзандвоорт
40,золда́,Золдер,Хюсден-Золдер,Бельгия,50.9894,5.25694,,Золдер
