year,lgid,tmid,oppid,w,l,t,otl
1937,NHL,DET,TOR,0,4,2.0,
1983,NHL,BUF,CHI,1,2,0.0,
2001,NHL,PIT,OTT,2,2,0.0,0.0
1986,NHL,WIN,NYR,2,1,0.0,
1995,NHL,SJS,VAN,1,4,0.0,
2003,NHL,MTL,MIN,1,0,0.0,0.0
1996,NHL,LAK,NYI,1,1,0.0,
2009,NHL,WAS,DET,1,1,,0.0
2011,NHL,VAN,TBL,1,0,,0.0
1974,NHL,NYI,PHI,1,3,2.0,
1993,NHL,PHI,EDM,0,2,0.0,
2008,NHL,FLO,CAR,3,1,,2.0
1993,NHL,PHI,STL,2,0,0.0,
2001,NHL,PIT,DET,0,1,0.0,0.0
2010,NHL,PHI,BUF,2,1,,1.0
1995,NHL,TBL,MTL,3,0,1.0,
1998,NHL,MTL,NAS,1,0,1.0,
1981,NHL,LAK,QUE,1,0,2.0,
1991,NHL,WIN,PIT,1,2,0.0,
2005,NHL,ATL,NYI,1,3,,0.0
2001,NHL,FLO,ATL,1,2,2.0,0.0
1995,NHL,TOR,SJS,3,1,0.0,
1922,NHL,TRS,OTS,4,4,0.0,
1996,NHL,NYR,TOR,2,0,0.0,
2003,NHL,STL,CAR,0,1,0.0,0.0
1992,NHL,OTT,NYR,0,3,0.0,
2000,NHL,MTL,FLO,1,1,2.0,0.0
1998,NHL,CAR,TBL,2,0,3.0,
1934,NHL,TOR,CHI,5,1,0.0,
2010,NHL,LAK,MIN,2,0,,2.0
1999,NHL,PIT,OTT,1,2,1.0,0.0
1974,NHL,TOR,NYR,2,1,1.0,
1972,NHL,LAK,MTL,0,4,1.0,
1986,NHL,NJD,MNS,1,2,0.0,
1992,NHL,QUE,CHI,0,1,1.0,
2003,NHL,DAL,FLO,0,1,0.0,0.0
2010,NHL,OTT,NAS,1,0,,0.0
2005,NHL,FLO,BUF,3,1,,0.0
1971,NHL,PHI,BUF,2,2,2.0,
1946,NHL,MTL,BOS,9,1,2.0,
2003,NHL,TOR,PHO,1,0,0.0,0.0
1999,NHL,FLO,DAL,0,2,0.0,0.0
2008,NHL,NAS,CBS,3,2,,1.0
2011,NHL,VAN,FLO,0,1,,0.0
1998,NHL,FLO,CHI,2,0,0.0,
2007,NHL,CHI,MTL,0,0,,1.0
2000,NHL,PHI,PIT,2,3,0.0,0.0
2010,NHL,ATL,LAK,0,1,,0.0
1995,NHL,OTT,PIT,0,6,0.0,
1997,NHL,BUF,WAS,2,2,0.0,
1995,NHL,NJD,WAS,5,0,0.0,
1975,NHL,VAN,NYI,3,0,2.0,
1977,WHA,BIR,HOU,7,5,0.0,
2008,NHL,PHI,NYI,6,0,,0.0
1977,WHA,IND,CIN,3,9,0.0,
1992,NHL,TOR,STL,4,0,3.0,
2003,NHL,ANA,PIT,0,1,0.0,0.0
1991,NHL,MNS,BOS,1,1,0.0,
2006,NHL,MTL,WAS,3,1,,0.0
2009,NHL,SJS,PHO,4,1,,1.0
1990,NHL,MNS,NYR,0,2,1.0,
2003,NHL,CAL,NYR,1,0,0.0,0.0
1950,NHL,TOR,DET,3,7,4.0,
1971,NHL,CHI,MTL,1,2,3.0,
2007,NHL,AND,DAL,3,5,,0.0
2005,NHL,DAL,STL,3,0,,1.0
1932,NHL,DET,MTM,1,4,1.0,
1982,NHL,VAN,NJD,0,1,2.0,
1996,NHL,PIT,PHO,1,0,1.0,
1995,NHL,NJD,BOS,0,3,1.0,
1997,NHL,TBL,VAN,1,1,0.0,
1952,NHL,CHI,NYR,10,3,1.0,
2008,NHL,STL,BOS,1,1,,0.0
1999,NHL,COL,MTL,2,0,0.0,0.0
2001,NHL,DET,NYI,2,0,0.0,0.0
2001,NHL,NYI,CHI,0,1,0.0,0.0
1991,NHL,MNS,NJD,2,0,0.0,
1980,NHL,HAR,CHI,0,3,1.0,
1992,NHL,OTT,PHI,1,2,0.0,
1977,WHA,SOV,EDO,0,1,0.0,
2002,NHL,BOS,FLO,2,1,1.0,0.0
1997,NHL,CAL,BUF,0,2,0.0,
1995,NHL,STL,COL,2,2,0.0,
2001,NHL,COL,FLO,1,0,0.0,0.0
