playerid,year,stint,tmid,lgid,gp,min,w,l,t/ol,eng,sho,ga,sa,postgp,postmin,postw,postl,postt,posteng,postsho,postga,postsa
sullida01,1972,1,PHB,WHA,1.0,60.0,1.0,0.0,0.0,0.0,0.0,3.0,34.0,,,,,,,,,
vernomi01,1997,1,SJS,NHL,62.0,3564.0,30.0,22.0,8.0,2.0,5.0,146.0,1401.0,6.0,348.0,2.0,4.0,,1.0,1.0,14.0,138.0
tannejo01,1990,1,QUE,NHL,6.0,228.0,1.0,3.0,1.0,0.0,0.0,16.0,133.0,,,,,,,,,
simmodo01,1967,1,NYR,NHL,5.0,300.0,2.0,1.0,2.0,0.0,0.0,13.0,,,,,,,,,,
dipieri01,2009,1,NYI,NHL,8.0,462.0,2.0,5.0,0.0,2.0,1.0,20.0,201.0,,,,,,,,,
ranfobi01,1990,1,EDM,NHL,60.0,3415.0,27.0,27.0,3.0,5.0,0.0,182.0,1705.0,3.0,135.0,1.0,2.0,,0.0,0.0,8.0,78.0
lachebl01,1994,1,BOS,NHL,35.0,1965.0,19.0,11.0,2.0,0.0,4.0,79.0,805.0,5.0,283.0,1.0,4.0,,1.0,0.0,12.0,125.0
sawchte01,1965,1,TOR,NHL,27.0,1521.0,10.0,11.0,3.0,1.0,1.0,80.0,,2.0,120.0,0.0,2.0,,0.0,0.0,6.0,
vachoro01,1966,1,MTL,NHL,19.0,1137.0,11.0,3.0,4.0,1.0,1.0,47.0,,9.0,555.0,6.0,3.0,,0.0,0.0,22.0,
mayergi01,1949,1,TOR,NHL,1.0,60.0,0.0,1.0,0.0,,0.0,2.0,,,,,,,,,,
khudoan01,2010,1,MIN,NHL,4.0,189.0,2.0,1.0,0.0,1.0,1.0,5.0,86.0,,,,,,,,,
holdema01,1984,1,WIN,NHL,4.0,213.0,2.0,0.0,0.0,0.0,0.0,15.0,104.0,,,,,,,,,
heinzri01,1983,1,STL,NHL,22.0,1118.0,7.0,7.0,3.0,1.0,0.0,80.0,539.0,1.0,8.0,0.0,0.0,,0.0,0.0,1.0,2.0
mcelhcu01,2010,1,AND,NHL,21.0,996.0,6.0,9.0,1.0,0.0,2.0,57.0,516.0,,,,,,,,,
pennest01,1984,1,MTL,NHL,54.0,3252.0,26.0,18.0,8.0,3.0,1.0,167.0,1344.0,12.0,733.0,6.0,6.0,,0.0,1.0,40.0,300.0
parenri01,1998,1,STL,NHL,10.0,519.0,4.0,3.0,1.0,1.0,1.0,22.0,193.0,,,,,,,,,
valiqst01,2009,1,NYR,NHL,6.0,305.0,2.0,3.0,0.0,0.0,1.0,19.0,128.0,,,,,,,,,
hodgech01,1957,1,MTL,NHL,12.0,720.0,8.0,2.0,2.0,,1.0,31.0,,,,,,,,,,
hallgl01,1957,1,CHI,NHL,70.0,4200.0,24.0,39.0,7.0,,7.0,202.0,,,,,,,,,,
drydeda01,1971,1,BUF,NHL,20.0,1026.0,3.0,9.0,5.0,0.0,0.0,68.0,,,,,,,,,,
cloutja01,1988,1,BUF,NHL,36.0,1786.0,15.0,14.0,0.0,1.0,0.0,108.0,857.0,4.0,238.0,1.0,3.0,,1.0,1.0,10.0,108.0
kolziol01,2001,1,WAS,NHL,71.0,4131.0,31.0,29.0,8.0,5.0,6.0,192.0,1977.0,,,,,,,,,
cattajo01,1909,1,LES,NHA,4.0,240.0,0.0,4.0,0.0,,0.0,34.0,,,,,,,,,,
conklty01,2006,1,CBS,NHL,11.0,491.0,2.0,3.0,2.0,0.0,0.0,27.0,210.0,,,,,,,,,
edwarga01,1968,1,STL,NHL,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
hebersa01,1916,2,QU1,NHA,13.0,780.0,8.0,5.0,0.0,,0.0,92.0,,,,,,,,,,
curryjo01,2008,1,PIT,NHL,3.0,150.0,2.0,1.0,0.0,0.0,0.0,6.0,69.0,,,,,,,,,
dekanma01,2010,1,NAS,NHL,1.0,50.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,,,,,,,,,
burchra01,1976,1,IND,WHA,5.0,136.0,1.0,0.0,0.0,0.0,0.0,8.0,89.0,,,,,,,,,
riggipa01,1980,1,CAL,NHL,42.0,2411.0,21.0,16.0,4.0,3.0,0.0,154.0,,11.0,629.0,6.0,4.0,,1.0,0.0,37.0,
belanyv01,1975,1,STL,NHL,31.0,1763.0,11.0,17.0,1.0,2.0,0.0,113.0,,,,,,,,,,
hoganpa01,1975,1,NEW,WHA,4.0,224.0,1.0,2.0,0.0,0.0,0.0,16.0,108.0,,,,,,,,,
vanbijo01,1986,1,NYR,NHL,50.0,2656.0,18.0,20.0,5.0,6.0,0.0,161.0,1369.0,4.0,195.0,1.0,3.0,,0.0,1.0,11.0,110.0
hoganpa01,1970,1,PIT,NHL,2.0,57.0,0.0,1.0,0.0,0.0,0.0,7.0,,,,,,,,,,
valiqst01,2003,1,EDM,NHL,1.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,,,,,,,,,
melocgi01,1982,1,MNS,NHL,47.0,2689.0,20.0,13.0,11.0,2.0,1.0,160.0,1411.0,5.0,319.0,2.0,3.0,,1.0,0.0,18.0,
plassmi01,1977,1,COR,NHL,25.0,1383.0,3.0,12.0,8.0,2.0,0.0,90.0,,,,,,,,,,
hebencl01,1975,1,PHR,WHA,2.0,80.0,0.0,1.0,0.0,0.0,0.0,9.0,48.0,,,,,,,,,
sawchte01,1967,1,LAK,NHL,36.0,1936.0,11.0,14.0,6.0,2.0,2.0,99.0,,5.0,280.0,2.0,3.0,,0.0,1.0,18.0,
romanro01,1993,1,PIT,NHL,2.0,125.0,1.0,0.0,1.0,0.0,0.0,3.0,56.0,,,,,,,,,
backsni01,2008,1,MIN,NHL,71.0,4088.0,37.0,24.0,8.0,3.0,8.0,159.0,2059.0,,,,,,,,,
hodgech01,1964,1,MTL,NHL,53.0,3120.0,26.0,16.0,10.0,0.0,3.0,135.0,,5.0,300.0,3.0,2.0,,0.0,1.0,10.0,
ranfobi01,1996,1,BOS,NHL,37.0,2147.0,12.0,16.0,8.0,0.0,2.0,125.0,1102.0,,,,,,,,,
gigueje01,2010,1,TOR,NHL,33.0,1633.0,11.0,11.0,4.0,5.0,0.0,78.0,777.0,,,,,,,,,
