year,hofid,name,category
1958,clancki01h,Король Клэнси,Игрок
1945,stuarho01h,Ход Стюарт,Игрок
1986,keonda01h,Дэйв Кин,Игрок
1969,wortero01h,Рой Уортерс,Игрок
1947,patrile01h,Лестер Патрик,Игрок
1945,vezinge01h,Жорж Везина,Игрок
1965,mosiebi01h,Билл Мосиенко,Игрок
1971,wirtzar01h,Артур Вирц,Строитель
1961,smeatco01h,Купер Смитон,Референт/Линсман
1967,storere01h,Красный магазин,Референт/Линсман
1985,cheevge01h,Джерри Чиверс,Игрок
1958,johnsch01h,Чинг Джонсон,Игрок
1950,griffsi01h,Си Гриффис,Игрок
1965,barryma01h,Марти Барри,Игрок
1962,huttobo01h,Баус Хаттон,Игрок
1983,hullbo01h,Бобби Халл,Игрок
1962,wilsoph01h,Фат Уилсон,Игрок
1988,parkbr01h,Брэд Парк,Игрок
1990,barbebi01h,Билл Барбер,Игрок
1962,pitredi01h,Дидье Питр,Игрок
1947,joliaau01h,Аурел Джолиат,Игрок
1978,bathgan01h,Энди Батгейт,Игрок
1972,howego01h,Горди Хоу,Игрок
1962,camerha01h,Гарри Кэмерон,Игрок
1988,hayesge01h,Джордж Хейс,Референт/Линсман
1981,bucykjo01h,Джон Букик,Игрок
1977,ballaha01h,Гарольд Баллард,Строитель
1963,primejo01h,Джо Праймау,Игрок
1965,lockhth01h,Томми Локхарт,Строитель
2011,howema01h,Марк Хоу,Игрок
1958,norrija02h,Джеймс Норрис старший.,Строитель
1965,russebl01h,Блэр Рассел,Игрок
1962,hoopeto01h,Том Хупер,Игрок
1962,stanlba01h,Барни Стэнли,Игрок
1966,bouchbu01h,Бутч Бушар,Игрок
1988,snideed01h,Эдвард Снайдер,Строитель
1958,turnell01h,Ллойд Тёрнер,Строитель
1981,mahovfr01h,Фрэнк Маховлич,Игрок
1958,bouchfr01h,Фрэнк Бушер,Игрок
1961,appssy01h,Syl Apps,Игрок
2006,duffdi01h,Дик Дафф,Игрок
1985,mariujo01h,Джон Мариуччи,Строитель
1962,gardnji01h,Джим Гарднер,Игрок
1988,oconnbu01h,Приятель О'Коннор,Игрок
1950,triheha01h,Гарри Трихи,Игрок
1960,walkeja01h,Джек Уокер,Игрок
1961,hainsge01h,Джордж Хейнсворт,Игрок
1961,dayha01h,День хапа,Игрок
1966,prattba01h,Детка Пратт,Игрок
1947,sutheja01h,Джеймс Сазерленд,Строитель
1962,maxwest01h,Steamer Максвелл,Игрок
1991,bowmasc01h,Скотти Боуман,Строитель
2006,brookhe01h,Херб Брукс,Строитель
1974,burchbi01h,Билли Бёрч,Игрок
1968,cowlebi01h,Билл Коули,Игрок
1947,hewitwi01h,Уильям Хьюитт,Строитель
1960,adamsch01h,Чарльз Адамс,Строитель
1947,taylocy01h,Циклон Тейлор,Игрок
2009,robitlu01h,Люк Робитай,Игрок
2008,chynoed01h,Эд Чиновет,Строитель
1972,holmeha01h,Хап Холмс,Игрок
1963,gormato01h,Томми Горман,Строитель
1962,watsoha01h,Гарри Ватсон,Игрок
1952,stewane01h,Нелс Стюарт,Игрок
1949,rossar01h,Арт Росс,Игрок
1992,dionnma01h,Марсель Дионн,Игрок
1996,bauerbo01h,Бобби Бауэр,Игрок
1969,norribr01h,Брюс Норрис,Строитель
1989,sittlda01h,Дэррил Ситлер,Игрок
1958,hayge01h,Джордж Хей,Игрок
1977,ahearbu01h,Зайка Ахерне,Строитель
1952,cookbi01h,Билл Кук,Игрок
1962,humefr01h,Фред Хьюм,Строитель
1998,goulemi01h,Мишель Гуле,Игрок
1947,shoreed01h,Эдди Шор,Игрок
2001,patricr01h,Крейг Патрик,Строитель
1960,bouchge01h,Джордж Бушер,Игрок
1945,morenho01h,Хоуи Моренц,Игрок
1963,goodfeb01h,Эбби Гудфеллоу,Игрок
2005,neelyca01h,Кэм Нили,Игрок
1966,brimsfr01h,Фрэнк Бримсек,Игрок
1970,johnsto01h,Том Джонсон,Игрок
1961,stuarbr02h,Брюс Стюарт,Игрок
1962,smithfr01h,Фрэнк Смит,Строитель
1993,smithbi01h,Билли Смит,Игрок
1981,stanlal01h,Аллан Стэнли,Игрок
1997,trottbr01h,Брайан Тротье,Игрок
1996,arboual01h,&lt; &lt; Арбур &gt; &gt;,Строитель
1969,leadeal01h,&lt; &lt; Аль-Лидер &gt; &gt;,Строитель
2001,kurrija01h,Яри Курри,Игрок
1966,reardke01h,Кен Рирдон,Игрок
1945,bakerho01h,Хоби Бейкер,Игрок
1950,malonjo01h,Джо Мэлоун,Игрок
1964,diliofr01h,Фрэнсис Дилио,Строитель
1992,dumarwo01h,Вуди Дюрт,Игрок
1973,smithto01h,Томми Смит,Игрок
1991,armstne01h,Нил Армстронг,Референт/Линсман
1952,goheemo01h,Лось Гохин,Игрок
1963,hewitbo01h,Бобби Хьюитсон,Референт/Линсман
1961,lesuepe01h,Перси Лесур,Игрок
1984,milfoja01h,Джейк Милфорд,Строитель
1952,johnsmo01h,Лось Джонсон,Игрок
1960,manthsy01h,Сильвио Манта,Игрок
1962,broadpu01h,Удар по ширине,Игрок
1976,quackbi01h,Билл Квакенбуш,Игрок
1993,grifffr01h,Фрэнк Гриффитс,Строитель
1979,howelha01h,Гарри Хоуэлл,Игрок
1964,durnabi01h,Билл Дурнан,Игрок
1968,dunnji01h,Джимми Данн,Строитель
2008,scapira01h,Рэй Скапинелло,Референт/Линсман
1964,campban01h,Ангус Кэмпбелл,Строитель
1994,oneilbr01h,Брайан О'Нилл,Строитель
1993,pagefr01h,Фред Стр.,Строитель
2003,kilrebr01h,Брайан Килреа,Строитель
1971,weilaco01h,Куни Вейланд,Игрок
1998,stastpe01h,Питер Стастин,Игрок
1974,vossca01h,Карл Восс,Строитель
1962,schrisw01h,Суини Шринер,Игрок
1960,kilpajo01h,Джон Килпатрик,Строитель
1990,perregi01h,Гилберт Перро,Игрок
1962,whitcfr01h,Фред Уиткрофт,Игрок
1967,colvine01h,Нил Колвилл,Игрок
1962,ahearfr01h,Фрэнк Ахрин,Строитель
1958,cleghsp01h,Спраг Клегхорн,Игрок
1950,davidal01h,Скотти Дэвидсон,Игрок
1965,farrear01h,Арт Фаррелл,Игрок
1979,juckego01h,Гордон Джакс,Строитель
1982,cournyv01h,Иван Курнёйер,Игрок
1966,blaketo01h,Носок Блейк,Игрок
1972,adamswe01h,Вестон Адамс,Строитель
1973,harvedo01h,Даг Харви,Игрок
1976,gibsoja02h,Джек Гибсон,Строитель
1978,plantja01h,Жак Планте,Игрок
1962,norrija03h,Джеймс Норрис,Строитель
1958,foystfr01h,Фрэнк Фойстон,Игрок
1958,raymodo01h,Донат Рэймонд,Строитель
2007,gregoji01h,Джим Грегори,Строитель
1961,brownge03h,Джордж Браун,Строитель
2002,langwro01h,Род Лэнгвей,Игрок
1987,ziegljo01h,Джон Зиглер,Строитель
1947,robincl01h,Клод Робинсон,Строитель
1983,drydeke01h,Кен Драйден,Игрок
1961,seibeol01h,Оливер Зайберт,Игрок
2004,fletccl01h,Клифф Флетчер,Строитель
1984,parenbe01h,Берни Родитель,Игрок
2000,savarde01h,Денис Савард,Игрок
1958,pickaal01h,Алан Пикард,Строитель
2000,mullejo01h,Джо Маллен,Игрок
1985,olmstbe01h,Берт Ольмстед,Игрок
1974,coultar01h,Арт Коултер,Игрок
1992,gainebo01h,Боб Гейни,Игрок
1999,gretzwa01h,Уэйн Грецки,Игрок
1988,esposto01h,Тони Эспозито,Игрок
1950,lalonne01h,Новости Лалонда,Игрок
1966,campbcl01h,Кларенс Кэмпбелл,Строитель
1961,ionmi01h,Микки Ион,Референт/Линсман
1972,belivje01h,Жан Беливо,Игрок
1984,esposph01h,Фил Эспозито,Игрок
1958,smythco01h,Конн Смайт,Строитель
1962,brownwa02h,Уолтер Браун,Строитель
1945,allanmo01h,Монтагу Аллан,Строитель
1987,laperja01h,Жак Лаперьере,Игрок
1970,lebelro01h,Боб Лебель,Строитель
1961,conacch01h,Чарли Коначер,Игрок
2002,federbe01h,Берни Федерко,Игрок
1974,tarasan01h,Анатолий Тарасов,Строитель
1994,conacli01h,Лайонел Конахер,Игрок
1945,pulfoha01h,Харви Пулфорд,Игрок
1986,savarse01h,Серж Савард,Игрок
1962,walshma01h,Марти Уолш,Игрок
1964,siebeba01h,Малыш Сиберт,Игрок
1960,selkefr01h,Фрэнк Селке,Строитель
1950,richage01h,Джордж Ричардсон,Игрок
1993,lapoigu01h,Парень Лапойнт,Игрок
1975,drillgo01h,Горди Дриллон,Игрок
1945,stanlfr01h,Фредерик Стэнли,Строитель
1991,pulfobo01h,Боб Пулфорд,Игрок
2009,lamorlo01h,Лу Ламориелло,Строитель
1978,pronoma01h,Марсель Проновост,Игрок
1947,northwi01h,Уильям Норти,Строитель
1962,mcgimbi01h,Билли МакГимси,Игрок
1980,butteja01h,Джек Баттерфилд,Строитель
1958,mcnamge02h,Джордж Макнамара,Игрок
1991,smithcl01h,Клинт Смит,Игрок
1993,shuttst01h,Стив Шатт,Игрок
1983,mikitst01h,Стэн Микита,Игрок
