type,code,fullname
Воспроизведение,ПФ,Потерянные финалы PCHA
Отдел,PT,Отдел Патрика
Круглая,DF,Окончательные результаты по разделу
Воспроизведение,СКФ,Проиграл полуфинал Кубка Стэнли
Воспроизведение,АВПРА,Проиграл предварительный раунд Кубка АВКО
Круглая,F,Финал
Отдел,ХО,Отдел по делам женщин Канады
Воспроизведение,WF,Потерянные финалы WCHL
Круглая,СФК,Полуфинал Конференции
Отдел,WW,WHA West Division
Воспроизведение,CQF,"Пропавшая конференция NHL, четверть финала"
Воспроизведение,DF,Проигранные финалы по разделу NHL
Отдел,Нет,Отдел Норриса
Отдел,КА,Канадский отдел
Воспроизведение,QF,Потерянный четвертьфинал NHL
Воспроизведение,CF,Проигранные итоговые документы конференции NHL
Круглая,РВК,Финал Кубка Авто
Зал,КК,Конференция &quot; Кэмпбелл &quot;
Отдел,Нет,Северо-восточный отдел
Отдел,SM,Отдел Смайта
Круглая,CF,Заключительные документы Конференции
Воспроизведение,F,Проиграл финал Кубка Стэнли
Зал,WA,Конференция в Уэльсе
Воспроизведение,ND,Финал Кубка Стэнли прекратился (эпидемия гриппа)
Воспроизведение,НКАФ,Проигранные финалы NHA
Воспроизведение,PRE,Проиграл предварительный раунд НХЛ
Круглая,СКФ,Кубок Стэнли Полуфинал
Воспроизведение,АВФ,Проиграл финал Кубка AVCO
Отдел,ПК,Тихоокеанский отдел
Отдел,АД,Отдел Адамса
Круглая,ПКФ,Финал Кубка Стэнли
Воспроизведение,ВТС,Серия &lt; &lt; Вон вызов &gt; &gt;
Отдел,Ред.,Восточный отдел
Отдел,WD,Западный отдел
Круглая,SF,Полуфинал
Зал,ЕС,Восточная конференция
Отдел,SE,Юго-восточный отдел
Воспроизведение,AVSF,Проиграл полуфинал Кубка АВКО
Воспроизведение,WSF,Потерянные полуфиналы WCHL
Воспроизведение,ПК,Выиграл Кубок Стэнли
Воспроизведение,AVQF,Проиграл четвертьфинала Кубка АВКО
Круглая,РГ,Западный плейофф
Воспроизведение,AVC,Выиграл Кубок АВКО
Круглая,QF,Четверо-финал
Круглая,Предварительно,Предварительные данные
Отдел,НО,Северо-западный отдел
Круглая,CQF,Квартира-финансы конференций
Круглая,DSF,Полуфинал
Отдел,ЭВ,Восточная дивизия WHA
Воспроизведение,НФЧМ,Проигранные финалы NHL
Воспроизведение,ЛСС,Вон Кубок Стэнли / Lost Challenge Series
Воспроизведение,СФК,Пропавшие полуфиналы конференции NHL
Отдел,СЕ,Центральный отдел
Воспроизведение,SF,Потерянные полуфиналы NHL
Отдел,АМ,Американский отдел
Зал,ВК,Западная конференция
Воспроизведение,DSF,Потерянные полуфиналы подкласса NHL
Отдел,АТ,Атлантический отдел
