coachid,year,tmid,lgid,stint,notes,g,w,l,t,postg,postw,postl,postt
boudrbr01c,2011,AND,NHL,2,,58,27,23,8,,,,
tippeda01c,2005,DAL,NHL,1,,82,53,23,6,5.0,1.0,4.0,0.0
constke01c,1994,SJS,NHL,1,,48,19,25,4,11.0,4.0,7.0,0.0
patrifr01c,1918,VML,PCHA,1,,20,12,8,0,2.0,1.0,1.0,0.0
ruffli01c,1998,BUF,NHL,1,,82,37,28,17,21.0,14.0,7.0,0.0
pulfobo01c,1977,CHI,NHL,1,,80,32,29,19,4.0,0.0,4.0,0.0
sonmogl01c,1976,MF2,WHA,1,,42,19,18,5,,,,
dineebi01c,1972,HOU,WHA,1,,78,39,35,4,10.0,4.0,6.0,0.0
gretzwa01c,2006,PHO,NHL,1,,82,31,46,5,,,,
burnspa01c,1991,MTL,NHL,1,,80,41,28,11,11.0,4.0,7.0,0.0
watsoph01c,1962,BOS,NHL,1,,14,1,8,5,,,,
carpedo01c,1986,NJD,NHL,1,,80,29,45,6,,,,
murrate01c,2000,FLO,NHL,1,,36,6,23,7,,,,
fergujo01c,1976,NYR,NHL,1,,80,29,37,14,,,,
deboepe01c,2008,FLO,NHL,1,,82,41,30,11,,,,
hartlbo01c,2007,ATL,NHL,1,,6,0,6,0,,,,
smithmi01c,1980,WIN,NHL,3,,23,2,17,4,,,,
muldope01c,1925,POR,WCHL,1,,30,12,16,2,,,,
filioma01c,1980,QUE,NHL,1,,6,1,3,2,,,,
mccrebi01c,1974,CLF,NHL,2,,32,8,20,4,,,,
burnspa01c,1994,TOR,NHL,1,,48,21,19,8,7.0,3.0,4.0,0.0
wilsoro02c,1996,ANA,NHL,1,,82,36,33,13,11.0,4.0,7.0,0.0
gerared01c,1925,MTM,NHL,1,,36,20,11,5,8.0,5.0,1.0,2.0
satorte01c,1985,NYR,NHL,1,,80,36,38,6,16.0,8.0,8.0,0.0
greente01c,1992,EDM,NHL,1,,84,26,50,8,,,,
greente01c,1993,EDM,NHL,1,,24,3,18,3,,,,
greente01c,1991,EDM,NHL,1,,80,36,34,10,16.0,8.0,8.0,0.0
perroje01c,1986,MTL,NHL,1,,80,41,29,10,17.0,10.0,7.0,0.0
keenami01c,2003,FLO,NHL,1,,15,5,8,2,,,,
mauripa01c,2009,CAR,NHL,1,,82,35,37,10,,,,
primejo01c,1951,TOR,NHL,1,,70,29,25,16,4.0,0.0,4.0,0.0
robinla01c,2001,NJD,NHL,1,,51,21,23,7,,,,
huculsa01c,1975,PHR,WHA,1,,80,39,35,6,5.0,2.0,3.0,0.0
gretzwa01c,2005,PHO,NHL,1,,82,38,39,5,,,,
mcleljo01c,1971,TOR,NHL,1,,78,33,31,14,5.0,1.0,4.0,0.0
nealeha01c,1981,VAN,NHL,1,,75,26,33,16,,,,
nealeha01c,1975,NEW,WHA,3,,12,5,6,1,17.0,10.0,7.0,0.0
dayha01c,1949,TOR,NHL,1,,70,31,27,12,7.0,3.0,4.0,0.0
parkbr01c,1985,DET,NHL,2,,45,9,34,2,,,,
nolante01c,1995,BUF,NHL,1,,82,33,42,7,,,,
gardnji01c,1910,MOW,NHA,1,,16,7,9,0,,,,
