year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l,t,goalswinner,goalsloser,note
2010,CQF,C,BOS,NHL,MTL,NHL,4,3,0,17,17,
2008,CF,М,PIT,NHL,CAR,NHL,4,0,0,20,9,
1954,ПКФ,C,DET,NHL,MTL,NHL,4,3,0,27,20,
1933,SF,D,CHI,NHL,MTM,NHL,2,0,0,6,2,ТГ
1932,SF,A,TOR,NHL,BOS,NHL,3,2,0,9,7,
1975,Предварительно,C,LAK,NHL,ATF,NHL,2,0,0,3,1,
1974,QF,,HOU,WHA,CLC,WHA,4,1,0,24,14,
2002,СФК,I,OTT,NHL,PHI,NHL,4,2,0,17,10,
1985,DSF,B,MTL,NHL,BOS,NHL,3,0,0,10,6,
1942,SF,A,DET,NHL,TOR,NHL,4,2,0,20,17,
1929,ПКФ,E,MTL,NHL,BOS,NHL,2,0,0,7,3,
2006,CQF,A,BUF,NHL,NYI,NHL,4,1,0,17,11,
1992,DF,L,LAK,NHL,VAN,NHL,4,2,0,26,25,
1992,DSF,Н,LAK,NHL,CAL,NHL,4,2,0,33,28,
1973,QF,C,PHI,NHL,ATF,NHL,4,0,0,17,6,
1984,DSF,D,NYI,NHL,WAS,NHL,3,2,0,14,12,
1994,СФК,L,CHI,NHL,VAN,NHL,4,0,0,11,6,
1989,CF,Н,EDM,NHL,CHI,NHL,4,2,0,25,20,
1987,DF,L,EDM,NHL,CAL,NHL,4,0,0,18,11,
1924,SF,,MTL,NHL,TRS,NHL,2,0,0,5,2,ТГ
2009,CQF,G,VAN,NHL,LAK,NHL,4,2,0,25,18,
1940,SF,D,DET,NHL,CHI,NHL,2,0,0,5,2,
1984,DSF,G,EDM,NHL,LAK,NHL,3,0,0,11,7,
1940,QF,B,DET,NHL,NYR,NHL,2,1,0,6,6,
2006,СФК,К,DET,NHL,SJS,NHL,4,2,0,13,9,
1977,QF,F,BOS,NHL,CHI,NHL,4,0,0,19,9,
1992,CF,М,MTL,NHL,NYI,NHL,4,1,0,16,11,
2009,CQF,E,SJS,NHL,COL,NHL,4,2,0,19,11,
1976,QF,E,MTL,NHL,STL,NHL,4,0,0,19,4,
1941,QF,B,BOS,NHL,CHI,NHL,2,1,0,5,7,
1979,Предварительно,A,PHI,NHL,EDM,NHL,3,0,0,12,6,
1972,QF,C,CHI,NHL,STL,NHL,4,1,0,22,9,
1975,Предварительно,B,NYI,NHL,VAN,NHL,2,0,0,8,4,
1990,DF,К,MNS,NHL,STL,NHL,4,2,0,22,17,
1976,DSF,,HOU,WHA,EDO,WHA,4,1,0,20,16,
2001,СФК,L,COL,NHL,SJS,NHL,4,3,0,25,21,
1984,CF,Н,EDM,NHL,CHI,NHL,4,2,0,44,25,
1988,DF,I,MTL,NHL,BOS,NHL,4,1,0,16,13,
1917,ПКФ,,TOA,NHL,VML,PCHA,3,2,0,18,21,
2001,CQF,D,TOR,NHL,NYI,NHL,4,3,0,22,21,
2005,CQF,A,OTT,NHL,TBL,NHL,4,1,0,23,13,
2005,CQF,G,ANA,NHL,CAL,NHL,4,3,0,17,16,
1922,F,,EDE,WCHL,REG,WCHL,1,0,1,4,3,ТГ
1918,F,,SEA,PCHA,VML,PCHA,1,1,0,7,5,ТГ
1999,CQF,C,TOR,NHL,OTT,NHL,4,2,0,17,10,
1935,ПКФ,E,DET,NHL,TOR,NHL,3,1,0,18,11,
1990,DF,I,BOS,NHL,MTL,NHL,4,3,0,18,18,
2003,CQF,D,TOR,NHL,OTT,NHL,4,3,0,14,11,
1987,DF,К,DET,NHL,STL,NHL,4,1,0,21,14,
1926,SF,D,BOS,NHL,NYR,NHL,1,0,1,3,1,ТГ
1998,ПКФ,O,DAL,NHL,BUF,NHL,4,2,0,13,9,
1986,DSF,F,DET,NHL,CHI,NHL,4,0,0,15,6,
1974,SF,J,BUF,NHL,MTL,NHL,4,2,0,21,29,
1974,QF,,QUN,WHA,PHR,WHA,4,1,0,23,12,
1992,CF,Н,LAK,NHL,TOR,NHL,4,3,0,22,23,
2002,CQF,Н,VAN,NHL,STL,NHL,4,3,0,17,21,
1971,QF,B,NYR,NHL,MTL,NHL,4,2,0,19,14,
1959,ПКФ,C,MTL,NHL,TOR,NHL,4,0,0,15,5,
1956,SF,B,MTL,NHL,NYR,NHL,4,1,0,22,12,
2002,CQF,E,DAL,NHL,EDM,NHL,4,2,0,20,11,
1993,CQF,E,SJS,NHL,DET,NHL,4,3,0,21,27,
1997,CQF,C,BUF,NHL,PHI,NHL,4,1,0,18,9,
1994,CQF,D,NJD,NHL,BOS,NHL,4,1,0,14,5,
1982,DSF,B,BUF,NHL,MTL,NHL,3,0,0,8,2,
1986,DSF,D,NYI,NHL,WAS,NHL,4,3,0,19,19,
1976,Предварительно,D,TOR,NHL,PIT,NHL,2,1,0,13,10,
2008,CQF,A,BOS,NHL,MTL,NHL,4,0,0,17,6,
1991,CF,Н,CHI,NHL,EDM,NHL,4,0,0,21,8,
1981,DSF,B,BOS,NHL,BUF,NHL,3,1,0,17,11,
1934,SF,A,TOR,NHL,BOS,NHL,3,1,0,7,2,
2007,СФК,К,DET,NHL,COL,NHL,4,0,0,21,9,
2008,CQF,B,WAS,NHL,NYR,NHL,4,3,0,19,11,
1996,CF,М,PHI,NHL,NYR,NHL,4,1,0,20,13,
2010,CQF,A,WAS,NHL,NYR,NHL,4,1,0,13,8,
1932,QF,B,DET,NHL,MTM,NHL,2,0,0,5,2,ТГ
1924,SF,,VIC,WCHL,SAS,WCHL,1,0,1,6,4,ТГ
1946,SF,A,MTL,NHL,BOS,NHL,4,1,0,16,10,
2009,CF,Н,CHI,NHL,SJS,NHL,4,0,0,13,7,
1982,DSF,B,BUF,NHL,MTL,NHL,3,0,0,8,2,
1977,РВК,,WIJ,WHA,NEW,WHA,4,0,0,24,8,
2003,CQF,F,SJS,NHL,STL,NHL,4,1,0,12,9,
2001,СФК,I,CAR,NHL,MTL,NHL,4,2,0,21,12,
1987,DF,I,BOS,NHL,MTL,NHL,4,1,0,15,10,
2000,СФК,L,STL,NHL,DAL,NHL,4,0,0,13,6,
1935,SF,D,TOR,NHL,NYA,NHL,2,1,0,6,3,
2002,CF,М,NJD,NHL,OTT,NHL,4,3,0,17,13,
2011,СФК,I,NYR,NHL,WAS,NHL,4,3,0,15,13,
1983,DSF,D,WAS,NHL,PHI,NHL,3,0,0,15,5,
1958,ПКФ,C,MTL,NHL,TOR,NHL,4,1,0,18,12,
2001,CF,Н,DET,NHL,COL,NHL,4,3,0,22,13,
1924,F,,VIC,WCHL,CAT,WCHL,1,0,1,3,1,ТГ
2007,CQF,F,SJS,NHL,CAL,NHL,4,3,0,19,17,
1985,CF,М,MTL,NHL,NYR,NHL,4,1,0,15,9,
1950,SF,A,MTL,NHL,DET,NHL,4,2,0,13,12,
1999,СФК,J,NJD,NHL,TOR,NHL,4,2,0,16,9,
1987,DSF,Н,EDM,NHL,WIN,NHL,4,1,0,25,17,
1945,ПКФ,C,MTL,NHL,BOS,NHL,4,1,0,19,13,
