resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,fastestlap,rank,fastestlaptime,fastestlapspeed,statusid
1171,72,27,18,21,19,13.0,13,13,0.0,52,,,12.0,19.0,1:42.465,194.747,14
20232,800,612,138,43,4,,R,24,0.0,165,,,,,,,31
6591,308,119,3,6,3,,R,17,0.0,42,,,,,,,20
4605,234,14,1,8,7,5.0,5,5,2.0,45,+42.196,4945613.0,,,,,1
10074,429,158,51,23,20,,R,24,0.0,6,,,,,,,101
15703,635,306,82,21,11,9.0,9,9,0.0,65,,,,,,,15
15232,616,332,58,16,20,,R,17,0.0,23,,,,,,,24
1281,78,14,9,14,12,7.0,7,7,2.0,69,,,17.0,16.0,1:16.414,205.454,11
9074,391,138,32,11,17,10.0,10,10,0.0,75,,,,,,,13
19249,800,596,129,27,31,18.0,18,18,0.0,193,,,,,,,17
20927,847,153,5,19,24,8.0,8,8,4.0,70,+35.964,14715501.0,69.0,13.0,1:20.371,195.339,1
7000,320,94,18,23,10,,R,21,0.0,8,,,,,,,20
11624,485,177,56,20,8,,R,21,0.0,4,,,,,,,69
19109,794,556,113,48,17,9.0,9,9,0.0,200,+7:09.81,14469340.0,,,,,1
18318,757,533,108,33,11,6.0,6,6,0.0,200,+3:16.98,13446180.0,,,,,1
12382,512,224,56,14,11,6.0,6,6,1.0,52,,,,,,,11
2635,144,58,18,20,22,,R,13,0.0,50,,,,,,,5
3873,200,44,20,11,10,,R,21,0.0,0,,,,,,,8
13416,549,211,64,24,19,,R,21,0.0,14,,,,,,,3
21994,893,819,207,20,19,19.0,19,19,0.0,60,,,58.0,10.0,1:50.990,164.285,11
8236,365,77,6,28,6,,R,15,0.0,56,,,,,,,6
10071,429,156,49,30,25,,R,21,0.0,17,,,,,,,5
11838,492,110,1,8,10,,R,23,0.0,4,,,,,,,4
22398,912,822,3,77,3,4.0,4,4,12.0,53,+40.786,4791022.0,50.0,5.0,1:28.559,235.490,1
17175,708,370,176,21,17,6.0,6,6,1.0,64,,,,,,,11
5826,282,65,32,12,13,10.0,10,10,0.0,44,,,,,,,11
4656,236,50,29,17,16,,R,16,0.0,11,,,,,,,3
6944,318,128,40,35,0,,F,30,0.0,0,,,,,,,81
9641,413,177,1,2,1,5.0,5,5,2.0,43,,,,,,,60
195,27,9,2,4,7,7.0,7,7,2.0,67,+22.682,5503556.0,17.0,6.0,1:16.610,214.937,1
22623,930,154,208,8,11,8.0,8,8,4.0,65,,,46.0,15.0,1:31.945,182.261,11
6970,319,109,35,22,12,,R,23,0.0,1,,,,,,,3
3996,206,30,6,3,1,,R,14,0.0,31,,,,,,,27
19184,797,666,125,36,14,,R,19,0.0,19,,,,,,,7
6220,296,109,35,21,17,9.0,9,9,0.0,67,,,,,,,12
12910,531,178,3,27,10,,R,16,0.0,29,,,,,,,44
3395,179,56,6,4,2,4.0,4,4,3.0,65,+30.182,5683847.0,,,,,1
15141,613,309,1,8,3,1.0,1,1,9.0,67,1:29:18.5,5358500.0,,,,,1
22850,942,807,10,27,6,,R,14,0.0,35,,,24.0,13.0,1:45.095,188.846,3
20468,343,18,1,1,4,2.0,2,2,18.0,58,+2.645,5330265.0,42.0,7.0,1:29.895,213.769,1
364,35,16,10,20,20,16.0,16,16,0.0,69,,,60.0,17.0,1:15.773,204.721,12
12023,499,173,32,12,7,2.0,2,2,6.0,40,+21.86,6023190.0,,,,,1
11641,486,176,57,14,21,9.0,9,9,0.0,59,,,,,,,11
15579,630,289,34,7,17,8.0,8,8,0.0,79,,,,,,,11
22280,906,813,208,13,17,,R,19,0.0,21,,,21.0,18.0,1:21.514,192.600,131
15538,628,290,34,28,15,,R,19,0.0,31,,,,,,,23
9258,398,166,25,4,24,12.0,12,12,0.0,47,,,,,,,13
11015,464,182,1,8,13,,R,20,0.0,24,,,,,,,10
1785,103,2,17,18,16,11.0,11,11,0.0,40,,,40.0,15.0,1:50.471,227.332,14
18888,784,623,105,16,13,6.0,6,6,0.0,88,,,,,,,88
10754,455,110,51,22,8,,R,14,0.0,45,,,,,,,80
8361,368,122,37,16,24,,R,23,0.0,25,,,,,,,5
3038,162,55,20,14,17,,R,20,0.0,1,,,,,,,4
18745,777,541,66,6,11,,R,9,0.0,60,,,,,,,5
9178,395,167,18,23,18,,R,10,0.0,28,,,,,,,5
21167,857,153,5,19,10,8.0,8,8,4.0,59,,,57.0,10.0,1:29.239,206.748,11
13954,568,238,37,10,7,,R,12,0.0,60,,,,,,,69
15824,640,333,199,23,20,,R,15,0.0,33,,,,,,,5
1292,78,21,4,6,4,,R,18,0.0,32,,,24.0,5.0,1:14.890,209.635,9
19463,809,512,143,56,33,,R,32,0.0,6,,,,,,,80
14423,586,275,37,29,25,7.0,7,7,0.0,14,+7:30.4,6524500.0,,,,,1
14113,574,233,37,34,6,5.0,5,5,2.0,59,+1:07.978,6228720.0,,,,,1
