playerid,awardid,yearid,lgid,tie,notes
furilca01,TSN All-Star,1953,ML,,В ЛЮБОЙ ЧАСТИ
robinfr02,TSN All-Star,1962,NL,,В ЛЮБОЙ ЧАСТИ
grubeke01,Gold Glove,1990,AL,,3B
mageesh01,Baseball Magazine All-Star,1910,NL,,LF
brancra01,TSN All-Star,1947,ML,,Р
wagneho01,Baseball Magazine All-Star,1908,ML,,СС
guerrpe01,World Series MVP,1981,ML,Y,
kellge01,Baseball Magazine All-Star,1947,AL,,3B
alexape01,Baseball Magazine All-Star,1923,ML,,С3
dyeje01,Babe Ruth Award,2005,AL,,В ЛЮБОЙ ЧАСТИ
cronijo01,Baseball Magazine All-Star,1933,ML,,СС
francju01,Silver Slugger,1991,AL,,2B
cartega01,Gold Glove,1980,NL,,C
cicoted01,Baseball Magazine All-Star,1919,AL,,С2
fellebo01,Baseball Magazine All-Star,1946,ML,,С1
cavarph01,TSN All-Star,1945,ML,,1B
musiast01,TSN All-Star,1948,ML,,В ЛЮБОЙ ЧАСТИ
ripkeca01,Gold Glove,1991,AL,,СС
musiast01,TSN All-Star,1944,ML,,В ЛЮБОЙ ЧАСТИ
kellge01,TSN All-Star,1952,ML,,3B
snidedu01,TSN Player of the Year,1955,NL,,
dickera01,TSN Pitcher of the Year,2012,NL,,
murcebo01,TSN All-Star,1973,AL,,В ЛЮБОЙ ЧАСТИ
burleri01,TSN All-Star,1977,AL,,СС
gibsobo01,Babe Ruth Award,1964,NL,,Р
willibe02,Gold Glove,1999,AL,,В ЛЮБОЙ ЧАСТИ
ripkeca01,Lou Gehrig Memorial Award,1992,ML,,
benchjo01,Most Valuable Player,1970,NL,,
uhlege01,TSN All-Star,1926,ML,,Р
parneme01,Baseball Magazine All-Star,1949,ML,,С4
martibi02,Babe Ruth Award,1953,AL,,2B
jonesdo01,TSN Fireman of the Year,1992,NL,Y,
oestero01,Hutch Award,1988,ML,,
speaktr01,Baseball Magazine All-Star,1912,AL,,В ЛЮБОЙ ЧАСТИ
suttebr01,TSN Fireman of the Year,1981,NL,,
applilu01,Baseball Magazine All-Star,1936,AL,,СС
parkeda01,TSN All-Star,1975,NL,,В ЛЮБОЙ ЧАСТИ
gehrich01,Baseball Magazine All-Star,1929,AL,,2B
speaktr01,Baseball Magazine All-Star,1921,AL,,В ЛЮБОЙ ЧАСТИ
bollifr01,Gold Glove,1958,AL,,2B
zitoba01,Cy Young Award,2002,AL,,
aloumo01,TSN All-Star,1994,NL,,В ЛЮБОЙ ЧАСТИ
parkeda01,TSN All-Star,1990,AL,,ДГ
heilmha01,Baseball Magazine All-Star,1925,AL,,RF
cashno01,TSN All-Star,1971,AL,,1B
lynnfr01,All-Star Game MVP,1983,ML,,
morrija02,Babe Ruth Award,1984,AL,,Р
davisma01,TSN Fireman of the Year,1989,NL,,
hornsro01,Baseball Magazine All-Star,1919,NL,,СС
riceji01,TSN All-Star,1979,AL,,В ЛЮБОЙ ЧАСТИ
collied01,Baseball Magazine All-Star,1909,ML,,2B
cartega01,Silver Slugger,1984,NL,,C
murraed02,Gold Glove,1984,AL,,1B
willite01,Baseball Magazine All-Star,1939,ML,,RF
bentola01,Baseball Magazine All-Star,1928,ML,,С2
ruffire01,Baseball Magazine All-Star,1938,AL,,С1
caminke01,Gold Glove,1995,NL,,3B
schmimi01,Gold Glove,1984,NL,,3B
ramirha01,Rookie of the Year,2006,NL,,
aparilu01,Gold Glove,1968,AL,,СС
wheatza01,Baseball Magazine All-Star,1924,ML,,LF
devliar01,Baseball Magazine All-Star,1910,NL,,3B
rolensc01,TSN All-Star,2002,NL,,3B
berrayo01,TSN All-Star,1954,ML,,C
manushe01,Baseball Magazine All-Star,1928,ML,,В ЛЮБОЙ ЧАСТИ
bellge02,Silver Slugger,1985,AL,,В ЛЮБОЙ ЧАСТИ
kleinch01,TSN Guide MVP,1931,NL,,
baylodo01,TSN All-Star,1986,AL,,ДГ
wegmabi01,Hutch Award,1991,ML,,
greenha01,Baseball Magazine All-Star,1935,ML,,1B
valenfe01,TSN Pitcher of the Year,1981,NL,,
grimebu01,Baseball Magazine All-Star,1929,NL,,С2
bluevi01,TSN All-Star,1971,AL,,LHP
traynpi01,Baseball Magazine All-Star,1926,ML,,3B
dyeje01,Gold Glove,2000,AL,,В ЛЮБОЙ ЧАСТИ
murphda05,Silver Slugger,1982,NL,,В ЛЮБОЙ ЧАСТИ
clemero01,Gold Glove,1971,NL,,В ЛЮБОЙ ЧАСТИ
metzgro01,Gold Glove,1973,NL,,СС
colavro01,TSN All-Star,1961,AL,,В ЛЮБОЙ ЧАСТИ
lemonbo01,Baseball Magazine All-Star,1948,AL,,С1
jonesan01,TSN Major League Player of the Year,2005,ML,,
luzingr01,TSN All-Star,1977,NL,,В ЛЮБОЙ ЧАСТИ
rizzuph01,TSN All-Star,1951,ML,,СС
cartega01,All-Star Game MVP,1981,ML,,
leachto01,Baseball Magazine All-Star,1909,NL,,CF
oneilst01,Baseball Magazine All-Star,1919,AL,,C
gibsobo01,Gold Glove,1970,NL,,Р
wilsoha01,TSN All-Star,1929,ML,,В ЛЮБОЙ ЧАСТИ
moseswa01,Baseball Magazine All-Star,1937,AL,,LF
groatdi01,TSN All-Star,1964,NL,,СС
moorejo02,Baseball Magazine All-Star,1934,NL,,LF
kaatji01,TSN Pitcher of the Year,1966,AL,,
ruthba01,Baseball Magazine All-Star,1930,ML,,RF
lyonste01,TSN All-Star,1927,ML,,Р
renteed01,Silver Slugger,2002,NL,,СС
grovele01,Baseball Magazine All-Star,1928,AL,,С4
smithle02,Rolaids Relief Man Award,1991,NL,,
spencji01,Gold Glove,1970,AL,,1B
willima04,Silver Slugger,1993,NL,,3B
higgipi01,Baseball Magazine All-Star,1935,AL,,3B
riddlel01,Baseball Magazine All-Star,1943,NL,,С3
mayswi01,TSN Player of the Year,1965,NL,,
floodcu01,Gold Glove,1963,NL,,В ЛЮБОЙ ЧАСТИ
lopezja01,TSN All-Star,2003,NL,,C
fregoji01,Gold Glove,1967,AL,,СС
warnelo01,Baseball Magazine All-Star,1935,NL,,С3
fiskca01,TSN All-Star,1983,AL,,C
campbbi02,Rolaids Relief Man Award,1977,AL,,
travice01,TSN All-Star,1941,ML,,СС
riceji01,Silver Slugger,1983,AL,,В ЛЮБОЙ ЧАСТИ
thornan01,Roberto Clemente Award,1979,ML,,
trammal01,TSN All-Star,1988,AL,,СС
derripa01,TSN All-Star,1940,ML,,Р
fieldpr01,Silver Slugger,2012,AL,,1B
houttar01,Baseball Magazine All-Star,1950,AL,,С3
grissma02,Gold Glove,1996,NL,,В ЛЮБОЙ ЧАСТИ
willite01,TSN All-Star,1948,ML,,В ЛЮБОЙ ЧАСТИ
speaktr01,Baseball Magazine All-Star,1923,ML,,В ЛЮБОЙ ЧАСТИ
yastrca01,TSN All-Star,1967,AL,,В ЛЮБОЙ ЧАСТИ
sainjo01,Baseball Magazine All-Star,1948,ML,,С2
flanami01,Cy Young Award,1979,AL,,
belleal01,TSN All-Star,1996,AL,,В ЛЮБОЙ ЧАСТИ
bergewa01,TSN All-Star,1933,ML,,В ЛЮБОЙ ЧАСТИ
gehrilo01,Most Valuable Player,1936,AL,,
slaugen01,Baseball Magazine All-Star,1949,NL,,RF
pennohe01,Baseball Magazine All-Star,1925,AL,,С4
johnswa01,Baseball Magazine All-Star,1918,AL,,С2
guidrro01,TSN Major League Player of the Year,1978,ML,,
gosligo01,TSN All-Star,1926,ML,,В ЛЮБОЙ ЧАСТИ
larkiba01,TSN All-Star,1988,NL,,СС
warnelo01,Baseball Magazine All-Star,1933,NL,,С4
guerrvl01,Silver Slugger,2000,NL,,В ЛЮБОЙ ЧАСТИ
fernato01,Gold Glove,1988,AL,,СС
conceda01,TSN All-Star,1981,NL,,СС
fossera01,Gold Glove,1971,AL,,C
edmonji01,Gold Glove,1997,AL,,В ЛЮБОЙ ЧАСТИ
walkela01,Silver Slugger,1997,NL,,В ЛЮБОЙ ЧАСТИ
turlebo01,TSN Pitcher of the Year,1958,AL,,
