id,lgid,teamid,franchid,name,park
109,AL,TOR,TOR,Торонтские синие джеи,Центр Роджерс
311,UA,SLU,SLM,Сент-Луис Марунс,
226,NL,LS1,LGR,Луисвилл Грейс,Бейсбольный парк Луизвилла
137,,ELI,RES,Элизабет Резолютес,Ярмарки Вейверли
97,AL,SEA,SEA,Морские пехотинцы Сиэтла,Полевое поле Королевства/ &lt; &lt; Сейфко &gt; &gt;
202,NL,CL2,CBL,Блюз Кливленда,Парк Кеннард Стрит
72,AL,LAA,ANA,Лос-Анджелесские ангелы,Стадион Dodger
33,AA,SR2,SYS,Звезды Сиракуз,Звёздный парк II
49,AL,CHA,CHW,Чикаго Уайт Сокс,Парк Комиски
184,NL,CHN,CHC,Чикагские кольты,Вестсайдский парк II
221,NL,IN3,IND,Индианаполис Хусье,Атлетический парк I
256,NL,PHI,PHI,Филадельфийские квакеры,Парк отдыха
181,NL,BSN,ATL,Бостонские растлители,South End Groups III
44,AL,BOS,BOS,Бостонский ред Сокс,Парк Фенвей I
54,AL,CLE,CLE,Блюз Кливленда,Парк I Лиги
19,AA,LS2,LOU,Полковники Луисвиля,Парк I Eclipse
73,AL,LAA,ANA,Лос-Анджелесские ангелы,Уригли Филд (ЛА)
23,AA,NY4,NYP,Города Нью-Йорка,Сент-Джордж Крикет Земля
118,FL,BRF,BTT,Бруклинские таблетки,
48,AL,CAL,ANA,Калифорнийские ангелы,Стадион Dodger
264,NL,PIT,PIT,Питтсбургские пираты,Три речного стадиона
170,NL,BRO,LAD,Бруклинский супербас,Вашингтон Парк III
288,NL,TRN,TRT,Тройские троянцы,Путнам Земля
66,AL,DET,DET,&lt; &lt; Тигры Детройта &gt; &gt;,Поле Навина
189,NL,CHN,CHC,Белые чулки Чикаго,Озерный фронт Парк I
280,NL,SLN,STL,Кардиналы Сент-Луиса,Стадион &lt; &lt; Автобус III &gt; &gt;
257,NL,PHN,ATH,Филадельфия Атлетика,Земля Джефферсона
35,AA,TL2,TLM,Толедо Маумес,Парк &lt; &lt; Сперанза &gt; &gt;
299,PL,CLP,CLI,Кливлендские младенцы,
89,AL,OAK,OAK,Аклендская атлетика,О.ко Колизей
105,AL,TEX,TEX,Техасские рейнджеры,Рейнджеры Баллпарк в Арлингтоне
291,NL,WAS,WSN,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,Национальный парк
262,NL,PIT,PIT,Питтсбургские пираты,Стадион Forbes Field/Three Rivers
122,FL,CHF,CHH,Чикагские киты,Филд Уригли
190,NL,CHN,CHC,Белые чулки Чикаго,Озерный парк I/Лейк Фронт Парк II
136,,CL1,CFC,Кливлендские лесные города,Национальная ассоциация &lt; &lt; Земля &gt; &gt;
298,PL,CHP,CHP,Чикагские пираты,
39,AL,ANA,ANA,Анахеймские ангелы,Международная организация &lt; &lt; Эдисон &gt; &gt;
300,PL,NYP,NYI,Нью-Йорк Гиганты,
57,AL,CLE,CLE,Индейцы Кливленда,Джейкобс Филд
219,NL,HOU,HOU,Хьюстон Кольт 45-й.,Стадион кольта
150,,TRO,TRO,Трой Хеймерс,Земля хеймеров
284,NL,SLN,STL,Кардиналы Сент-Луиса,Парк IV/Башский стадион II
58,AL,CLE,CLE,Индейцы Кливленда,&lt; &lt; Парк II Лиги &gt; &gt;
101,AL,TBA,TBD,Тампа-Бей Дьявол-Рэйс,Тропиканское поле
230,NL,MIL,MIL,Милуоки Брюэрс,Окружной стадион
304,UA,BLU,BLU,Памятные памятники Балтимора,
209,NL,DTN,DTN,&lt; &lt; Детройт &gt; &gt;,Парк отдыха
196,NL,CIN,CIN,Красные Цинциннати,Crosley Field/Riverfront Stadium
160,NL,BFN,BUF,Баффало Бизонс,Парк Риверсайд
56,AL,CLE,CLE,Индейцы Кливленда,Стадион Кливленда
120,FL,BUF,BFL,Буффало Баффеды,
135,,CH2,CNA,Белые чулки Чикаго,23-я улица
273,NL,SFN,SFG,Сан-Франциско Гиганты,Парк SBC
78,AL,MIN,MIN,Близнецы из Миннесоты,Целевая группа на местах
245,NL,NYN,NYM,Нью-Йорк Метс,Поло Земля IV
178,NL,BSN,ATL,Бостонские храбрые,South End Groups III
