playerid,yearid,stint,glf,gcf,grf
hoganwi01,1912,1,91.0,4.0,4.0
keltyjo01,1890,1,59.0,0.0,0.0
millebi02,1935,1,1.0,0.0,28.0
ortizro01,1942,1,1.0,0.0,8.0
delsiji01,1949,1,0.0,5.0,0.0
gardngi01,1880,1,0.0,1.0,0.0
hattogr01,1948,1,1.0,0.0,0.0
thompto02,1936,1,10.0,22.0,7.0
dorgami01,1877,1,20.0,1.0,29.0
ryanji01,1890,1,0.0,118.0,0.0
mitchda01,1949,1,149.0,0.0,0.0
walketi01,1912,1,3.0,6.0,22.0
hartsto01,1903,1,94.0,2.0,0.0
mccorha01,1881,1,0.0,0.0,3.0
collizi01,1921,1,0.0,20.0,0.0
oconnpa01,1886,1,0.0,41.0,0.0
clarkal01,1953,1,0.0,0.0,19.0
mullipa01,1953,1,10.0,0.0,4.0
roweja01,1885,1,0.0,12.0,0.0
bressru01,1932,1,18.0,0.0,0.0
mageesh01,1907,1,139.0,0.0,0.0
jones02,1884,1,4.0,0.0,0.0
crabtes01,1933,1,0.0,4.0,3.0
minosmi01,1949,1,0.0,0.0,7.0
dusaker01,1941,1,1.0,2.0,1.0
buncejo01,1877,1,1.0,0.0,0.0
cavarph01,1944,1,0.0,13.0,0.0
jensewo01,1932,1,1.0,0.0,0.0
fewstch01,1922,1,35.0,4.0,0.0
beeched01,1891,1,52.0,6.0,0.0
youngro01,1921,1,0.0,0.0,137.0
wanerll01,1938,1,0.0,144.0,0.0
wriglze01,1898,1,0.0,2.0,1.0
davisda01,1884,2,0.0,1.0,0.0
vollmcl01,1948,2,0.0,1.0,0.0
mooreed01,1927,1,1.0,11.0,4.0
elybo01,1886,1,4.0,1.0,0.0
tiernmi01,1889,1,0.0,1.0,122.0
matthwi02,1924,1,1.0,43.0,0.0
whittpo01,1914,2,,38.0,
rosenha01,1930,1,0.0,2.0,1.0
dalryab01,1887,1,92.0,0.0,0.0
geierph01,1901,1,6.0,14.0,30.0
wolfji01,1890,1,0.0,0.0,123.0
rennabi01,1953,1,32.0,5.0,3.0
richbla01,1928,1,0.0,0.0,148.0
hurleje01,1889,1,0.0,0.0,1.0
bechtge01,1873,1,0.0,1.0,51.0
rosenla01,1941,2,5.0,8.0,1.0
demarfr02,1944,1,15.0,0.0,1.0
milledo01,1887,1,2.0,11.0,1.0
kellech01,1942,1,152.0,0.0,0.0
northhu01,1911,2,0.0,19.0,0.0
cervbo01,1955,1,13.0,7.0,1.0
johnsbi02,1917,1,2.0,1.0,27.0
bordafr01,1944,1,5.0,15.0,8.0
bechtge01,1876,2,0.0,2.0,0.0
johnsro02,1935,1,142.0,0.0,0.0
maierbo01,1945,1,5.0,0.0,0.0
pyburji01,1955,1,0.0,0.0,1.0
derryru01,1945,1,10.0,44.0,15.0
dugeyos01,1917,1,1.0,2.0,0.0
richbla01,1927,1,0.0,3.0,107.0
crossla01,1887,1,3.0,1.0,6.0
fothebo01,1925,1,40.0,16.0,4.0
boyleja01,1888,1,0.0,1.0,0.0
batesra01,1913,1,0.0,2.0,0.0
bielaos01,1875,1,4.0,0.0,48.0
crossla01,1892,1,8.0,17.0,0.0
seymocy01,1902,1,0.0,3.0,70.0
clymeot01,1905,1,4.0,0.0,85.0
murphed02,1918,1,1.0,0.0,62.0
leibeha01,1936,1,7.0,78.0,1.0
sebriji01,1909,2,0.0,1.0,0.0
boninlu01,1914,1,0.0,0.0,20.0
terry01,1875,1,0.0,1.0,2.0
kennebo01,1947,1,14.0,1.0,91.0
colemed01,1934,1,0.0,0.0,86.0
reardje02,1886,2,0.0,1.0,0.0
smithsh01,1917,1,1.0,2.0,0.0
mcintha01,1905,1,0.0,0.0,5.0
umphlto01,1954,1,12.0,4.0,86.0
armbrha01,1906,1,0.0,40.0,34.0
hermage01,1951,2,3.0,0.0,60.0
murphfr01,1901,1,45.0,0.0,0.0
stonejo01,1936,1,109.0,0.0,6.0
brickfr01,1927,1,1.0,0.0,2.0
remseja01,1875,1,0.0,81.0,5.0
wertzvi01,1951,1,0.0,0.0,131.0
weintph01,1935,1,1.0,0.0,6.0
mcneeea01,1928,1,2.0,1.0,118.0
grantge01,1929,1,19.0,0.0,0.0
burchal01,1910,1,0.0,26.0,45.0
groombo01,1909,1,0.0,0.0,0.0
seyboso01,1899,1,3.0,0.0,19.0
dolanjo02,1901,2,0.0,0.0,1.0
marshfr01,1952,2,2.0,0.0,0.0
straujo02,1886,2,7.0,0.0,0.0
quinnjo02,1896,2,1.0,1.0,6.0
stewabu01,1949,1,75.0,16.0,20.0
colemed01,1935,2,0.0,0.0,102.0
sullide02,1909,1,0.0,0.0,2.0
clarkfr01,1894,1,75.0,0.0,0.0
tucketo01,1889,1,0.0,11.0,1.0
sullibi04,1932,1,1.0,0.0,2.0
ryderto01,1884,1,5.0,3.0,0.0
bigbeca01,1918,1,87.0,0.0,5.0
bladera01,1922,1,28.0,0.0,1.0
clarkal01,1948,1,21.0,0.0,44.0
learyja01,1881,1,0.0,1.0,1.0
soltemo01,1938,1,40.0,0.0,6.0
milnepe01,1948,1,2.0,5.0,2.0
gettmja01,1897,1,0.0,0.0,36.0
mokanjo01,1921,1,6.0,0.0,7.0
moseswa01,1937,1,0.0,0.0,154.0
drillle01,1902,1,1.0,0.0,3.0
walkedi02,1931,1,1.0,0.0,1.0
mcguide01,1888,3,0.0,0.0,3.0
ginnti01,1914,1,0.0,0.0,0.0
swarted01,1883,1,0.0,31.0,6.0
cramedo01,1929,1,1.0,0.0,0.0
burkeje01,1892,1,145.0,0.0,0.0
johnsji01,1925,1,2.0,0.0,18.0
doughpa01,1911,1,56.0,0.0,0.0
johnsbo01,1938,1,29.0,122.0,0.0
donlimi01,1905,1,4.0,147.0,0.0
wilsohi01,1903,1,,,
smithal01,1898,1,17.0,5.0,5.0
whitejo01,1934,1,1.0,93.0,6.0
ruthba01,1932,1,44.0,0.0,87.0
mowryjo01,1935,1,30.0,2.0,13.0
straujo02,1886,1,67.0,6.0,1.0
daleybi01,1890,1,2.0,0.0,1.0
holdsji01,1875,1,0.0,43.0,2.0
lynchmi01,1902,1,0.0,7.0,0.0
leachto01,1909,1,0.0,138.0,0.0
altroni01,1929,1,0.0,0.0,1.0
barrysh01,1901,2,3.0,9.0,1.0
deckege01,1896,1,67.0,3.0,1.0
brownto01,1898,1,0.0,15.0,0.0
marsaar01,1914,1,36.0,0.0,0.0
averiea01,1933,1,0.0,149.0,0.0
mathebo01,1881,2,1.0,9.0,9.0
milledo01,1894,1,2.0,0.0,2.0
summaho01,1929,1,18.0,0.0,16.0
milleha01,1924,1,32.0,0.0,0.0
crawfsa01,1913,1,0.0,0.0,140.0
nelsoca01,1890,1,0.0,0.0,4.0
sullijo04,1921,2,63.0,1.0,1.0
leonaan01,1875,1,73.0,0.0,0.0
bodiepi01,1920,1,0.0,129.0,0.0
thompsa01,1887,1,0.0,0.0,127.0
whitede01,1887,1,3.0,0.0,0.0
taylobi01,1882,1,0.0,6.0,2.0
riverji01,1952,2,0.0,53.0,0.0
selbaki01,1902,1,127.0,0.0,0.0
holmeto01,1945,1,32.0,2.0,121.0
kellyki01,1887,1,1.0,0.0,61.0
sundabi01,1890,2,0.0,31.0,0.0
