schoolid,schoolname,schoolcity,schoolstate,schoolnick
depaul,Университет ДеПола,Чикаго,Ил,Синие демоны
sterlingks,Стерлингский университет,Стерлинг,KS,Воины
huntercuny,"Охотничий колледж, Университет города Нью-Йорка",Нью-Йорк,Нью-Йорк,Ястребы
manchester,Манчестерский колледж,Северный Манчестер,ВНУТРЕННИЕ,Спартанцы
airforce,Академия военно-воздушных сил Соединенных Штатов,Колорадо Спрингс,CO,Соколы
alabamaam,Алабамский университет АиМ,Обычный,AL,Бульдоги
michiganst,Мичиганский государственный университет,Восточная Лансинг,МИ,Спартанцы
salemintl,Международный университет Салема,Салем,WV,Тигры
nyoneonta,Колледж Государственного университета в Одинонте,Одинонта,Нью-Йорк,Красные драконы
baylor,Бейлорский университет,Вако,TX,Медведи
warnerpac,Тихоокеанский колледж &lt; &lt; Уорнер &gt; &gt;,Портленд,ИЛИ,Рыцари
loyolano,Новый Орлеанский университет Лойола,Новый Орлеан,Лос-Анджелес,Вольфпак
syracuse,Сиракузский университет,Сиракуз,Нью-Йорк,Апельсины
etxbaptist,Баптистский университет Восточного Техаса,Маршалл,TX,Тигры
wiscmilw,Университет Висконсин-Милуоки,Милуоки,ЖИ,Пантеры
neillinois,Северо-восточный Иллинойский университет,Чикаго,Ил,
ohwesleyan,Университет Огайо Уэслиана,Делавэр,Ооо.,Бродячие епископы
nyfredonia,Колледж Нью-Йоркского университета в Фредонии,Фредония,Нью-Йорк,Голубые дьяволы
upperiowa,Верхний университет Айовы,Фейетт,IA,Павлины
villanova,Университет Вильяновой,Вильянова,ПА,Дикие кошки
nebkearney,Университет Небраски в Керни,Керни,Нет,Лоуперс
lacollege,Колледж Луизианы,Пайнвиль,Лос-Анджелес,Дикие кошки
wheatonma,Колледж Уитона (Масс),Уитон,МЭТ,Лионы
tarletonst,Тарлтонский государственный университет,Стивенвилль,TX,Техасцы
nycortland,Колледж Нью-Йоркского университета в Кортланде,Кортленд,Нью-Йорк,Красные драконы
cornell,Корнельский университет,Итака,Нью-Йорк,Большой красный
auburnmont,Университет Оберна в Монтгомери,Монтгомери,AL,Сенаторы
lee,Университет Ли,Кливленд,TN,Пламя
georgetown,Джорджтаунский университет,Вашингтон,РС,Hoyas
blackbrnil,Колледж Блэкберн,Карлинвилль,Ил,Бэтлин Биверс
latech,Технологический университет Луизианы,Рустон,Лос-Анджелес,Бульдоги
azusapac,Тихоокеанский университет Азузы,Азуза,КА,Кугары
rosehulman,Технологический институт Роуз-Хулман,&lt; &lt; Терра хаут &gt; &gt;,ВНУТРЕННИЕ,Инженеры
purdue,Университет Пурду,Западный Лафайетт,ВНУТРЕННИЕ,Котлоагрегаты
indpolis,Индианаполисский университет,Индианаполис,ВНУТРЕННИЕ,Грейхаунды
ballst,Университет штата Болл,Манси,ВНУТРЕННИЕ,Кардиналы
pace,Университет Пейс,Нью-Йорк,Нью-Йорк,Заряды
charlsouth,Южный университет Чарльстона,Чарльстон,ПК,Букканеры
delaware,Университет Делавэра,Ньюарк,DE,Синие курицы
brewparker,Колледж Брютон-Паркер,Гора Вернон,GA,Бароны
wiscgbay,Университет Висконсин-Зеленый залив,Зеленый залив,ЖИ,Феникс
glenvilst,Гленвильский государственный колледж,Гленвилль,WV,Пионеры
wesleyanct,Уэслианский университет,Мидлтаун,КТ,Кардиналы
philly,Филадельфийский университет,Филадельфия,ПА,Рамс
stmartinwa,Колледж Святого Мартина,Лейси,WA,Святые
holycross,Колледж Святого Креста,Вихрь,МЭТ,Крестоносцы
floridaam,Флоридский сельскохозяйственный и механический университет,Таллахасси,ФЛ,Крысы
georgefox,Университет Джорджа Фокса,Ньюберг,ИЛИ,Бруины
bostonuniv,Бостонский университет,Бостон,МЭТ,Терьеры
juniatapa,Колледж Джуниата,Хантингдон,ПА,Орлы
lorasia,Колледж Лораса,Дюбук,IA,Дохауки
kansas,Канзасский университет,Лоуренс,KS,Джейхокс
cmissouri,Центральный государственный университет Миссури,Уорренсбург,МО,Мулы
abilchrist,Абилинский христианский университет,Абилин,TX,Дикие кошки
jacksonvil,Университет Джексонвиля,Джексонвилль,ФЛ,Дельфины
nillinois,Северный Иллинойский университет,DeKalb,Ил,Хаски
wiwhitewtr,Висконсинский университет - белая вода,Белая вода,ЖИ,Вархауки
gonzaga,Университет Гонзага,Спокан,WA,Бульдоги
uab,Университет Алабамы в Бирмингеме,Бирмингем,AL,Блейзеры
txchrist,Техасский христианский университет,Жилье стоит,TX,Рыжие лягушатники
oakland,Оклендский университет,Рочестер,МИ,Гризли
shorterga,Более короткий колледж,Рим,GA,Ястребы
utpanam,Техасский и Панамериканский университет,Эдинбург,TX,Бронки
stleo,Сент-Леоский университет,Святой Лео,ФЛ,Львы
salabama,Университет Южной Алабамы,Мобильный,AL,Ягуары
psubehrend,"Пенсильванский государственный университет Эри, Бехрендский колледж",Эри,ПА,Львы
denver,Денверский университет,Денвер,CO,Пионеры
wyoming,Университет Вайоминга,Ларами,WY,Ковбои
mtstmarys,Колледж и семинария Маунт-Сент-Мэри,Эммитсбург,MD,Горные горы
sacstate,"Калифорнийский государственный университет, Сакраменто",Сакраменто,КА,Шершень
gatech,Грузинский технологический институт,Атланта,GA,Желтые пекарни
csstanisl,"Калифорнийский государственный университет, Станислаус",Черепаха,КА,Воины
unc,Университет Северной Каролины,Чапел Хилл,НС,Тарелки
stetson,Стетсонский университет,Обезвреживание,ФЛ,Шляпы
hobartny,Хобарт и Уильям Смит колледжи,Женева,Нью-Йорк,Государственные деятели
ulala,Университет Луизианы в Лафайетте,Лафайетт,Лос-Анджелес,Волшебные каджуны
stmarysca,Колледж Святой Марии в Калифорнии,Морага,КА,Галстук
ecentralok,Восточный центральный университет,Ада,Хорошо.,Тигры
smethodist,Южный методистский университет,Даллас,TX,Мустанги
calutheran,Калифорнийский лютеранский университет,Тысяча огурцов,КА,Корольцы
illinoisst,Иллинойский государственный университет,Обычный,Ил,Красные птицы
sanfran,Университет Сан-Франциско,Сан-Франциско,КА,Доны
nmexico,Университет Нью-Мексико,Альбукерке,НМ,Лобос
biolaca,Университет &lt; &lt; Биола &gt; &gt;,Ла Мирада,КА,Орлы
ouachitab,Баптистский университет Уачита,Аркадельфия,ОАР,Тигры
georgtwnky,Джорджтаунский колледж,Джорджтаун,KY,Тигры
tntech,Технологический университет Теннесси,Кукевиль,TN,Золотые орехи
fltech,Флоридский технологический институт,Мельбурн,ФЛ,Пантеры
austinpeay,Остинский государственный университет,Кларксвилль,TN,Губернаторы
uscaiken,Университет Южной Каролины Айкен,Айкен,ПК,Пейцеры
stbonny,Сент-Бонатурский университет,Сент-Бонатура,Нью-Йорк,Бонни
stfranpa,Университет Сент-Фрэнсиса,Лоретто,ПА,Красный Флэш
utchat,Теннессийский университет в Чаттануге,Чаттануга,TN,Мокры
emoryga,Университет им. Эмори,Атланта,GA,Орлы
riogrande,Университет Рио-Гранде,&lt; &lt; Рио Гранде &gt; &gt;,Ооо.,Редмены
benedctnks,Бенедиктский колледж,Атчисон,KS,Вороны
shaw,Университет Шоу,Роли,НС,Медведи
stthomasmn,Университет Сент-Томаса,Сент-Пол,МН,Томми
michigan,Мичиганский университет,Энн Арбор,МИ,Извержение
centok,Центральный Оклахомский университет,Эдмонд,Хорошо.,Бронхос
butler,Батлерский университет,Индианаполис,ВНУТРЕННИЕ,Бульдоги
jksonvilst,Джексонвильский государственный университет,Джексонвилль,AL,Игровые петухи
longwoodva,Лонгвудский университет,Фермвилль,VA,Лансеры
morehead,Морехедский государственный университет,Морехед,KY,Орлы
silledward,Университет Южного Иллинойса,Эдвардсвилль,Ил,Кугары
albertsnid,Альбертсонский колледж Айдахо,Колдвелл,Идентификационный номер,Койоты
cornellia,Корнеллский колледж,Гора Вернон,IA,Рамс
emoryhenry,Колледж Эмори и Генри,Эмори,VA,Осы
edinboro,Пенсильванский университет им. Эдинборо,Эдинборо,ПА,Борьба со шотландцами
missvalley,Государственный университет долины Миссисипи,Итта Бена,MS,Дельта Дьяволов
elizbthtwn,Элизабеттаунский колледж,Элизабеттаун,ПА,Голубые Джеи
schreiner,Университет Шрейнера,Керрвилль,TX,Горные горы
