managerid,yearid,teamid,lgid,inseason,g,w,l,rank,plyrmgr
collied01m,1925,CHA,AL,1,154,79,75,5,Y
aloufe01m,1995,MON,NL,1,144,66,78,5,Н
rolfere01m,1950,DET,AL,1,157,95,59,2,Н
fregoji01m,1978,CAL,AL,2,117,62,55,2,Н
tennefr02m,1911,BSN,NL,1,156,44,107,8,Y
penato01m,2004,KCA,AL,1,162,58,104,5,Н
fregoji01m,1988,CHA,AL,1,161,71,90,5,Н
hallmbi01m,1897,SLN,NL,3,50,13,36,12,Y
mauchge01m,1985,CAL,AL,1,162,90,72,2,Н
ganzejo01m,1915,BRF,FL,2,35,17,18,7,Н
boudrlo01m,1946,CLE,AL,1,156,68,86,6,Y
hargrmi01m,2002,BAL,AL,1,162,67,95,4,Н
ansonca01m,1881,CHN,NL,1,84,56,28,1,Y
bellbu01m,2002,COL,NL,1,22,6,16,4,Н
lefebji01m,1999,MIL,NL,2,49,22,27,5,Н
gleaski01m,1922,CHA,AL,1,155,77,77,5,Н
frankhe01m,1978,CHN,NL,1,162,79,83,3,Н
paborch01m,1875,BR2,,1,42,2,40,12,Y
manueje01m,2002,CHA,AL,1,162,81,81,2,Н
torrejo01m,1979,NYN,NL,1,163,63,99,6,Н
morrijo01m,1889,WS8,NL,1,51,13,38,8,Y
tannech01m,1970,CHA,AL,3,16,3,13,6,Н
moranpa01m,1923,CIN,NL,1,154,91,63,2,Н
mcgeami01m,1880,PRO,NL,1,16,8,7,2,Y
mackco01m,1930,PHA,AL,1,154,102,52,1,Н
metroch01m,1970,KCA,AL,1,52,19,33,4,Н
sciosmi01m,2008,LAA,AL,1,162,100,62,1,Н
vernomi01m,1961,WS2,AL,1,161,61,100,9,Н
edwardo01m,1987,CLE,AL,2,75,30,45,7,Н
lachere01m,1981,SEA,AL,2,85,38,47,5,Н
stanked01m,1955,SLN,NL,1,36,17,19,7,Н
huggimi01m,1913,SLN,NL,1,153,51,99,8,Y
sawyeed99m,1951,PHI,NL,1,154,73,81,5,Н
greenda02m,1996,NYN,NL,1,131,59,72,4,Н
stallge01m,1917,BSN,NL,1,158,72,81,6,Н
larusto01m,1986,OAK,AL,3,79,45,34,3,Н
lefebji01m,1989,SEA,AL,1,162,73,89,6,Н
berrayo01m,1964,NYA,AL,1,164,99,63,1,Н
dressch01m,1952,BRO,NL,1,155,96,57,1,Н
slattja01m,1928,BSN,NL,1,31,11,20,7,Н
kaskoed01m,1971,BOS,AL,1,162,85,77,3,Н
mackco01m,1903,PHA,AL,1,137,75,60,2,Н
schmegu99m,1888,CN2,AA,1,137,80,54,4,Н
crandde01m,1984,SEA,AL,1,135,59,76,5,Н
coxbo01m,2003,ATL,NL,1,162,101,61,1,Н
chapmbe01m,1946,PHI,NL,1,155,69,85,5,Y
trebeto99m,1986,ML4,AL,2,9,6,3,6,Н
lasorto01m,1993,LAN,NL,1,162,81,81,4,Н
frankhe01m,1965,SFN,NL,1,163,95,67,2,Н
robinfr02m,2006,WAS,NL,1,162,71,91,5,Н
mccarjo99m,1936,NYA,AL,1,155,102,51,1,Н
stengca01m,1950,NYA,AL,1,155,98,56,1,Н
alstowa01m,1975,LAN,NL,1,162,88,74,2,Н
cushmch99m,1891,ML3,AA,1,36,21,15,3,Н
whitejo01m,1960,CLE,AL,2,1,1,0,4,Н
fergubo01m,1881,TRN,NL,1,85,39,45,5,Y
dooinre01m,1912,PHI,NL,1,152,73,79,5,Y
spaldal01m,1877,CHN,NL,1,60,26,33,5,Y
mooreja01m,1984,OAK,AL,2,118,57,61,4,Н
tannech01m,1974,CHA,AL,1,163,80,80,4,Н
shettbi99m,1901,PHI,NL,1,140,83,57,2,Н
leylaji99m,2009,DET,AL,1,163,86,77,2,Н
lucchfr99m,1976,TEX,AL,1,162,76,86,4,Н
fregoji01m,1999,TOR,AL,1,162,84,78,3,Н
mckecbi01m,1928,SLN,NL,1,154,95,59,1,Н
lopezal01m,1957,CHA,AL,1,155,90,64,2,Н
dykesji01m,1941,CHA,AL,1,156,77,77,3,Н
lasorto01m,1979,LAN,NL,1,162,79,83,3,Н
mcnamjo99m,1986,BOS,AL,1,161,95,66,1,Н
mckecbi01m,1924,PIT,NL,1,153,90,63,3,Н
garneph01m,1998,MIL,NL,1,162,74,88,5,Н
schoere01m,1971,SLN,NL,1,163,90,72,2,Н
yostne01m,2008,MIL,NL,1,150,83,67,2,Н
showabu99m,1998,ARI,NL,1,162,65,97,5,Н
mackco01m,1947,PHA,AL,1,156,78,76,5,Н
clarkfr01m,1906,PIT,NL,1,154,93,60,3,Y
robinfr02m,1977,CLE,AL,1,57,26,31,5,Н
stanked01m,1966,CHA,AL,1,163,83,79,4,Н
tracyji01m,2006,PIT,NL,1,162,67,95,5,Н
mauchge01m,1987,CAL,AL,1,162,75,87,7,Н
hanlone01m,1899,BRO,NL,1,150,101,47,1,Н
showabu99m,2000,ARI,NL,1,162,85,77,3,Н
grammal01m,1976,ML4,AL,1,161,66,95,6,Н
dressch01m,1936,CIN,NL,1,154,74,80,5,Н
coxbo01m,1994,ATL,NL,1,114,68,46,2,Н
stahlja01m,1906,WS1,AL,1,151,55,95,7,Y
schefbo01m,1963,DET,AL,1,60,24,36,5,Н
manuech01m,2007,PHI,NL,1,162,89,73,1,Н
guilloz01m,2009,CHA,AL,1,162,79,83,3,Н
shottbu01m,1932,PHI,NL,1,154,78,76,4,Н
virdobi01m,1973,PIT,NL,1,136,67,69,3,Н
lopesda01m,2002,MIL,NL,1,15,3,12,6,Н
jonesfi01m,1918,SLA,AL,1,46,22,24,5,Н
mackco01m,1904,PHA,AL,1,155,81,70,5,Н
martibi02m,1982,OAK,AL,1,162,68,94,5,Н
farreke01m,1957,CLE,AL,1,153,76,77,6,Н
tennefr02m,1906,BSN,NL,1,152,49,102,8,Y
cravaga01m,1920,PHI,NL,1,153,62,91,8,Y
robinwi01m,1914,BRO,NL,1,154,75,79,5,Н
bancrfr99m,1887,PH4,AA,1,55,26,29,5,Н
higgipi01m,1958,BOS,AL,1,155,79,75,3,Н
blackbu02m,2008,SDN,NL,1,162,63,99,5,Н
altobjo01m,1984,BAL,AL,1,162,85,77,5,Н
martibi02m,1978,NYA,AL,1,94,52,42,1,Н
tannech01m,1988,ATL,NL,1,39,12,27,6,Н
moranpa01m,1919,CIN,NL,1,140,96,44,1,Н
weaveea99m,1985,BAL,AL,3,105,53,52,4,Н
mckeoja99m,1997,CIN,NL,2,63,33,30,3,Н
hurdlcl01m,2011,PIT,NL,1,162,72,90,4,Н
pinielo01m,1991,CIN,NL,1,162,74,88,5,Н
seleefr99m,1892,BSN,NL,1,152,102,48,1,Н
byrnech99m,1885,BR3,AA,2,75,38,37,5,Н
mcgrajo01m,1925,NY1,NL,1,14,10,4,2,Н
gomezpr01m,1970,SDN,NL,1,162,63,99,6,Н
ricede01m,1972,CAL,AL,1,155,75,80,5,Н
gibsoki01m,2012,ARI,NL,1,162,81,81,3,Н
seleefr99m,1897,BSN,NL,1,135,93,39,1,Н
mckecbi01m,1944,CIN,NL,1,155,89,65,3,Н
trembda99m,2009,BAL,AL,1,162,64,98,5,Н
terrybi01m,1941,NY1,NL,1,156,74,79,5,Н
martibi02m,1972,DET,AL,1,156,86,70,1,Н
howarfr01m,1983,NYN,NL,2,116,52,64,6,Н
barnibi01m,1891,BL3,AA,1,139,71,64,4,Н
tigheja99m,1958,DET,AL,1,49,21,28,5,Н
coxbo01m,1997,ATL,NL,1,162,101,61,1,Н
kuheljo01m,1948,WS1,AL,1,154,56,97,7,Н
jonesfi01m,1906,CHA,AL,1,154,93,58,1,Y
maddojo99m,2010,TBA,AL,1,162,96,66,1,Н
tannech01m,1987,ATL,NL,1,161,69,92,5,Н
mckecbi01m,1937,BSN,NL,1,152,79,73,5,Н
yostne01m,2004,MIL,NL,1,161,67,94,6,Н
valenbo02m,1999,NYN,NL,1,163,97,66,2,Н
lucchfr99m,1971,PHI,NL,1,162,67,95,6,Н
coxbo01m,1991,ATL,NL,1,162,94,68,1,Н
asproke01m,1974,CLE,AL,1,162,77,85,4,Н
wardjo01m,1890,BRP,PL,1,133,76,56,2,Y
hitchbi01m,1962,BAL,AL,1,162,77,85,7,Н
mcgrajo01m,1901,BLA,AL,1,135,68,65,5,Y
lajoina01m,1909,CLE,AL,1,114,57,57,6,Y
hargrmi01m,2003,BAL,AL,1,163,71,91,4,Н
colembo01m,1943,BSN,NL,1,46,21,25,6,Н
dykesji01m,1958,CIN,NL,2,41,24,17,4,Н
mackco01m,1922,PHA,AL,1,155,65,89,7,Н
sisledi01m,1964,CIN,NL,2,6,3,3,2,Н
reganph01m,1995,BAL,AL,1,144,71,73,3,Н
burkeji01m,1920,SLA,AL,1,154,76,77,4,Н
lumleha01m,1909,BRO,NL,1,155,55,98,6,Y
hutchfr01m,1957,SLN,NL,1,154,87,67,2,Н
kennebo01m,1968,OAK,AL,1,163,82,80,6,Н
mcraeha01m,1993,KCA,AL,1,162,84,78,3,Н
harribu01m,1928,WS1,AL,1,155,75,79,4,Y
schmegu99m,1886,SL5,NL,1,126,43,79,6,Н
wedgeer01m,2006,CLE,AL,1,162,78,84,4,Н
garneph01m,2007,HOU,NL,1,131,58,73,6,Н
grimmch01m,1956,ML1,NL,1,46,24,22,2,Н
carribi02m,1915,BOS,AL,1,155,101,50,1,Y
willite01m,1969,WS2,AL,1,162,86,76,4,Н
sullite01m,1883,SL4,AA,1,79,53,26,2,Н
alstowa01m,1966,LAN,NL,1,162,95,67,1,Н
buckeal99m,1890,CL6,AA,1,80,39,41,2,Н
andersp01m,1974,CIN,NL,1,163,98,64,2,Н
krolja99m,1980,SLN,NL,2,1,0,1,4,Н
boonebo01m,1997,KCA,AL,1,82,36,46,5,Н
schalra01m,1928,CHA,AL,1,75,32,42,5,Y
mackco01m,1913,PHA,AL,1,153,96,57,1,Н
wrighha01m,1874,BS1,,1,71,52,18,1,Y
valenbo02m,1985,TEX,AL,2,129,53,76,7,Н
barroed99m,1904,DET,AL,1,84,32,46,7,Н
murrabi99m,1907,PHI,NL,1,149,83,64,3,Н
shettbi99m,1900,PHI,NL,1,141,75,63,3,Н
lefebji01m,1991,SEA,AL,1,162,83,79,5,Н
pinielo01m,1998,SEA,AL,1,161,76,85,3,Н
haneyfr01m,1959,ML1,NL,1,157,86,70,2,Н
cranesa01m,1880,BFN,NL,1,84,24,58,7,Y
armoubi99m,1902,CLE,AL,1,137,69,67,5,Н
garneph01m,2005,HOU,NL,1,163,89,73,2,Н
callani01m,1904,CHA,AL,1,42,23,18,3,Y
armoubi99m,1905,DET,AL,1,154,79,74,3,Н
