awardid,yearid,lgid,playerid,pointswon,pointsmax,votesfirst
MVP,1940,NL,coonejo01,31,336,0.0
MVP,1989,AL,saberbr01,82,392,0.0
MVP,1998,NL,sosasa01,438,448,30.0
MVP,1985,NL,cartega01,116,336,0.0
Cy Young,2011,AL,verlaju01,196,196,28.0
MVP,1953,NL,loganjo01,3,336,0.0
MVP,1957,AL,sievero01,205,336,4.0
MVP,1947,NL,marshwi01,20,336,1.0
MVP,1979,NL,richajr01,12,336,0.0
MVP,2009,AL,figgich01,31,392,0.0
MVP,1959,NL,conlege01,1,336,0.0
MVP,2007,NL,soriaal01,39,448,0.0
MVP,2003,AL,boonebr01,65,392,0.0
MVP,1937,AL,applilu01,5,80,0.0
Cy Young,1989,NL,reuscri01,3,120,0.0
MVP,1978,AL,moneydo01,5,392,0.0
Cy Young,1989,AL,stewada01,80,140,1.0
Rookie of the Year,1986,AL,snydeco02,16,140,0.0
MVP,1945,AL,myattge01,98,336,1.0
MVP,1939,AL,mcquige02,24,336,0.0
MVP,2000,NL,bagweje01,102,448,0.0
MVP,1950,AL,fordwh01,7,336,0.0
MVP,1958,NL,skinnbo01,18,336,1.0
Rookie of the Year,1993,NL,martial03,6,140,0.0
MVP,1948,AL,rizzuph01,1,336,0.0
MVP,1942,AL,guttedo01,12,336,0.0
MVP,1983,AL,mosebll01,21,392,0.0
Rookie of the Year,1964,NL,allendi01,18,20,18.0
MVP,1993,NL,myersra01,2,392,0.0
Rookie of the Year,1986,AL,eichhma01,23,140,0.0
Cy Young,1956,ML,fordwh01,1,16,1.0
MVP,1970,NL,tolanbo01,17,336,0.0
MVP,2008,NL,reyesjo01,3,448,0.0
MVP,2004,NL,ramirar01,42,448,0.0
Cy Young,1962,ML,purkebo01,1,20,1.0
MVP,2012,NL,beltrca01,6,448,0.0
MVP,1962,NL,paganjo01,13,280,0.0
MVP,1944,AL,yorkru01,5,336,0.0
MVP,1976,AL,maybejo01,1,336,0.0
MVP,1963,NL,whitebi03,56,280,0.0
Cy Young,2003,NL,gagneer01,146,160,28.0
MVP,1982,NL,bucknbi01,38,336,0.0
MVP,1940,AL,bartedi01,26,336,0.0
MVP,1983,AL,baineha01,49,392,0.0
MVP,1971,AL,bufordo01,2,336,0.0
MVP,1933,NL,maranra01,11,80,
Cy Young,2009,AL,greinza01,134,140,25.0
MVP,1957,NL,musiast01,230,336,5.0
Rookie of the Year,1970,AL,munsoth01,23,24,23.0
MVP,1977,AL,singlke01,200,392,3.0
MVP,1979,AL,wilsowi02,15,392,0.0
MVP,1925,AL,cochrmi01,8,64,
MVP,1982,NL,mintogr01,44,336,0.0
Cy Young,1976,NL,matlajo01,5,120,1.0
MVP,1961,NL,mcmilro01,8,224,0.0
MVP,1942,AL,yorkru01,3,336,0.0
MVP,1972,AL,aparilu01,9,336,0.0
MVP,1936,NL,macfada01,12,80,0.0
MVP,1956,AL,maxwech01,8,336,0.0
MVP,1973,AL,bluevi01,3,336,0.0
MVP,1983,NL,hernake01,1,336,0.0
MVP,1928,NL,grimebu01,53,80,
MVP,1931,NL,friscfr01,65,80,
MVP,1966,NL,staubru01,4,280,0.0
MVP,1924,AL,bassljo01,22,64,
MVP,1951,AL,yosted01,2,336,0.0
MVP,1943,NL,coopewa01,192,336,5.0
MVP,1991,NL,glavito02,16,336,0.0
MVP,1923,AL,uhlege01,13,64,0.0
MVP,1977,NL,simmote01,58,336,0.0
Cy Young,1999,AL,seleaa01,4,140,0.0
MVP,1976,NL,ceyro01,6,336,0.0
MVP,1952,NL,ennisde01,18,336,0.0
Rookie of the Year,2002,NL,sanchal03,1,160,0.0
MVP,1971,NL,stargwi01,222,336,3.0
MVP,1965,NL,robinfr02,11,280,0.0
Cy Young,1982,NL,niekrph01,18,120,0.0
MVP,2000,NL,sheffga01,71,448,0.0
MVP,1940,NL,westma02,6,336,0.0
Rookie of the Year,1965,AL,blefacu01,12,20,12.0
MVP,1944,AL,borowha01,2,336,0.0
Cy Young,2007,AL,bedarer01,1,140,0.0
Rookie of the Year,1986,NL,larkiba01,1,120,0.0
MVP,1933,AL,myerbu01,5,80,0.0
MVP,1945,AL,schalro01,13,336,0.0
MVP,1946,AL,yorkru01,28,336,0.0
MVP,1990,AL,henderi01,317,392,14.0
MVP,1927,AL,todtph01,1,64,0.0
MVP,1946,AL,boudrlo01,37,336,0.0
MVP,1941,NL,warnelo01,7,336,0.0
MVP,1978,AL,yastrca01,17,392,0.0
Rookie of the Year,1997,NL,womacto01,3,140,0.0
MVP,1978,AL,bostoly01,8,392,0.0
MVP,1957,AL,shantbo01,1,336,0.0
MVP,1942,AL,peskyjo01,143,336,2.0
MVP,1951,NL,musiast01,191,336,2.0
MVP,2009,AL,bayja01,78,392,0.0
MVP,1950,NL,blackew01,41,336,0.0
MVP,1945,AL,lakeed01,2,336,0.0
MVP,1962,AL,fordwh01,6,280,0.0
MVP,1986,NL,saxst01,13,336,0.0
MVP,1911,AL,creebi01,16,64,0.0
MVP,1975,AL,washicl01,22,336,0.0
MVP,1975,AL,singlke01,44,336,0.0
MVP,1969,AL,northji01,1,336,0.0
MVP,1940,AL,hayesfr01,4,336,0.0
Cy Young,1978,NL,tekulke01,12,120,0.0
MVP,1995,AL,johnsra05,111,392,0.0
MVP,1942,AL,dickebi01,12,336,0.0
Cy Young,1987,AL,keyji01,64,140,4.0
MVP,1946,AL,henrito01,1,336,0.0
Rookie of the Year,1961,NL,willibi01,10,16,10.0
MVP,1951,AL,robined01,7,336,0.0
MVP,1977,AL,lefloro01,7,392,0.0
Cy Young,1980,AL,norrimi01,91,140,13.0
MVP,1942,AL,lyonste01,23,336,0.0
MVP,1943,AL,priddje01,17,336,0.0
Cy Young,1979,AL,kernji01,25,140,0.0
Rookie of the Year,1976,NL,metzgbu01,11,24,11.0
Rookie of the Year,1983,AL,boddimi01,70,140,5.0
MVP,1938,NL,camildo01,5,336,0.0
MVP,1950,AL,lemonbo01,102,336,0.0
MVP,1990,NL,oneilpa01,6,336,0.0
Rookie of the Year,1991,AL,maynebr01,1,140,0.0
MVP,1980,NL,cruzjo01,166,336,0.0
MVP,1941,AL,fellebo01,174,336,0.0
MVP,1944,NL,lupieto01,3,336,0.0
MVP,1970,AL,perryji01,63,336,0.0
Cy Young,1993,AL,appieke01,30,140,1.0
Rookie of the Year,1992,NL,osbordo01,12,120,0.0
MVP,1949,AL,wertzvi01,51,336,0.0
Cy Young,2010,AL,sabatcc01,102,196,3.0
MVP,1974,AL,allendi01,8,336,0.0
MVP,1942,NL,marioma01,81,336,1.0
MVP,1961,AL,fordwh01,102,280,0.0
Rookie of the Year,1973,AL,medicdo01,2,24,2.0
MVP,1976,AL,rivermi01,179,336,1.0
MVP,1927,AL,gehrilo01,56,64,7.0
Cy Young,1978,AL,jenkife01,2,140,0.0
