franchid,franchname,active,naassoc
TBD,Tampa Bay Rays,Y,
LOU,Полковники Луисвиля,Н,
CFC,Кливлендские лесные города,,
FLA,Флорида Марлинс,Y,
TRT,Тройские троянцы,Н,
OAK,Аклендская атлетика,Y,
CLE,Индейцы Кливленда,Y,
STL,Кардиналы Сент-Луиса,Y,
WAS,Сенаторы Вашингтона,Н,
SNA,Сент-Луис Браун Шеллингс,,ПС
COR,Красные цициннати,Н,
HNA,Хартфорд Тёмный Блюз,,HAR
PIT,Питтсбургские пираты,Y,
STP,Святой Павел Апостолы,Н,
ROC,Рочестер Бронкос,Н,
NNA,Нью-Йорк Взаимная связь,,Нью-Йорк
KEK,Форт Уэйн Кекионгас,,
BLC,Балтиморские канареи,,
MLA,Милуоки Брюэрс,Н,
ECK,Бруклин Экфордс,,
BNA,Бостонские красные чулки,,АТЛ
BRS,Бостонские красные,Н,
SYS,Звезды Сиракуз,Н,
CLV,Кливленд Паук,Н,
PHQ,Филадельфия Атлетика,Н,
CIN,Красные Цинциннати,Y,
ANA,Лос-Анджелесские ангелы Анахейма,Y,
WNT,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,,
TLM,Толедо Маумес,Н,
LGR,Луисвилл Грейс,Н,
NEW,Ньюарк Пеппер,Н,
PHA,Филадельфия Атлетика,Н,
CHH,Чикагские киты,Н,
RIC,Ричмондские вирджинцы,Н,
WOR,Вихревые рубиновые ножки,Н,
TRO,Трой Хеймерс,,
PWS,Белые чулки Филадельфии,,
NYY,Нью-Йорк Янкиз,Y,
NHV,Нью-Хейвен-Элм-Сити,,
BRA,Бруклинские Атлантики,,
BRD,Бостонские красные,Н,
ATL,Атланты Храбрые храбрые,Y,БНА
MAN,Мидлтаун Мэнсфилдс,,
BFB,Баффало Бизонс,Н,
DET,&lt; &lt; Тигры Детройта &gt; &gt;,Y,
NYU,Нью-Йорк Взаимная связь,Н,ННА
BWW,Чудеса Бруклина Уорда,Н,
TOR,Торонтские синие джеи,Y,
WBL,Голубые ноги Вашингтона,,
KCU,Канзас Сити Ковбои,Н,
WST,Вашингтон,Н,
NYP,Города Нью-Йорка,Н,
KCR,Канзас-Сити Роялс,Y,
CHC,Чикаго Кабс,Y,КНА
CNA,Белые чулки Чикаго,,CHC
PBS,Питтсбургские повстанцы,Н,
BRG,Бруклинские гладиаторы,Н,
TOL,Синие чулки Толедо,Н,
RES,Элизабет Резолютес,,
CNR,Красные Цинциннати,Н,
WSN,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,Y,
BLU,Памятные памятники Балтимора,Н,
WIL,Уилмингтон Быстрые шаги,Н,
DTN,&lt; &lt; Детройт &gt; &gt;,Н,
KCC,Канзас Сити Ковбои,Н,
IHO,Индианаполис Хусье,Н,
TEX,Техасские рейнджеры,Y,
SLM,Сент-Луис Марунс,Н,
NAT,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,,
KCP,Канзас Сити Пакерс,Н,
WNA,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,Н,
BAL,Балтимор Ориолс,Y,
MAR,Балтимор Мэрилендс,,
BLT,Балтиморские террапины,Н,
COL,Колорадо Скалистые горы,Y,
ATH,Филадельфия Атлетика,Н,PNA
PBB,Питтсбургские бургеры,Н,
BUF,Баффало Бизонс,Н,
BFL,Баффало Бизонс,Н,
ARI,Аризона Даймондбэкс,Y,
CHP,Чикагские пираты,Н,
PRO,Провидцы Грей,Н,
CLS,Колумб Солоны,Н,
SDP,Сан-Диего Падрес,Y,
CLI,Кливлендские младенцы,Н,
WES,Кеокук Вестерн,,
MIN,Близнецы из Миннесоты,Y,
CKK,Убийца Цинциннати Келли,Н,
NYM,Нью-Йорк Метс,Y,
ALT,Горный город Альтоона,Н,
IND,Индианаполис Хусье,Н,
PHK,Критерии Филадельфии,Н,
CHW,Чикаго Уайт Сокс,Y,
SFG,Сан-Франциско Гиганты,Y,
SLI,&lt; &lt; Сент-Луис Терьерс &gt; &gt;,Н,
BOS,Бостонский ред Сокс,Y,
ROK,Рокфордские лесные города,,
LAD,Лос-Анджелес Доджерс,Y,
