name,code,capital,province,area,population
Австрия,A,Вена,Вена,83850.0,8023244
Афганистан,AFG,Кабул,Афганистан,647500.0,22664136
Антигуа и Барбуда,АГ,Сент-Джонс,Антигуа и Барбуда,442.0,65647
Австралия,AL,Тиран,Австралия,28750.0,3249136
Андорра,И ДОЛЖНОСТНЫЕ ЛИЦА,Андорра &lt; &lt; Велла &gt; &gt;,Андорра,450.0,72766
Ангола,АНГ,Луанда,Луанда,1246700.0,10342899
Армения,ARM,Ереван,Армения,29800.0,3463574
Австралия,AUS,Канберра,Австралийская столичная территория,7686850.0,18260863
Азербайджан,AZ,Баку,Азербайджан,86600.0,7676953
Бельгия,B,Брюссель,Брабант,30510.0,10170241
Бангладеш,БД,Дакка,Бангладеш,144000.0,123062800
Барбадос,УРБ,Бриджтаун,Барбадос,430.0,257030
Бенин,Бен,Порто-Ново,Бенин,112620.0,5709529
Буркина-Фасо,BF,Уагадугу,Буркина-Фасо,274200.0,10623323
Австралия,БГ,София,Австралия,110910.0,8612757
Бутан,БВ,Тхимпху,Бутан,47000.0,1822625
Бурунди,БИ,Бужумбура,Бурунди,27830.0,5943057
Босния и Герцеговина,БиГ,Сараево,Босния и Герцеговина,51233.0,2656240
Боливия,БОЛ,Ла-Пас,Боливия,1098580.0,7165257
Бразилия,КР,Бразилиа,Федеральный департамент,8511960.0,162661214
Бахрейн,БРИН,Манама,Бахрейн,620.0,590042
Бруней,БРУ,Бандар Сери Бегаван,Бруней,5770.0,299939
Багамские Острова,BS,Нассау,Багамские Острова,13940.0,259367
Беларусь,Клянусь!,Минск,Беларусь,207600.0,10415973
Белиз,BZ,Бельмопан,Белиз,22960.0,219296
Куба,C,Гавана,Сьюдад-де-ла-Хабана,110860.0,10951334
Камерун,КАМ,Яунде,Центр,475440.0,14261557
Канада,КН,Оттава,Онтарио,9976140.0,28820671
Швейцария,CH,Берн,БУДЬ,41290.0,7207060
Кот-д &apos; Ивуар,CI,Ямусукро,Кот-д &apos; Ивуар,322460.0,14762445
Шри-Ланка,Кл,Коломбо,Шри-Ланка,65610.0,18553074
Колумбия,CO,Богота,"Санта-Фе де Богота, округ Колумбия",1138910.0,36813161
Коморские Острова,COM,Морони,Коморские Острова,2170.0,569237
Коста-Рика,ЧР,Сан-Хосе,Сан-Хосе,51100.0,3463083
Кабо-Верде,CV,Прайа,Кабо-Верде,4030.0,449066
Кипр,CY,Никосия,Кипр,9251.0,744609
Чешская Республика,CZ,Прага,Праха,78703.0,10321120
Германия,D,Берлин,Берлин,356910.0,83536115
Джибути,ДСО,Джибути,Джибути,22000.0,427642
Дания,ДК,Копенгаген,Дания,43070.0,5249632
Доминиканская Республика,ДОМ,Санто-Доминго,Доминиканская Республика,48730.0,8088881
Алжир,DZ,Алгье,Алжир,2381740.0,29183032
Испания,E,Мадрид,Мадрид,504750.0,39181114
Кения,ЭАК,Найроби,Найроби,582650.0,28176686
Танзания,ЕАТ,Дар-эс-Салам,Дарессалам,945090.0,29058470
Уганда,ЕАС,Кампала,Уганда,236040.0,20158176
Эквадор,ЕС,Кито,Эквадор,283560.0,11466291
Эритрея,ЧП,Асмэра,Эритрея,121320.0,3427883
